Satellite,Path,Rows,Year,JulianDay,GroundStation,Version,StDev,Mean,Median,Min,Max,Range,Sum,Variance,NumPixels,PctCloud
8,35,38,2013,107,LGN,1,109.3097545,1273.428497,1251,1034,1935,901,7355323,11948.62242,5776,0
8,35,38,2013,123,LGN,1,101.1539995,1260.403393,1241,1056,1937,881,7280090,10232.13162,5776,0
8,34,38,2013,132,LGN,1,115.973862,1298.458795,1274,1057,2054,997,7499898,13449.93666,5776,0
8,35,38,2013,139,LGN,2,110.4795577,1299.600069,1278,1073,1970,897,7506490,12205.73267,5776,0
8,34,38,2013,148,LGN,0,101.6874675,1266.784799,1247,1058,1894,836,7316949,10340.34104,5776,0
8,35,38,2013,155,LGN,0,108.7808435,1290.050554,1268,1074,2111,1037,7451332,11833.2719,5776,0
8,34,38,2013,164,LGN,0,99.12827388,1290.560596,1272,1090,1847,757,7454278,9826.414683,5776,0
8,35,38,2013,171,LGN,0,127.638179,1316.045706,1288,1065,2234,1169,7601480,16291.50475,5776,0
8,34,38,2013,180,LGN,0,135.4299253,1662.121766,1636,1295,2823,1528,2184028,18341.26467,5776,77.25069252
8,35,38,2013,187,LGN,0,239.96722,1348.666667,1443.5,1050,1595,545,8092,57584.26667,5776,99.89612188
8,34,38,2013,196,LGN,0,428.2240468,1889.727493,1791,1156,6070,4914,10915066,183375.8343,5776,0
8,35,38,2013,203,LGN,0,625.7241802,2505.909972,2363,1425,7710,6285,14474136,391530.7496,5776,0
8,34,38,2013,212,LGN,0,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
8,35,38,2013,219,LGN,0,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
8,34,38,2013,228,LGN,0,523.4851584,2327.955332,2212,1356,6050,4694,13446270,274036.7111,5776,0
8,35,38,2013,235,LGN,0,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
8,34,38,2013,244,LGN,0,591.90471,2562.508483,2438.5,1339,6136,4797,14801049,350351.1857,5776,0
8,35,38,2013,251,LGN,0,643.2343696,2998.124827,2889,1584,6695,5111,17317169,413750.4542,5776,0
8,34,38,2013,260,LGN,0,779.5740196,3182.588188,3029,1592,6885,5293,11801037,607735.6521,5776,35.8033241
8,35,38,2013,267,LGN,0,631.175678,2958.835699,2832,1622,6449,4827,17090235,398382.7365,5776,0
8,34,38,2013,276,LGN,0,548.1570954,2663.459141,2558,1501,5880,4379,15384140,300476.2013,5776,0
8,35,38,2013,283,LGN,0,402.4465948,2538.865854,2498.5,1522,4475,2953,2290057,161963.2617,5776,84.38365651
8,34,38,2013,292,LGN,0,415.3436055,2238.637985,2149,1314,4408,3094,12930373,172510.3107,5776,0
8,35,38,2013,299,LGN,0,370.3299336,2144.519564,2067,1384,4049,2665,12386745,137144.2597,5776,0
8,34,38,2013,308,LGN,0,310.9579253,1952.848122,1897,1098,4032,2934,2443013,96694.83131,5776,78.34141274
8,35,38,2013,315,LGN,0,315.707814,1960.847472,1896.5,1295,3730,2435,11325855,99671.42383,5776,0
8,34,38,2013,324,LGN,0,280.8075724,1858.401143,1799,1165,3530,2365,10734125,78852.89274,5776,0
8,35,38,2013,331,LGN,0,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
8,34,38,2013,340,LGN,0,234.8796123,1823.072888,1777,1302,3005,1703,10530069,55168.43226,5776,0
8,35,38,2013,347,LGN,0,204.8300479,1785.375,1746,1297,2738,1441,10312326,41955.34853,5776,0
8,34,38,2013,356,LGN,0,191.8885913,1607.380713,1572,1160,2520,1360,9284231,36821.23148,5776,0
8,35,38,2013,363,LGN,0,161.4626079,1488.86669,1460,1100,2287,1187,8599694,26070.17374,5776,0
8,34,38,2014,7,LGN,0,165.5821109,1455.389716,1422,1054,2236,1182,8406331,27417.43545,5776,0
8,35,38,2014,14,LGN,0,153.6437177,1470.567348,1443,1090,2213,1123,8493997,23606.392,5776,0
8,34,38,2014,23,LGN,0,72.12014782,1115.144564,1107,891,1426,535,6441075,5201.315721,5776,0
8,35,38,2014,30,LGN,0,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
8,34,38,2014,39,LGN,0,122.1650742,1333.376212,1315,1054,1937,883,7701581,14924.30537,5776,0
8,35,38,2014,46,LGN,0,143.2517785,1428.888331,1402.5,1099,2079,980,8253259,20521.07203,5776,0
8,34,38,2014,55,LGN,0,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
8,35,38,2014,62,LGN,0,NA,1178,1178,1178,1178,0,1178,NA,5776,99.98268698
8,34,38,2014,71,LGN,0,142.9583435,1442.140409,1419,1103,2086,983,8329803,20437.08799,5776,0
8,35,38,2014,78,LGN,0,166.407628,1513.278566,1482,1130,2327,1197,8740697,27691.49866,5776,0
8,34,38,2014,87,LGN,0,158.3502488,1489.509176,1454,1130,2222,1092,8603405,25074.8013,5776,0
8,35,38,2014,94,LGN,0,131.1929348,1452.585353,1426,1163,2166,1003,8390133,17211.58613,5776,0
8,34,38,2014,103,LGN,0,151.0826764,1436.064058,1403.5,1116,2275,1159,8294706,22825.97512,5776,0
8,35,38,2014,110,LGN,0,156.4695008,1479.394391,1442,1137,2466,1329,8544982,24482.70469,5776,0
8,35,38,2014,126,LGN,0,137.1405675,1382.880886,1355,1096,2435,1339,7987520,18807.53525,5776,0
8,34,38,2014,135,LGN,0,131.733332,1342.288089,1315,1086,2335,1249,7753056,17353.67076,5776,0
8,35,38,2014,142,LGN,0,144.1526443,1378.700139,1349,1116,2362,1246,7963372,20779.98487,5776,0
8,34,38,2014,151,LGN,0,145.9480553,1393.646988,1360,1104,2329,1225,8049705,21300.83484,5776,0
8,35,38,2014,158,LGN,0,143.4063037,1392.581198,1361,1137,2395,1258,8043549,20565.36795,5776,0
8,34,38,2014,167,LGN,0,221.4483651,1370.031322,1371,572,2600,2028,5948676,49039.37842,5776,24.82686981
8,35,38,2014,174,LGN,0,170.2541491,1445.063366,1402,1181,2719,1538,8346686,28986.47529,5776,0
8,34,38,2014,183,LGN,0,174.0657515,1429.13106,1395,972,2672,1700,8254661,30298.88585,5776,0
8,35,38,2014,190,LGN,0,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
8,34,38,2014,199,LGN,0,334.955493,2048.645429,1980,1345,4133,2788,11832976,112195.1823,5776,0
8,35,38,2014,206,LGN,0,352.6321461,2052.24446,1977,1359,4491,3132,11853764,124349.4304,5776,0
8,34,38,2014,215,LGN,0,659.5860926,2861.044636,2769,962,6127,5165,3973991,435053.8136,5776,75.95221607
