Satellite,Path,Rows,Year,JulianDay,GroundStation,Version,StDev,Mean,Median,Min,Max,Range,Sum,Variance,NumPixels,PctCloud
4,34,38,1982,327,XXX,1,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
4,35,38,1983,1,XXX,5,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
4,34,38,1983,10,XXX,8,137.212021,1394.194252,1397,921,2010,1089,8052866,18827.13871,5776,0
4,34,38,1983,26,XXX,4,134.5965513,1472.67867,1442,1080,2115,1035,8506192,18116.23162,5776,0
5,35,38,1984,108,XXX,1,120.5442214,1885.058345,1880,1485,2650,1165,10888097,14530.90932,5776,0
5,35,38,1984,124,PAC,0,103.1354194,1711.866863,1702,1369,2496,1127,9887743,10636.91474,5776,0
5,34,38,1984,133,PAC,0,100.6974102,1672.709834,1664,1407,2329,922,9661572,10139.96843,5776,0
5,35,38,1984,156,PAC,0,130.6337216,1667.186461,1643,1360,2571,1211,9629669,17065.16921,5776,0
5,34,38,1984,165,XXX,9,137.4446681,1632.697195,1602,1310,2786,1476,9430459,18891.03678,5776,0
5,35,38,1984,172,XXX,4,309.1751345,1572.185012,1639,534,2406,1872,671323,95589.26381,5776,92.60734072
5,35,38,1984,188,XXX,3,182.7250749,1730.055748,1682,1401,3541,2140,9992802,33388.453,5776,0
5,34,38,1984,309,XXX,3,177.96085,1803.046918,1773,1373,2821,1448,10414399,31670.06412,5776,0
5,34,38,1984,325,XXX,2,168.1629102,1808.626039,1780,1369,2924,1555,10446624,28278.76437,5776,0
5,35,38,1984,332,XXX,1,174.1430312,1838.648892,1819,1370,2989,1619,10620036,30325.79532,5776,0
5,34,38,1984,357,XXX,1,173.0676418,1808.225242,1800.5,1255,2640,1385,10444309,29952.40865,5776,0
5,35,38,1984,364,XXX,3,219.1974432,1801.326429,1799,940,2686,1746,9044460,48047.51912,5776,13.07132964
5,35,38,1985,94,XXX,5,199.473935,2073.113227,2063,1524,2962,1438,11974302,39789.85073,5776,0
5,35,38,1985,110,XXX,8,145.9710387,1979.928497,1980,1535,2592,1057,11436067,21307.54415,5776,0
5,35,38,1985,206,XXX,2,169.1002315,1756.997576,1720,1389,2882,1493,10148418,28594.88831,5776,0
5,35,38,1985,222,XXX,1,269.5402081,2034.232468,2007,1218,2916,1698,1566359,72651.92378,5776,86.66897507
5,34,38,1985,231,XXX,3,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,35,38,1985,238,XXX,4,364.2445353,2445.390582,2387,1708,5452,3744,14124576,132674.0815,5776,0
5,34,38,1985,247,XXX,3,382.0258763,2410.103186,2343,1674,5927,4253,13920756,145943.7701,5776,0
5,35,38,1985,254,XXX,3,387.7771441,2423.719755,2350,1730,5574,3844,9115610,150371.1135,5776,34.88573407
5,34,38,1985,263,XXX,3,400.2463208,2360.551806,2306,1153,5097,3944,11892460,160197.1173,5776,12.77700831
5,35,38,1985,270,XXX,3,314.3035795,2144.421053,2092,1535,4850,3315,12386176,98786.74009,5776,0
5,35,38,1985,286,XXX,5,365.0456017,2231.255367,2175,1498,5507,4009,12887731,133258.2913,5776,0
5,34,38,1985,295,XXX,4,351.3721275,2197.48286,2139,1469,5100,3631,12692661,123462.372,5776,0
5,35,38,1985,302,XXX,8,335.1044325,2267.404432,2213,1560,4857,3297,13096528,112294.9806,5776,0
5,35,38,1985,318,XXX,8,301.930393,2321.503636,2299,1622,4188,2566,13409005,91161.96224,5776,0
5,34,38,1985,327,XXX,5,244.0557692,1964.872922,1941,1371,3534,2163,11349106,59563.21848,5776,0
5,34,38,1985,343,XXX,1,184.6161916,1878.935769,1874,1134,2886,1752,10852733,34083.13821,5776,0
5,34,38,1986,10,XXX,4,198.5884519,1853.391794,1838,1310,3200,1890,10705191,39437.37322,5776,0
5,35,38,1986,17,XXX,3,196.4239262,1884.115478,1872,1286,2889,1603,10882651,38582.35878,5776,0
5,34,38,1986,26,XXX,3,178.5668546,1789.069598,1790,1183,2988,1805,10333666,31886.12156,5776,0
5,35,38,1986,33,XXX,3,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,35,38,1986,49,PAC,4,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,34,38,1986,58,XXX,3,187.3738435,1764.348857,1752,1260,2701,1441,10190879,35108.95724,5776,0
5,34,38,1986,74,XXX,5,210.0779023,1855.375866,1843,1304,2952,1648,10716651,44132.72502,5776,0
5,35,38,1986,81,XXX,4,188.448772,1663.750866,1639,1206,2840,1634,9609825,35512.93965,5776,0
5,34,38,1986,90,XXX,3,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,35,38,1986,97,XXX,3,146.3875848,1696.822368,1687,1274,2522,1248,9800846,21429.32498,5776,0
5,34,38,1986,106,XXX,1,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,35,38,1986,113,XXX,3,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,34,38,1986,122,XXX,2,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,34,38,1986,138,XXX,3,140.5161307,1531.712258,1513,1232,2470,1238,8847170,19744.78299,5776,0
5,35,38,1986,145,XXX,3,89.80483808,1697.445983,1692,1476,2237,761,9804448,8064.908943,5776,0
5,34,38,1986,154,XXX,1,170.7206021,1575.595741,1550,1240,2887,1647,9100641,29145.52399,5776,0
5,35,38,1986,161,XXX,3,170.0666053,1647.954813,1617,1300,3120,1820,9518587,28922.65025,5776,0
5,34,38,1986,170,XXX,4,186.9617719,1598.774584,1557,1242,3144,1902,9234522,34954.70416,5776,0
5,35,38,1986,177,XXX,1,190.6306186,1588.738266,1554.5,812,3017,2205,8394893,36340.03275,5776,8.51800554
5,34,38,1986,186,XXX,3,223.2480817,1604.101298,1554,699,3228,2529,8899554,49839.70598,5776,3.947368421
5,35,38,1986,193,XXX,1,262.0538824,1683.768871,1624,1232,3817,2585,9725449,68672.23731,5776,0
5,34,38,1986,202,XXX,3,332.0345727,1921.691828,1863,951,4027,3076,11099692,110246.9575,5776,0
5,35,38,1986,209,XXX,3,265.9495995,2060.868594,2026,1479,3813,2334,11903577,70729.18948,5776,0
5,34,38,1986,218,XXX,3,227.6321909,1981.366343,1949,1443,3430,1987,11444372,51816.41434,5776,0
5,35,38,1986,225,XXX,2,215.1863562,1941.421745,1908,1419,3252,1833,11213652,46305.1679,5776,0
5,34,38,1986,234,XXX,3,400.9069229,2620.507271,2598,1631,4583,2952,15136050,160726.3608,5776,0
5,35,38,1986,241,XXX,3,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,34,38,1986,250,XXX,3,356.8192599,2256.57078,2193,1443,4945,3502,12927894,127319.9842,5776,0.813711911
5,35,38,1986,257,XXX,2,326.1590161,2149.090893,2075,1535,4911,3376,12413149,106379.7038,5776,0
5,34,38,1986,266,XXX,1,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,34,38,1986,282,XXX,3,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,35,38,1986,289,XXX,3,275.396914,2064.629073,2045,1002,3686,2684,11533018,75843.46024,5776,3.289473684
5,34,38,1986,298,XXX,3,238.6003089,2046.079813,2023,1411,3685,2274,11818157,56930.1074,5776,0
5,35,38,1986,305,XXX,3,217.9633653,1872.872805,1868,620,3450,2830,5227188,47508.02862,5776,51.67936288
5,34,38,1986,314,XXX,1,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,35,38,1986,321,XXX,3,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,34,38,1986,330,XXX,3,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,34,38,1986,346,XXX,3,226.6741698,1814.941482,1810,1134,3044,1910,10483102,51381.17926,5776,0
5,35,38,1986,353,XXX,3,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,34,38,1986,362,XXX,1,204.5208857,1650.296053,1644,888,2777,1889,9532110,41828.79268,5776,0
5,35,38,1987,4,XXX,3,202.8490682,1646.354917,1630,1121,2707,1586,9509346,41147.74449,5776,0
5,34,38,1987,13,XXX,3,191.7702185,1568.758657,1545,981,2564,1583,9061150,36775.81672,5776,0
5,35,38,1987,20,XXX,3,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,34,38,1987,29,XXX,3,188.1673656,1563.198061,1563,1046,2766,1720,9029032,35406.95748,5776,0
5,35,38,1987,36,XXX,2,197.0227639,1664.05142,1634,1107,2759,1652,9611561,38817.96948,5776,0
5,34,38,1987,61,XXX,2,156.7130882,1462.264197,1441,1036,2343,1307,8446038,24558.99201,5776,0
5,35,38,1987,84,XXX,2,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,34,38,1987,93,XXX,2,251.2153258,1974.768006,1952,1331,3399,2068,11406260,63109.13994,5776,0
5,35,38,1987,100,XXX,2,251.4804988,2068.59072,2042,1436,3330,1894,11948180,63242.44129,5776,0
5,34,38,1987,109,XXX,2,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,35,38,1987,116,XXX,2,199.2921948,2079.430611,2088,891,2912,2021,10923249,39717.3789,5776,9.054709141
5,34,38,1987,125,XXX,3,158.5025686,2017.705278,2030,1221,2691,1470,8639814,25123.06425,5776,25.86565097
5,35,38,1987,132,XXX,2,130.9695814,2001.686288,1996,1599,2768,1169,11561740,17153.03126,5776,0
5,34,38,1987,141,XXX,3,153.1677715,2039.424342,2028,1563,2853,1290,11779715,23460.36622,5776,0
5,35,38,1987,148,XXX,2,146.345565,1806.960159,1802,589,2639,2050,10431581,21417.0244,5776,0.051939058
5,34,38,1987,157,XXX,1,175.9806981,1738.091778,1734,799,2805,2006,9999242,30969.20611,5776,0.398199446
5,35,38,1987,164,XXX,3,151.6484074,1786.308345,1761,1443,2796,1353,10317717,22997.23945,5776,0
5,34,38,1987,173,XXX,1,152.7149539,1631.700831,1605,1228,2744,1516,9424704,23321.85715,5776,0
5,35,38,1987,180,XXX,4,161.2066164,1709.522853,1682,1282,2889,1607,9874204,25987.57316,5776,0
5,34,38,1987,189,AAA,2,148.0468797,1582.105436,1552,1235,2520,1285,9138241,21917.87858,5776,0
5,35,38,1987,196,AAA,4,163.6292367,1742.652355,1714,1306,2843,1537,10065560,26774.52709,5776,0
5,34,38,1987,205,XXX,4,163.5575403,1735.443386,1712,1333,2854,1521,10023921,26751.069,5776,0
5,35,38,1987,212,XXX,2,272.60678,2085.182167,2032,1114,3954,2840,11950179,74314.45651,5776,0.779085873
5,34,38,1987,221,XXX,2,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,35,38,1987,228,XXX,2,384.2179628,2684.930229,2658,1839,5138,3299,15508157,147623.4429,5776,0
5,34,38,1987,237,XXX,2,69.57250415,2466.666667,2427,2426,2547,121,7400,4840.333333,5776,99.94806094
5,35,38,1987,244,XXX,2,379.9955266,2867.03049,2859,1342,4595,3253,9779441,144396.6002,5776,40.94529086
5,34,38,1987,253,XXX,8,357.3841915,2668.141967,2651,1800,5177,3377,15411188,127723.4604,5776,0
5,35,38,1987,260,XXX,2,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,34,38,1987,269,XXX,2,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,35,38,1987,276,XXX,3,289.5417665,2211.589681,2176,1565,4225,2660,12774142,83834.43455,5776,0
5,34,38,1987,285,XXX,3,250.1336966,2052.048823,2013,1420,3737,2317,11852634,62566.86619,5776,0
5,35,38,1987,292,XXX,4,259.9825708,2048.499134,2001,1464,3838,2374,11832131,67590.93714,5776,0
4,35,38,1987,300,XXX,3,159.7836288,1766.048815,1752,1369,2550,1181,8646575,25530.80804,5776,15.23545706
5,34,38,1988,16,XXX,1,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,34,38,1988,32,XXX,1,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,34,38,1988,48,XXX,1,134.8638157,1386.200903,1390,530,2136,1606,7983131,18188.24879,5776,0.29432133
5,34,38,1988,64,XXX,1,168.104984,1633.378463,1631,900,2415,1515,9434394,28259.28566,5776,0
5,34,38,1988,80,XXX,3,148.6439265,1537.115132,1526,1075,2264,1189,8878377,22095.01687,5776,0
5,35,38,1988,87,XXX,5,96.57413429,1454.006163,1452,1070,1874,804,8021752,9326.563414,5776,4.484072022
5,34,38,1988,96,XXX,3,135.9982467,1723.960353,1721,1298,2242,944,9957595,18495.5231,5776,0
5,35,38,1988,103,XXX,3,132.4065499,1762.240997,1755,1127,2323,1196,10178704,17531.49446,5776,0
5,34,38,1988,112,XXX,9,133.7987501,1785.955159,1782,1385,2353,968,10315677,17902.10552,5776,0
5,35,38,1988,119,XXX,3,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,35,38,1988,135,XXX,4,106.6032192,1662.75831,1656,1310,2257,947,9604092,11364.24634,5776,0
5,34,38,1988,144,XXX,3,106.9523974,1556.776489,1545,1269,2302,1033,8991941,11438.81532,5776,0
5,35,38,1988,151,XXX,1,139.5275142,1507.296915,1502,935,2044,1109,2345354,19467.92722,5776,73.06094183
5,34,38,1988,160,XXX,1,110.7665199,1529.560769,1523,1223,2280,1057,8834743,12269.22193,5776,0
5,35,38,1988,167,XXX,3,112.9713292,1585.518179,1569,1262,2297,1035,9157953,12762.52123,5776,0
4,35,38,1988,175,XXX,1,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,34,38,1988,176,XXX,3,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,35,38,1988,183,XXX,7,128.9801881,1651.740305,1640,1293,2442,1149,9540452,16635.88891,5776,0
4,35,38,1988,191,XXX,1,221.1718691,2012.841066,1954,1548,3245,1697,11626170,48916.99569,5776,0
5,34,38,1988,192,XXX,3,183.1723646,1774.341096,1761,1229,2741,1512,4952186,33552.11515,5776,51.67936288
5,35,38,1988,199,XXX,3,322.168816,2047.28442,2005,775,3823,3048,11747318,103792.746,5776,0.657894737
4,34,38,1988,200,XXX,1,231.7806383,1209.391794,1190,672,2050,1378,6985447,53722.26431,5776,0
4,35,38,1988,207,XXX,1,275.1868991,1972.873788,1924,1403,3657,2254,11395319,75727.82944,5776,0
5,34,38,1988,208,XXX,3,264.4548529,2003.775277,1958,1413,3405,1992,11573806,69936.36923,5776,0
5,35,38,1988,215,XXX,3,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
4,35,38,1988,223,XXX,1,442.892237,2550.522961,2525,1180,4995,3815,13163249,196153.5336,5776,10.64750693
5,34,38,1988,224,XXX,4,445.8554099,2789.561981,2746,1818,5153,3335,16112510,198787.0465,5776,0
5,35,38,1988,231,XXX,3,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
4,35,38,1988,239,XXX,1,459.3206127,3142.072195,3128,1941,5633,3692,18148609,210975.4253,5776,0
5,34,38,1988,240,XXX,3,437.5637704,3277.949153,3272,2021,4928,2907,8122758,191462.0531,5776,57.09833795
5,35,38,1988,247,XXX,3,281.4588349,3236.136364,3143,2853,3968,1115,71195,79219.07576,5776,99.61911357
4,35,38,1988,255,XXX,1,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,34,38,1988,256,XXX,3,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
5,35,38,1988,263,XXX,3,404.4006829,2765.786011,2733,1789,4962,3173,15975180,163539.9123,5776,0
5,34,38,1988,272,XXX,3,376.9727304,2487.617729,2424,1615,4399,2784,14368480,142108.4395,5776,0
5,35,38,1988,279,XXX,3,329.3093794,2328.548996,2267,1596,4185,2589,13449699,108444.6674,5776,0
5,34,38,1988,288,XXX,3,340.351815,2090.754328,2021,1003,3847,2844,12076197,115839.358,5776,0
5,35,38,1988,295,XXX,3,NA,NA,NA,Inf,#NAME?,#NAME?,0,NA,5776,100
