"period","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO","total","newmoonnumber","year","month"
203,0,25,6,0,0,2,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,40,217,1995,1
204,0,32,6,0,0,2,0,0,1,4,0,0,0,0,0,0,6,0,0,0,0,51,218,1995,1
205,0,30,6,0,0,2,0,0,0,6,0,0,0,0,1,0,7,0,0,0,0,52,219,1995,3
206,0,36,5,0,0,0,0,0,0,8,0,0,0,0,3,0,6,0,0,0,0,58,220,1995,3
207,0,28,6,0,0,0,1,0,2,4,0,0,0,0,6,0,7,0,0,0,0,54,221,1995,4
208,0,32,2,0,1,4,0,0,3,4,0,0,0,1,9,0,1,0,0,0,0,57,222,1995,5
209,0,33,1,0,0,2,1,0,0,4,0,0,0,1,17,0,6,0,0,0,0,65,223,1995,6
210,0,33,5,0,1,3,1,0,0,9,2,1,0,1,40,0,5,0,0,0,0,101,224,1995,7
211,0,31,1,0,0,4,6,0,1,9,0,0,0,0,60,0,5,0,0,0,0,117,225,1995,8
212,0,33,4,0,1,5,7,1,1,28,1,0,1,0,67,0,12,0,0,0,0,161,226,1995,9
213,0,41,2,0,2,3,9,3,4,37,0,0,0,0,51,0,4,0,0,0,0,156,227,1995,10
214,0,42,6,0,2,2,5,1,1,27,0,0,0,2,17,0,13,0,0,0,0,118,228,1995,11
215,0,40,9,0,1,0,8,2,1,13,0,0,2,2,6,0,7,0,0,0,0,91,229,1995,12
216,0,57,20,0,0,1,1,3,4,24,0,0,3,1,5,0,4,0,0,0,0,123,230,1996,1
217,0,58,17,0,0,3,4,2,7,34,0,0,0,6,11,0,8,0,0,0,0,150,231,1996,2
218,0,35,11,0,0,2,5,1,8,25,0,0,1,8,28,0,20,0,0,0,0,144,232,1996,3
219,0,48,30,0,0,3,3,0,7,58,0,0,1,10,40,0,25,0,0,0,0,225,233,1996,4
220,0,38,13,0,1,1,3,0,2,35,0,0,0,1,27,0,3,0,0,0,0,124,234,1996,5
221,0,35,18,0,0,2,5,2,2,36,0,0,0,4,41,0,3,0,0,0,0,148,235,1996,6
222,0,22,13,0,0,0,5,1,0,21,0,0,0,0,38,0,1,0,0,0,0,101,236,1996,7
223,0,23,6,0,0,0,4,2,0,13,0,0,0,0,57,0,0,0,0,0,0,105,237,1996,8
224,0,39,8,0,1,0,26,9,1,25,0,0,0,2,34,0,2,0,0,0,0,147,238,1996,9
225,0,41,9,0,2,1,22,8,2,27,0,0,1,1,16,0,0,0,0,0,0,130,239,1996,10
226,0,45,11,0,3,0,18,5,3,19,0,0,0,5,1,0,8,0,0,0,0,118,240,1996,11
227,0,51,18,0,0,0,12,6,0,13,0,0,0,12,0,0,16,0,0,0,0,128,241,1996,12
228,0,87,35,0,0,1,19,10,2,21,0,0,5,14,0,0,39,0,0,0,0,233,243,1997,2
229,0,91,28,0,1,1,20,8,7,34,0,0,0,16,15,0,33,0,0,0,0,254,244,1997,3
230,0,55,25,0,0,3,16,6,4,30,1,0,0,28,65,1,33,0,0,0,0,267,245,1997,4
231,0,43,29,0,6,1,29,19,7,21,1,0,0,31,52,0,9,0,0,0,3,251,246,1997,5
232,0,51,23,0,8,1,33,41,7,16,1,0,0,38,54,0,7,0,0,0,0,280,247,1997,6
233,0,49,27,1,4,1,27,45,6,25,0,0,3,29,77,0,9,0,0,2,0,305,248,1997,7
234,0,41,20,1,9,0,16,31,5,23,0,0,2,15,50,0,5,0,0,2,0,220,249,1997,8
235,0,33,18,1,6,0,31,34,2,10,0,0,5,26,9,0,6,0,0,0,0,181,251,1997,10
236,0,42,15,1,8,0,21,25,8,5,0,0,1,35,1,0,5,0,0,1,0,168,252,1997,10
237,0,47,18,1,3,0,27,25,6,0,0,0,1,22,0,0,6,0,0,2,0,158,253,1997,11
238,0,37,15,1,3,0,19,15,3,0,0,0,2,17,1,0,6,0,0,0,0,119,254,1997,12
239,0,54,13,1,1,0,21,17,0,0,0,0,2,15,0,0,2,0,0,0,0,126,255,1998,1
240,0,50,17,2,2,0,16,21,1,0,0,0,0,8,0,0,3,0,0,0,0,120,256,1998,2
242,0,43,5,0,4,0,10,11,3,1,0,0,2,7,21,0,1,0,0,0,0,108,258,1998,4
243,0,60,12,0,7,0,14,16,4,6,0,0,3,7,23,0,0,0,0,0,0,152,259,1998,5
244,0,35,10,1,6,0,12,30,6,7,0,0,0,8,26,0,0,0,0,0,0,141,260,1998,6
245,0,34,7,1,1,0,10,39,2,6,0,0,0,11,40,0,1,0,0,0,0,152,261,1998,7
246,0,29,5,0,2,0,10,53,3,3,0,0,0,8,45,0,0,0,0,0,0,158,262,1998,8
247,0,32,11,1,4,0,10,45,2,1,0,0,0,9,40,0,0,0,0,0,0,155,263,1998,9
248,0,36,10,1,2,0,24,37,0,0,0,0,0,16,8,0,0,0,0,0,0,134,264,1998,10
249,0,48,13,1,1,0,19,30,1,0,0,0,0,7,0,0,3,0,0,0,0,123,265,1998,11
250,0,49,5,1,1,0,15,20,0,0,0,0,0,6,0,0,2,0,0,0,0,99,266,1998,12
251,0,55,12,1,2,0,21,23,2,0,0,0,0,7,1,0,6,0,0,0,0,130,267,1999,1
253,0,54,9,1,2,0,13,25,0,0,0,0,0,10,2,0,7,0,0,0,0,123,269,1999,3
254,0,54,16,2,2,0,11,33,0,0,0,0,0,7,9,0,1,0,0,0,0,135,270,1999,4
255,0,41,12,1,2,0,12,28,1,0,0,0,0,5,23,0,2,0,0,0,0,127,271,1999,5
256,0,32,10,1,1,0,7,39,1,0,0,0,0,5,20,0,1,0,0,0,0,117,272,1999,6
257,0,3,0,0,5,0,1,8,0,0,0,0,0,0,12,0,0,0,0,0,0,29,275,1999,9
258,0,16,5,0,1,0,6,20,2,0,0,0,0,1,23,0,0,0,0,0,0,74,276,1999,10
259,0,18,3,0,2,0,13,31,0,0,0,0,0,0,44,0,0,0,0,1,0,112,277,1999,11
260,0,11,5,0,2,0,6,37,0,0,0,0,0,0,33,0,3,0,0,1,0,98,278,1999,12
261,0,19,11,0,4,0,7,40,0,0,0,0,0,1,32,0,3,0,0,1,0,118,279,2000,1
262,0,19,13,0,3,0,9,57,0,0,0,0,0,0,31,0,0,0,0,0,0,132,280,2000,2
264,0,20,13,0,2,0,11,50,2,0,0,0,0,0,37,0,2,0,0,1,0,138,283,2000,5
265,0,18,13,0,3,0,8,63,1,0,0,0,0,0,59,0,1,0,0,3,0,169,284,2000,6
266,0,19,7,0,2,0,11,74,1,0,0,0,0,0,72,0,0,0,0,1,0,187,285,2000,7
268,0,25,6,0,1,0,18,62,2,0,0,0,0,0,58,0,0,0,0,0,0,172,287,2000,8
269,0,30,5,0,3,0,25,49,2,0,0,0,0,1,14,0,1,0,0,0,0,130,288,2000,9
270,0,27,7,0,4,0,23,33,6,0,0,0,0,0,3,0,5,0,0,0,0,108,290,2000,11
271,0,23,4,0,2,0,28,31,1,0,0,0,0,0,1,0,0,0,0,0,0,90,291,2000,12
274,0,26,0,0,2,0,8,17,0,1,0,0,0,1,18,0,1,0,0,0,0,74,294,2001,3
275,0,26,8,0,2,0,6,21,1,3,0,0,0,1,23,0,0,0,0,1,0,92,295,2001,4
276,0,32,7,0,10,0,6,28,3,2,0,0,0,0,16,0,0,0,0,3,0,107,296,2001,5
279,0,31,7,0,3,0,23,81,3,5,0,0,0,0,66,0,0,0,0,0,0,219,299,2001,8
280,0,35,7,0,4,0,22,87,2,2,0,1,0,0,52,0,0,0,0,0,0,212,300,2001,9
281,0,37,12,0,5,0,38,78,4,8,0,1,0,0,24,0,0,0,0,1,0,208,301,2001,10
282,0,34,19,0,8,0,28,80,12,1,0,0,0,0,7,0,2,0,0,1,0,192,302,2001,11
285,0,37,28,0,4,0,10,63,7,2,0,0,0,1,4,0,9,3,0,1,0,169,305,2002,2
