"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","sNaiveArima","exclosures","NA",0.0077150749121322835,-0.9204092338841062,0.9358393837083708,217,567,568,580,0.95,126,,3408
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","sNaiveArima","exclosures","NA",0.009195865402818571,-1.127519621809238,1.1459113526148752,217,567,568,580,0.95,126,,3408
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","sNaiveArima","exclosures","NA",0.008443898813103942,-1.3041220862546912,1.321009883880899,217,567,568,580,0.95,126,,3408
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","sNaiveArima","exclosures","NA",0.005561043558350061,-1.4619323402244317,1.4730544273411317,217,567,568,580,0.95,126,,3408
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","sNaiveArima","exclosures","NA",0.0015087142405412195,-1.6060497443342896,1.609067172815372,217,567,568,580,0.95,126,,3408
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","sNaiveArima","exclosures","NA",-0.0029792109615146005,-1.7393407988874667,1.7333823769644376,217,567,568,580,0.95,126,,3408
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","sNaiveArima","exclosures","NA",-0.006539117030126103,-1.8627877346226032,1.849709500562351,217,567,568,580,0.95,126,,3408
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","sNaiveArima","exclosures","NA",-0.008414334549702304,-1.9772633121513945,1.96043464305199,217,567,568,580,0.95,126,,3408
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","sNaiveArima","exclosures","NA",-0.008076110723357554,-2.083425156761753,2.067272935315038,217,567,568,580,0.95,126,,3408
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","sNaiveArima","exclosures","NA",-0.005580615759192633,-2.182225058285745,2.1710638267673597,217,567,568,580,0.95,126,,3408
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","sNaiveArima","exclosures","NA",-0.0016542106624214785,-2.275085185086535,2.2717767637616917,217,567,568,580,0.95,126,,3408
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","sNaiveArima","exclosures","NA",0.002814018609625362,-2.3634479621862927,2.3690759994055433,217,567,568,580,0.95,126,,3408
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","sNaiveArima","exclosures","NA",0.00662204140478616,-2.448964065423779,2.462208148233351,217,567,568,580,0.95,126,,3408
