"","currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","nbGARCH",0.95,"controls","DM",15.054204604451,8,23,2771,2771.01,NA,558,2022-08-11,7,2022,107,217,558,558,570,0,NA,NA
"2","abundance","nbGARCH",0.95,"controls","DM",15.098034848038,6,25,2771,2771.01,NA,559,2022-08-11,8,2022,107,217,558,558,570,1,NA,NA
"3","abundance","nbGARCH",0.95,"controls","DM",15.1334038765211,5,27,2771,2771.01,NA,560,2022-08-11,9,2022,107,217,558,558,570,2,NA,NA
"4","abundance","nbGARCH",0.95,"controls","DM",15.1876818359705,5,28,2771,2771.01,NA,561,2022-08-11,10,2022,107,217,558,558,570,3,NA,NA
"5","abundance","nbGARCH",0.95,"controls","DM",15.3626282711534,4,29,2771,2771.01,NA,562,2022-08-11,11,2022,107,217,558,558,570,4,NA,NA
"6","abundance","nbGARCH",0.95,"controls","DM",15.5463620900549,4,29,2771,2771.01,NA,563,2022-08-11,12,2022,107,217,558,558,570,5,NA,NA
"7","abundance","nbGARCH",0.95,"controls","DM",15.709077816,5,30,2771,2771.01,NA,564,2022-08-11,1,2023,107,217,558,558,570,6,NA,NA
"8","abundance","nbGARCH",0.95,"controls","DM",15.8762188126114,5,30,2771,2771.01,NA,565,2022-08-11,2,2023,107,217,558,558,570,7,NA,NA
"9","abundance","nbGARCH",0.95,"controls","DM",16.0527694364645,5,29,2771,2771.01,NA,566,2022-08-11,3,2023,107,217,558,558,570,8,NA,NA
"10","abundance","nbGARCH",0.95,"controls","DM",16.1342474991967,4,30,2771,2771.01,NA,567,2022-08-11,4,2023,107,217,558,558,570,9,NA,NA
"11","abundance","nbGARCH",0.95,"controls","DM",16.1753556532068,4,31,2771,2771.01,NA,568,2022-08-11,5,2023,107,217,558,558,570,10,NA,NA
"12","abundance","nbGARCH",0.95,"controls","DM",16.1807202464493,4,31,2771,2771.01,NA,569,2022-08-11,6,2023,107,217,558,558,570,11,NA,NA
"13","abundance","nbGARCH",0.95,"controls","DM",16.1548881444916,4,30,2771,2771.01,NA,570,2022-08-11,7,2023,107,217,558,558,570,12,NA,NA
