"","currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","nbsGARCH",0.95,"controls","DM",19.5638819349235,11,28,2643,2643.01,NA,555,2022-06-30,4,2022,101,217,557,555,569,-2,NA,NA
"2","abundance","nbsGARCH",0.95,"controls","DM",17.8761061865624,8,29,2643,2643.01,NA,556,2022-06-30,5,2022,101,217,557,555,569,-1,NA,NA
"3","abundance","nbsGARCH",0.95,"controls","DM",16.2951196660252,6,28,2643,2643.01,NA,557,2022-06-30,6,2022,101,217,557,555,569,0,NA,NA
"4","abundance","nbsGARCH",0.95,"controls","DM",15.0925463594588,5,27,2643,2643.01,NA,558,2022-06-30,7,2022,101,217,557,555,569,1,NA,NA
"5","abundance","nbsGARCH",0.95,"controls","DM",14.4455969530761,4,27,2643,2643.01,NA,559,2022-06-30,8,2022,101,217,557,555,569,2,NA,NA
"6","abundance","nbsGARCH",0.95,"controls","DM",14.4165830096375,4,28,2643,2643.01,NA,560,2022-06-30,9,2022,101,217,557,555,569,3,NA,NA
"7","abundance","nbsGARCH",0.95,"controls","DM",14.9465724422275,4,28,2643,2643.01,NA,561,2022-06-30,10,2022,101,217,557,555,569,4,NA,NA
"8","abundance","nbsGARCH",0.95,"controls","DM",15.8871829666803,4,31,2643,2643.01,NA,562,2022-06-30,11,2022,101,217,557,555,569,5,NA,NA
"9","abundance","nbsGARCH",0.95,"controls","DM",17.0394914506121,4,34,2643,2643.01,NA,563,2022-06-30,12,2022,101,217,557,555,569,6,NA,NA
"10","abundance","nbsGARCH",0.95,"controls","DM",18.1013590822864,5,35,2643,2643.01,NA,564,2022-06-30,1,2023,101,217,557,555,569,7,NA,NA
"11","abundance","nbsGARCH",0.95,"controls","DM",18.6957628718794,6,36,2643,2643.01,NA,565,2022-06-30,2,2023,101,217,557,555,569,8,NA,NA
"12","abundance","nbsGARCH",0.95,"controls","DM",18.602398387444,6,36,2643,2643.01,NA,566,2022-06-30,3,2023,101,217,557,555,569,9,NA,NA
"13","abundance","nbsGARCH",0.95,"controls","DM",17.8437178326409,5,35,2643,2643.01,NA,567,2022-06-30,4,2023,101,217,557,555,569,10,NA,NA
"14","abundance","nbsGARCH",0.95,"controls","DM",16.6451443483877,5,32,2643,2643.01,NA,568,2022-06-30,5,2023,101,217,557,555,569,11,NA,NA
"15","abundance","nbsGARCH",0.95,"controls","DM",15.3454713942497,4,29,2643,2643.01,NA,569,2022-06-30,6,2023,101,217,557,555,569,12,NA,NA
