"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","nbsGARCH","all","PM",0.804322222742099,0,3,0.95,1981,"1981.14",,551,2021-12-23,1,2022,76,217,550,551,562,1,,
"abundance","nbsGARCH","all","PM",1.45271923959251,0,6,0.95,1981,"1981.14",,552,2021-12-23,2,2022,76,217,550,551,562,2,,
"abundance","nbsGARCH","all","PM",1.93386283249424,0,7,0.95,1981,"1981.14",,553,2021-12-23,3,2022,76,217,550,551,562,3,,
"abundance","nbsGARCH","all","PM",2.22451186466614,0,8,0.95,1981,"1981.14",,554,2021-12-23,4,2022,76,217,550,551,562,4,,
"abundance","nbsGARCH","all","PM",2.3355881640416,0,8,0.95,1981,"1981.14",,555,2021-12-23,4,2022,76,217,550,551,562,5,,
"abundance","nbsGARCH","all","PM",2.31483985274482,0,9,0.95,1981,"1981.14",,556,2021-12-23,5,2022,76,217,550,551,562,6,,
"abundance","nbsGARCH","all","PM",2.23908814852915,0,9,0.95,1981,"1981.14",,557,2021-12-23,6,2022,76,217,550,551,562,7,,
"abundance","nbsGARCH","all","PM",2.17435013745147,0,8,0.95,1981,"1981.14",,558,2021-12-23,7,2022,76,217,550,551,562,8,,
"abundance","nbsGARCH","all","PM",2.16641649056193,0,8,0.95,1981,"1981.14",,559,2021-12-23,8,2022,76,217,550,551,562,9,,
"abundance","nbsGARCH","all","PM",2.24088184588754,0,8,0.95,1981,"1981.14",,560,2021-12-23,9,2022,76,217,550,551,562,10,,
"abundance","nbsGARCH","all","PM",2.39937359637316,0,9,0.95,1981,"1981.14",,561,2021-12-23,10,2022,76,217,550,551,562,11,,
"abundance","nbsGARCH","all","PM",2.63092590886735,0,11,0.95,1981,"1981.14",,562,2021-12-23,11,2022,76,217,550,551,562,12,,
