"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","AutoArima","all","DM",52.812864445990186,32.69565678327717,72.9300721087032,217,567,568,580,0.95,126,,3186
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","AutoArima","all","DM",55.188174061120705,30.921088271740587,79.45525985050082,217,567,568,580,0.95,126,,3186
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","AutoArima","all","DM",53.96721688689005,26.95722303318408,80.97721074059602,217,567,568,580,0.95,126,,3186
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","AutoArima","all","DM",54.57777584457106,24.635061985877748,84.52048970326436,217,567,568,580,0.95,126,,3186
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","AutoArima","all","DM",54.12745874488521,21.641311739789117,86.6136057499813,217,567,568,580,0.95,126,,3186
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","AutoArima","all","DM",54.41695052480136,19.477381777737676,89.35651927186504,217,567,568,580,0.95,126,,3186
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","AutoArima","all","DM",54.25945462130426,17.10212164741686,91.41678759519166,217,567,568,580,0.95,126,,3186
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","AutoArima","all","DM",54.35608626250379,15.07104040586919,93.64113211913838,217,567,568,580,0.95,126,,3186
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","AutoArima","all","DM",54.292919718455295,13.007513900779067,95.57832553613153,217,567,568,580,0.95,126,,3186
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","AutoArima","all","DM",54.33063880779272,11.124978321545896,97.53629929403954,217,567,568,580,0.95,126,,3186
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","AutoArima","all","DM",54.30833541797849,9.271639907317123,99.34503092863986,217,567,568,580,0.95,126,,3186
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","AutoArima","all","DM",54.322285093356435,7.5222020948367145,101.12236809187615,217,567,568,580,0.95,126,,3186
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","AutoArima","all","DM",54.31366406963331,5.81663806436876,102.81069007489786,217,567,568,580,0.95,126,,3186
