"cast_id","cast_group","cast_date","start_moon","end_moon","lead_time","model","dataset","portalcasting_version","QAQC","notes"
85,4,"2019-11-28",217,525,12,"pevGARCH","all","0.15.0",TRUE,"model fit on interpolated data"
86,4,"2019-11-28",217,525,12,"pevGARCH","controls","0.15.0",TRUE,"model fit on interpolated data"
87,4,"2019-11-28",217,525,12,"pevGARCH","exclosures","0.15.0",TRUE,"model fit on interpolated data"
88,4,"2019-11-28",217,525,12,"simplexEDM","all","0.15.0",TRUE,"model fit on interpolated data"
89,4,"2019-11-28",217,525,12,"simplexEDM","controls","0.15.0",TRUE,"model fit on interpolated data"
90,4,"2019-11-28",217,525,12,"simplexEDM","exclosures","0.15.0",TRUE,"model fit on interpolated data"
91,5,"2019-11-29",217,525,12,"AutoArima","all","0.15.0",TRUE,NA
92,5,"2019-11-29",217,525,12,"AutoArima","controls","0.15.0",TRUE,NA
93,5,"2019-11-29",217,525,12,"AutoArima","exclosures","0.15.0",TRUE,NA
94,5,"2019-11-29",217,525,12,"ESSS","all","0.15.0",TRUE,"model fit on interpolated data"
95,5,"2019-11-29",217,525,12,"ESSS","controls","0.15.0",TRUE,"model fit on interpolated data"
96,5,"2019-11-29",217,525,12,"ESSS","exclosures","0.15.0",TRUE,"model fit on interpolated data"
97,5,"2019-11-29",217,525,12,"NaiveArima","all","0.15.0",TRUE,NA
98,5,"2019-11-29",217,525,12,"NaiveArima","controls","0.15.0",TRUE,NA
99,5,"2019-11-29",217,525,12,"NaiveArima","exclosures","0.15.0",TRUE,NA
100,5,"2019-11-29",217,525,12,"nbGARCH","all","0.15.0",TRUE,"model fit on interpolated data"
101,5,"2019-11-29",217,525,12,"nbGARCH","controls","0.15.0",TRUE,"model fit on interpolated data"
102,5,"2019-11-29",217,525,12,"nbGARCH","exclosures","0.15.0",TRUE,"model fit on interpolated data"
103,5,"2019-11-29",217,525,12,"nbsGARCH","all","0.15.0",TRUE,"model fit on interpolated data"
104,5,"2019-11-29",217,525,12,"nbsGARCH","controls","0.15.0",TRUE,"model fit on interpolated data"
105,5,"2019-11-29",217,525,12,"nbsGARCH","exclosures","0.15.0",TRUE,"model fit on interpolated data"
106,5,"2019-11-29",217,525,12,"pevGARCH","all","0.15.0",TRUE,"model fit on interpolated data"
107,5,"2019-11-29",217,525,12,"pevGARCH","controls","0.15.0",TRUE,"model fit on interpolated data"
108,5,"2019-11-29",217,525,12,"pevGARCH","exclosures","0.15.0",TRUE,"model fit on interpolated data"
109,5,"2019-11-29",217,525,12,"simplexEDM","all","0.15.0",TRUE,"model fit on interpolated data"
110,5,"2019-11-29",217,525,12,"simplexEDM","controls","0.15.0",TRUE,"model fit on interpolated data"
111,5,"2019-11-29",217,525,12,"simplexEDM","exclosures","0.15.0",TRUE,"model fit on interpolated data"
112,6,"2019-12-05",217,525,12,"AutoArima","all","0.15.0",TRUE,NA
113,6,"2019-12-05",217,525,12,"AutoArima","controls","0.15.0",TRUE,NA
114,6,"2019-12-05",217,525,12,"AutoArima","exclosures","0.15.0",TRUE,NA
115,6,"2019-12-05",217,525,12,"ESSS","all","0.15.0",TRUE,"model fit on interpolated data"
116,6,"2019-12-05",217,525,12,"ESSS","controls","0.15.0",TRUE,"model fit on interpolated data"
117,6,"2019-12-05",217,525,12,"ESSS","exclosures","0.15.0",TRUE,"model fit on interpolated data"
118,6,"2019-12-05",217,525,12,"jags_RW","all","0.15.0",TRUE,NA
119,6,"2019-12-05",217,525,12,"jags_RW","controls","0.15.0",TRUE,NA
120,6,"2019-12-05",217,525,12,"jags_RW","exclosures","0.15.0",TRUE,NA
121,6,"2019-12-05",217,525,12,"NaiveArima","all","0.15.0",TRUE,NA
122,6,"2019-12-05",217,525,12,"NaiveArima","controls","0.15.0",TRUE,NA
123,6,"2019-12-05",217,525,12,"NaiveArima","exclosures","0.15.0",TRUE,NA
124,6,"2019-12-05",217,525,12,"nbGARCH","all","0.15.0",TRUE,"model fit on interpolated data"
125,6,"2019-12-05",217,525,12,"nbGARCH","controls","0.15.0",TRUE,"model fit on interpolated data"
126,6,"2019-12-05",217,525,12,"nbGARCH","exclosures","0.15.0",TRUE,"model fit on interpolated data"
127,6,"2019-12-05",217,525,12,"nbsGARCH","all","0.15.0",TRUE,"model fit on interpolated data"
128,6,"2019-12-05",217,525,12,"nbsGARCH","controls","0.15.0",TRUE,"model fit on interpolated data"
129,6,"2019-12-05",217,525,12,"nbsGARCH","exclosures","0.15.0",TRUE,"model fit on interpolated data"
130,6,"2019-12-05",217,525,12,"pevGARCH","all","0.15.0",TRUE,"model fit on interpolated data"
131,6,"2019-12-05",217,525,12,"pevGARCH","controls","0.15.0",TRUE,"model fit on interpolated data"
132,6,"2019-12-05",217,525,12,"pevGARCH","exclosures","0.15.0",TRUE,"model fit on interpolated data"
133,6,"2019-12-05",217,525,12,"simplexEDM","all","0.15.0",TRUE,"model fit on interpolated data"
134,6,"2019-12-05",217,525,12,"simplexEDM","controls","0.15.0",TRUE,"model fit on interpolated data"
135,6,"2019-12-05",217,525,12,"simplexEDM","exclosures","0.15.0",TRUE,"model fit on interpolated data"
136,7,"2019-12-06",217,525,12,"AutoArima","all","0.15.0",TRUE,NA
137,7,"2019-12-06",217,525,12,"AutoArima","controls","0.15.0",TRUE,NA
138,7,"2019-12-06",217,525,12,"AutoArima","exclosures","0.15.0",TRUE,NA
139,7,"2019-12-06",217,525,12,"ESSS","all","0.15.0",TRUE,"model fit on interpolated data"
140,7,"2019-12-06",217,525,12,"ESSS","controls","0.15.0",TRUE,"model fit on interpolated data"
141,7,"2019-12-06",217,525,12,"ESSS","exclosures","0.15.0",TRUE,"model fit on interpolated data"
142,7,"2019-12-06",217,525,12,"NaiveArima","all","0.15.0",TRUE,NA
143,7,"2019-12-06",217,525,12,"NaiveArima","controls","0.15.0",TRUE,NA
144,7,"2019-12-06",217,525,12,"NaiveArima","exclosures","0.15.0",TRUE,NA
145,7,"2019-12-06",217,525,12,"nbGARCH","all","0.15.0",TRUE,"model fit on interpolated data"
146,7,"2019-12-06",217,525,12,"nbGARCH","controls","0.15.0",TRUE,"model fit on interpolated data"
147,7,"2019-12-06",217,525,12,"nbGARCH","exclosures","0.15.0",TRUE,"model fit on interpolated data"
148,7,"2019-12-06",217,525,12,"nbsGARCH","all","0.15.0",TRUE,"model fit on interpolated data"
149,7,"2019-12-06",217,525,12,"nbsGARCH","controls","0.15.0",TRUE,"model fit on interpolated data"
150,7,"2019-12-06",217,525,12,"nbsGARCH","exclosures","0.15.0",TRUE,"model fit on interpolated data"
151,7,"2019-12-06",217,525,12,"pevGARCH","all","0.15.0",TRUE,"model fit on interpolated data"
152,7,"2019-12-06",217,525,12,"pevGARCH","controls","0.15.0",TRUE,"model fit on interpolated data"
153,7,"2019-12-06",217,525,12,"pevGARCH","exclosures","0.15.0",TRUE,"model fit on interpolated data"
154,7,"2019-12-06",217,525,12,"simplexEDM","all","0.15.0",TRUE,"model fit on interpolated data"
155,7,"2019-12-06",217,525,12,"simplexEDM","controls","0.15.0",TRUE,"model fit on interpolated data"
156,7,"2019-12-06",217,525,12,"simplexEDM","exclosures","0.15.0",TRUE,"model fit on interpolated data"
157,8,"2019-12-19",217,525,12,"AutoArima","all","0.15.1",TRUE,NA
158,8,"2019-12-19",217,525,12,"AutoArima","controls","0.15.1",TRUE,NA
159,8,"2019-12-19",217,525,12,"AutoArima","exclosures","0.15.1",TRUE,NA
160,8,"2019-12-19",217,525,12,"ESSS","all","0.15.1",TRUE,"model fit on interpolated data"
161,8,"2019-12-19",217,525,12,"ESSS","controls","0.15.1",TRUE,"model fit on interpolated data"
162,8,"2019-12-19",217,525,12,"ESSS","exclosures","0.15.1",TRUE,"model fit on interpolated data"
163,8,"2019-12-19",217,525,12,"jags_RW","all","0.15.1",TRUE,NA
164,8,"2019-12-19",217,525,12,"jags_RW","controls","0.15.1",TRUE,NA
165,8,"2019-12-19",217,525,12,"jags_RW","exclosures","0.15.1",TRUE,NA
166,8,"2019-12-19",217,525,12,"NaiveArima","all","0.15.1",TRUE,NA
167,8,"2019-12-19",217,525,12,"NaiveArima","controls","0.15.1",TRUE,NA
168,8,"2019-12-19",217,525,12,"NaiveArima","exclosures","0.15.1",TRUE,NA
169,8,"2019-12-19",217,525,12,"nbGARCH","all","0.15.1",TRUE,"model fit on interpolated data"
170,8,"2019-12-19",217,525,12,"nbGARCH","controls","0.15.1",TRUE,"model fit on interpolated data"
171,8,"2019-12-19",217,525,12,"nbGARCH","exclosures","0.15.1",TRUE,"model fit on interpolated data"
172,8,"2019-12-19",217,525,12,"nbsGARCH","all","0.15.1",TRUE,"model fit on interpolated data"
173,8,"2019-12-19",217,525,12,"nbsGARCH","controls","0.15.1",TRUE,"model fit on interpolated data"
174,8,"2019-12-19",217,525,12,"nbsGARCH","exclosures","0.15.1",TRUE,"model fit on interpolated data"
175,8,"2019-12-19",217,525,12,"pevGARCH","all","0.15.1",TRUE,"model fit on interpolated data"
176,8,"2019-12-19",217,525,12,"pevGARCH","controls","0.15.1",TRUE,"model fit on interpolated data"
177,8,"2019-12-19",217,525,12,"pevGARCH","exclosures","0.15.1",TRUE,"model fit on interpolated data"
178,8,"2019-12-19",217,525,12,"simplexEDM","all","0.15.1",TRUE,"model fit on interpolated data"
179,8,"2019-12-19",217,525,12,"simplexEDM","controls","0.15.1",TRUE,"model fit on interpolated data"
180,8,"2019-12-19",217,525,12,"simplexEDM","exclosures","0.15.1",TRUE,"model fit on interpolated data"
181,9,"2019-12-20",217,525,12,"AutoArima","all","0.15.1",TRUE,NA
182,9,"2019-12-20",217,525,12,"AutoArima","controls","0.15.1",TRUE,NA
183,9,"2019-12-20",217,525,12,"AutoArima","exclosures","0.15.1",TRUE,NA
184,9,"2019-12-20",217,525,12,"ESSS","all","0.15.1",TRUE,"model fit on interpolated data"
185,9,"2019-12-20",217,525,12,"ESSS","controls","0.15.1",TRUE,"model fit on interpolated data"
186,9,"2019-12-20",217,525,12,"ESSS","exclosures","0.15.1",TRUE,"model fit on interpolated data"
187,9,"2019-12-20",217,525,12,"NaiveArima","all","0.15.1",TRUE,NA
188,9,"2019-12-20",217,525,12,"NaiveArima","controls","0.15.1",TRUE,NA
189,9,"2019-12-20",217,525,12,"NaiveArima","exclosures","0.15.1",TRUE,NA
