"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","pevGARCH","all","OL",1.232701058268496,0,4,217,567,568,580,0.95,126,,3593
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","pevGARCH","all","OL",1.4171002216937492,0,5,217,567,568,580,0.95,126,,3593
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","pevGARCH","all","OL",1.5111851882030176,0,5,217,567,568,580,0.95,126,,3593
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","pevGARCH","all","OL",1.5769123763822168,0,6,217,567,568,580,0.95,126,,3593
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","pevGARCH","all","OL",1.6371914418460978,0,6,217,567,568,580,0.95,126,,3593
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","pevGARCH","all","OL",1.6127486200264267,0,6,217,567,568,580,0.95,126,,3593
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","pevGARCH","all","OL",1.4668906122816967,0,5,217,567,568,580,0.95,126,,3593
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","pevGARCH","all","OL",1.3201130217017565,0,5,217,567,568,580,0.95,126,,3593
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","pevGARCH","all","OL",1.257360398355073,0,5,217,567,568,580,0.95,126,,3593
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","pevGARCH","all","OL",1.3043316370065168,0,4,217,567,568,580,0.95,126,,3593
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","pevGARCH","all","OL",1.3840828302964905,0,5,217,567,568,580,0.95,126,,3593
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","pevGARCH","all","OL",1.3541406215048815,0,5,217,567,568,580,0.95,126,,3593
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","pevGARCH","all","OL",1.3630247314741473,0,5,217,567,568,580,0.95,126,,3593
