"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","sAutoArima","all","PM",7.678530187052509,0.6645748058366978,14.69248556826832,217,567,568,580,0.95,126,,3243
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","sAutoArima","all","PM",7.454446708017284,-1.135859173296219,16.044752589330788,217,567,568,580,0.95,126,,3243
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","sAutoArima","all","PM",7.270359662120066,-2.6488711638750857,17.18959048811522,217,567,568,580,0.95,126,,3243
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","sAutoArima","all","PM",7.159273806409602,-3.930763399308673,18.249311012127876,217,567,568,580,0.95,126,,3243
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","sAutoArima","all","PM",7.158343949505586,-4.990183132781334,19.306871031792504,217,567,568,580,0.95,126,,3243
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","sAutoArima","all","PM",7.266232653332041,-5.855676327982447,20.38814163464653,217,567,568,580,0.95,126,,3243
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","sAutoArima","all","PM",7.451872280591013,-6.576038481840609,21.479783043022636,217,567,568,580,0.95,126,,3243
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","sAutoArima","all","PM",7.675669853404764,-7.203176385587965,22.554516092397492,217,567,568,580,0.95,126,,3243
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","sAutoArima","all","PM",7.869899849451209,-7.813781174097797,23.553580873000215,217,567,568,580,0.95,126,,3243
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","sAutoArima","all","PM",7.998321488134555,-8.450861941241943,24.44750491751105,217,567,568,580,0.95,126,,3243
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","sAutoArima","all","PM",8.019852396094263,-9.160759366532742,25.200464158721267,217,567,568,580,0.95,126,,3243
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","sAutoArima","all","PM",7.932752250889831,-9.94939542725444,25.8148999290341,217,567,568,580,0.95,126,,3243
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","sAutoArima","all","PM",7.759825745653148,-10.79735589994712,26.31700739125342,217,567,568,580,0.95,126,,3243
