"cast_date","cast_month","cast_year","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_group","confidence_level","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2023-03-16",3,2023,"abundance","jags_logistic_competition","controls","DM",21.49,15.616,27.734,123,0.95,"3122.1",3122,NA,566,217,565,566,577,1,NA,NA
"2023-03-16",4,2023,"abundance","jags_logistic_competition","controls","DM",21.251,13.856,29.395,123,0.95,"3122.1",3122,NA,567,217,565,566,577,2,NA,NA
"2023-03-16",5,2023,"abundance","jags_logistic_competition","controls","DM",21.032,12.61,30.549,123,0.95,"3122.1",3122,NA,568,217,565,566,577,3,NA,NA
"2023-03-16",6,2023,"abundance","jags_logistic_competition","controls","DM",20.825,11.487,31.149,123,0.95,"3122.1",3122,NA,569,217,565,566,577,4,NA,NA
"2023-03-16",7,2023,"abundance","jags_logistic_competition","controls","DM",20.667,10.623,31.749,123,0.95,"3122.1",3122,NA,570,217,565,566,577,5,NA,NA
"2023-03-16",8,2023,"abundance","jags_logistic_competition","controls","DM",20.505,10.334,32.564,123,0.95,"3122.1",3122,NA,571,217,565,566,577,6,NA,NA
"2023-03-16",9,2023,"abundance","jags_logistic_competition","controls","DM",20.329,9.667,32.711,123,0.95,"3122.1",3122,NA,572,217,565,566,577,7,NA,NA
"2023-03-16",10,2023,"abundance","jags_logistic_competition","controls","DM",20.154,9.167,32.942,123,0.95,"3122.1",3122,NA,573,217,565,566,577,8,NA,NA
"2023-03-16",11,2023,"abundance","jags_logistic_competition","controls","DM",20.017,8.795,33.324,123,0.95,"3122.1",3122,NA,574,217,565,566,577,9,NA,NA
"2023-03-16",12,2023,"abundance","jags_logistic_competition","controls","DM",19.897,8.318,33.36,123,0.95,"3122.1",3122,NA,575,217,565,566,577,10,NA,NA
"2023-03-16",1,2024,"abundance","jags_logistic_competition","controls","DM",19.779,8.197,33.728,123,0.95,"3122.1",3122,NA,576,217,565,566,577,11,NA,NA
"2023-03-16",2,2024,"abundance","jags_logistic_competition","controls","DM",19.667,8,34,123,0.95,"3122.1",3122,NA,577,217,565,566,577,12,NA,NA
