"cast_date","cast_month","cast_year","currency","model","dataset","species","cast_group","confidence_level","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2022-06-30",4,2022,"abundance","pevGARCH","exclosures","DM",101,0.95,2.31278868301781,0,6,"2646.2",2646,NA,555,217,557,555,569,-2,NA,NA
"2022-06-30",5,2022,"abundance","pevGARCH","exclosures","DM",101,0.95,1.00370999780419,0,4,"2646.2",2646,NA,556,217,557,555,569,-1,NA,NA
"2022-06-30",6,2022,"abundance","pevGARCH","exclosures","DM",101,0.95,0.653524775496254,0,3,"2646.2",2646,NA,557,217,557,555,569,0,NA,NA
"2022-06-30",7,2022,"abundance","pevGARCH","exclosures","DM",101,0.95,0.439387903471844,0,2,"2646.2",2646,NA,558,217,557,555,569,1,NA,NA
"2022-06-30",8,2022,"abundance","pevGARCH","exclosures","DM",101,0.95,0.342291056366074,0,2,"2646.2",2646,NA,559,217,557,555,569,2,NA,NA
"2022-06-30",9,2022,"abundance","pevGARCH","exclosures","DM",101,0.95,0.384938360303024,0,2,"2646.2",2646,NA,560,217,557,555,569,3,NA,NA
"2022-06-30",10,2022,"abundance","pevGARCH","exclosures","DM",101,0.95,0.406298842481775,0,2,"2646.2",2646,NA,561,217,557,555,569,4,NA,NA
"2022-06-30",11,2022,"abundance","pevGARCH","exclosures","DM",101,0.95,0.462087111496382,0,2,"2646.2",2646,NA,562,217,557,555,569,5,NA,NA
"2022-06-30",12,2022,"abundance","pevGARCH","exclosures","DM",101,0.95,1.55707767289973,0,5,"2646.2",2646,NA,563,217,557,555,569,6,NA,NA
"2022-06-30",1,2023,"abundance","pevGARCH","exclosures","DM",101,0.95,0.650464974209896,0,3,"2646.2",2646,NA,564,217,557,555,569,7,NA,NA
"2022-06-30",2,2023,"abundance","pevGARCH","exclosures","DM",101,0.95,0.500551693223135,0,3,"2646.2",2646,NA,565,217,557,555,569,8,NA,NA
"2022-06-30",3,2023,"abundance","pevGARCH","exclosures","DM",101,0.95,0.395172197553996,0,2,"2646.2",2646,NA,566,217,557,555,569,9,NA,NA
"2022-06-30",4,2023,"abundance","pevGARCH","exclosures","DM",101,0.95,0.0977984787451603,0,1,"2646.2",2646,NA,567,217,557,555,569,10,NA,NA
"2022-06-30",5,2023,"abundance","pevGARCH","exclosures","DM",101,0.95,0.0625161111409497,0,1,"2646.2",2646,NA,568,217,557,555,569,11,NA,NA
"2022-06-30",6,2023,"abundance","pevGARCH","exclosures","DM",101,0.95,0.0846167847636162,0,1,"2646.2",2646,NA,569,217,557,555,569,12,NA,NA
