"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","nbsGARCH","all","PL",0.3763981388801639,0,2,217,567,568,580,0.95,126,,3467
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","nbsGARCH","all","PL",0.258997600221099,0,2,217,567,568,580,0.95,126,,3467
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","nbsGARCH","all","PL",0.2624050095816458,0,2,217,567,568,580,0.95,126,,3467
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","nbsGARCH","all","PL",0.3176790601301243,0,2,217,567,568,580,0.95,126,,3467
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","nbsGARCH","all","PL",0.40985261285764324,0,2,217,567,568,580,0.95,126,,3467
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","nbsGARCH","all","PL",0.5342802637977411,0,3,217,567,568,580,0.95,126,,3467
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","nbsGARCH","all","PL",0.6572014870465778,0,3,217,567,568,580,0.95,126,,3467
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","nbsGARCH","all","PL",0.7252820452974733,0,3,217,567,568,580,0.95,126,,3467
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","nbsGARCH","all","PL",0.6942684892862993,0,3,217,567,568,580,0.95,126,,3467
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","nbsGARCH","all","PL",0.5728532436755761,0,3,217,567,568,580,0.95,126,,3467
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","nbsGARCH","all","PL",0.4300900972865926,0,3,217,567,568,580,0.95,126,,3467
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","nbsGARCH","all","PL",0.31904465239014107,0,2,217,567,568,580,0.95,126,,3467
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","nbsGARCH","all","PL",0.25579139941397494,0,2,217,567,568,580,0.95,126,,3467
