"cast_date","cast_month","cast_year","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_id","cast_group","confidence_level","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2020-03-12",2,2020,"abundance","NaiveArima","all","SO",0,-0.518701832033059,0.518701832033059,"655.20",28,0.95,655,NA,528,217,528,528,540,0,NA,NA
"2020-03-12",3,2020,"abundance","NaiveArima","all","SO",0,-0.733555165688924,0.733555165688924,"655.20",28,0.95,655,NA,529,217,528,528,540,1,NA,NA
"2020-03-12",4,2020,"abundance","NaiveArima","all","SO",0,-0.898417927060317,0.898417927060317,"655.20",28,0.95,655,NA,530,217,528,528,540,2,NA,NA
"2020-03-12",5,2020,"abundance","NaiveArima","all","SO",0,-1.03740366406612,1.03740366406612,"655.20",28,0.95,655,NA,531,217,528,528,540,3,NA,NA
"2020-03-12",6,2020,"abundance","NaiveArima","all","SO",0,-1.1598525564796,1.1598525564796,"655.20",28,0.95,655,NA,532,217,528,528,540,4,NA,NA
"2020-03-12",7,2020,"abundance","NaiveArima","all","SO",0,-1.27055481712782,1.27055481712782,"655.20",28,0.95,655,NA,533,217,528,528,540,5,NA,NA
"2020-03-12",8,2020,"abundance","NaiveArima","all","SO",0,-1.37235605215307,1.37235605215307,"655.20",28,0.95,655,NA,534,217,528,528,540,6,NA,NA
"2020-03-12",9,2020,"abundance","NaiveArima","all","SO",0,-1.46711033137785,1.46711033137785,"655.20",28,0.95,655,NA,535,217,528,528,540,7,NA,NA
"2020-03-12",10,2020,"abundance","NaiveArima","all","SO",0,-1.55610549609918,1.55610549609918,"655.20",28,0.95,655,NA,536,217,528,528,540,8,NA,NA
"2020-03-12",11,2020,"abundance","NaiveArima","all","SO",0,-1.64027921572655,1.64027921572655,"655.20",28,0.95,655,NA,537,217,528,528,540,9,NA,NA
"2020-03-12",12,2020,"abundance","NaiveArima","all","SO",0,-1.72033935492361,1.72033935492361,"655.20",28,0.95,655,NA,538,217,528,528,540,10,NA,NA
"2020-03-12",1,2021,"abundance","NaiveArima","all","SO",0,-1.79683585412063,1.79683585412063,"655.20",28,0.95,655,NA,539,217,528,528,540,11,NA,NA
"2020-03-12",2,2021,"abundance","NaiveArima","all","SO",0,-1.87020605207231,1.87020605207231,"655.20",28,0.95,655,NA,540,217,528,528,540,12,NA,NA
