"currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","ESSS",0.95,"exclosures","OL",0.00256054730305252,-0.997242198095695,1.0023632927018,3028,"3028.04",,565,2023-02-16,2,2023,119,217,564,565,576,1,,
"abundance","ESSS",0.95,"exclosures","OL",0.00256054730305252,-1.14351838922373,1.14863948382984,3028,"3028.04",,566,2023-02-16,3,2023,119,217,564,565,576,2,,
"abundance","ESSS",0.95,"exclosures","OL",0.00256054730305252,-1.27313076637509,1.27825186098119,3028,"3028.04",,567,2023-02-16,4,2023,119,217,564,565,576,3,,
"abundance","ESSS",0.95,"exclosures","OL",0.00256054730305252,-1.39073759984182,1.39585869444793,3028,"3028.04",,568,2023-02-16,5,2023,119,217,564,565,576,4,,
"abundance","ESSS",0.95,"exclosures","OL",0.00256054730305252,-1.49916217206988,1.50428326667599,3028,"3028.04",,569,2023-02-16,6,2023,119,217,564,565,576,5,,
"abundance","ESSS",0.95,"exclosures","OL",0.00256054730305252,-1.60026898977328,1.60539008437938,3028,"3028.04",,570,2023-02-16,7,2023,119,217,564,565,576,6,,
"abundance","ESSS",0.95,"exclosures","OL",0.00256054730305252,-1.69536581269252,1.70048690729863,3028,"3028.04",,571,2023-02-16,8,2023,119,217,564,565,576,7,,
"abundance","ESSS",0.95,"exclosures","OL",0.00256054730305252,-1.7854118582478,1.79053295285391,3028,"3028.04",,572,2023-02-16,9,2023,119,217,564,565,576,8,,
"abundance","ESSS",0.95,"exclosures","OL",0.00256054730305252,-1.87113545847131,1.87625655307741,3028,"3028.04",,573,2023-02-16,10,2023,119,217,564,565,576,9,,
"abundance","ESSS",0.95,"exclosures","OL",0.00256054730305252,-1.95310509924758,1.95822619385368,3028,"3028.04",,574,2023-02-16,11,2023,119,217,564,565,576,10,,
"abundance","ESSS",0.95,"exclosures","OL",0.00256054730305252,-2.03177460702668,2.03689570163279,3028,"3028.04",,575,2023-02-16,12,2023,119,217,564,565,576,11,,
"abundance","ESSS",0.95,"exclosures","OL",0.00256054730305252,-2.1075131289427,2.11263422354881,3028,"3028.04",,576,2023-02-16,1,2024,119,217,564,565,576,12,,
