"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","ESSS","exclosures","NA",3.5622806268023166e-25,-0.500769076901949,0.500769076901949,217,567,568,580,0.95,126,,3314
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","ESSS","exclosures","NA",3.5622806268023166e-25,-0.5229287961075221,0.5229287961075221,217,567,568,580,0.95,126,,3314
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","ESSS","exclosures","NA",3.5622806268023166e-25,-0.544186900996059,0.544186900996059,217,567,568,580,0.95,126,,3314
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","ESSS","exclosures","NA",3.5622806268023166e-25,-0.5646452343134819,0.5646452343134819,217,567,568,580,0.95,126,,3314
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","ESSS","exclosures","NA",3.5622806268023166e-25,-0.5843877976567949,0.5843877976567949,217,567,568,580,0.95,126,,3314
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","ESSS","exclosures","NA",3.5622806268023166e-25,-0.6034848427818145,0.6034848427818145,217,567,568,580,0.95,126,,3314
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","ESSS","exclosures","NA",3.5622806268023166e-25,-0.6219958302791294,0.6219958302791294,217,567,568,580,0.95,126,,3314
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","ESSS","exclosures","NA",3.5622806268023166e-25,-0.639971616793945,0.639971616793945,217,567,568,580,0.95,126,,3314
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","ESSS","exclosures","NA",3.5622806268023166e-25,-0.6574561032640036,0.6574561032640036,217,567,568,580,0.95,126,,3314
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","ESSS","exclosures","NA",3.5622806268023166e-25,-0.6744874981319673,0.6744874981319673,217,567,568,580,0.95,126,,3314
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","ESSS","exclosures","NA",3.5622806268023166e-25,-0.6910993000673296,0.6910993000673296,217,567,568,580,0.95,126,,3314
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","ESSS","exclosures","NA",3.5622806268023166e-25,-0.7073210727603024,0.7073210727603024,217,567,568,580,0.95,126,,3314
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","ESSS","exclosures","NA",3.5622806268023166e-25,-0.7231790631565721,0.7231790631565721,217,567,568,580,0.95,126,,3314
