"cast_date","cast_month","cast_year","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_group","confidence_level","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2023-02-16",2,2023,"abundance","jags_logistic_competition_covariates","controls","DM",19.022,13.389,24.747,119,0.95,"3029.1",3029,NA,565,217,564,565,576,1,NA,NA
"2023-02-16",3,2023,"abundance","jags_logistic_competition_covariates","controls","DM",18.798,11.832,26.192,119,0.95,"3029.1",3029,NA,566,217,564,565,576,2,NA,NA
"2023-02-16",4,2023,"abundance","jags_logistic_competition_covariates","controls","DM",18.361,10.51,26.901,119,0.95,"3029.1",3029,NA,567,217,564,565,576,3,NA,NA
"2023-02-16",5,2023,"abundance","jags_logistic_competition_covariates","controls","DM",17.96,9.46,27.379,119,0.95,"3029.1",3029,NA,568,217,564,565,576,4,NA,NA
"2023-02-16",6,2023,"abundance","jags_logistic_competition_covariates","controls","DM",17.582,8.471,27.855,119,0.95,"3029.1",3029,NA,569,217,564,565,576,5,NA,NA
"2023-02-16",7,2023,"abundance","jags_logistic_competition_covariates","controls","DM",17.098,7.625,27.866,119,0.95,"3029.1",3029,NA,570,217,564,565,576,6,NA,NA
"2023-02-16",8,2023,"abundance","jags_logistic_competition_covariates","controls","DM",16.028,7.537,26.802,119,0.95,"3029.1",3029,NA,571,217,564,565,576,7,NA,NA
"2023-02-16",9,2023,"abundance","jags_logistic_competition_covariates","controls","DM",14.899,6.569,24.972,119,0.95,"3029.1",3029,NA,572,217,564,565,576,8,NA,NA
"2023-02-16",10,2023,"abundance","jags_logistic_competition_covariates","controls","DM",13.932,5.873,23.817,119,0.95,"3029.1",3029,NA,573,217,564,565,576,9,NA,NA
"2023-02-16",11,2023,"abundance","jags_logistic_competition_covariates","controls","DM",13.41,5.595,23.504,119,0.95,"3029.1",3029,NA,574,217,564,565,576,10,NA,NA
"2023-02-16",12,2023,"abundance","jags_logistic_competition_covariates","controls","DM",13.059,4.971,23.048,119,0.95,"3029.1",3029,NA,575,217,564,565,576,11,NA,NA
"2023-02-16",1,2024,"abundance","jags_logistic_competition_covariates","controls","DM",12.783,4.753,22.945,119,0.95,"3029.1",3029,NA,576,217,564,565,576,12,NA,NA
