"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","ESSS","exclosures","total",51.99999980843463,33.630094928823304,70.36990468804595,217,567,568,580,0.95,126,,3325
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","ESSS","exclosures","total",51.99999980843463,26.022335364528146,77.97766425234111,217,567,568,580,0.95,126,,3325
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","ESSS","exclosures","total",51.99999980843463,20.18452095561146,83.8154786612578,217,567,568,580,0.95,126,,3325
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","ESSS","exclosures","total",51.99999980843463,15.262956659745143,88.73704295712412,217,567,568,580,0.95,126,,3325
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","ESSS","exclosures","total",51.99999980843463,10.926943141284717,93.07305647558454,217,567,568,580,0.95,126,,3325
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","ESSS","exclosures","total",51.99999980843463,7.006871125744162,96.9931284911251,217,567,568,580,0.95,126,,3325
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","ESSS","exclosures","total",51.99999980843463,3.4019826335397454,100.59801698332952,217,567,568,580,0.95,126,,3325
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","ESSS","exclosures","total",51.99999980843463,0.04662727107557885,103.95337234579368,217,567,568,580,0.95,126,,3325
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","ESSS","exclosures","total",51.99999980843463,-3.1047963773770775,107.10479599424633,217,567,568,580,0.95,126,,3325
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","ESSS","exclosures","total",51.99999980843463,-6.085490697836242,110.08549031470551,217,567,568,580,0.95,126,,3325
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","ESSS","exclosures","total",51.99999980843463,-8.920520970924429,112.92052058779369,217,567,568,580,0.95,126,,3325
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","ESSS","exclosures","total",51.99999980843463,-11.629360527046934,115.62936014391619,217,567,568,580,0.95,126,,3325
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","ESSS","exclosures","total",51.99999980843463,-14.227495549436107,118.22749516630537,217,567,568,580,0.95,126,,3325
