"currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","nbsGARCH",0.95,"exclosures","PE",0.317803915100012,0,2,2972,"2972.08",,559,2022-10-13,8,2022,116,217,560,559,572,-1,,
"abundance","nbsGARCH",0.95,"exclosures","PE",0.483415923856778,0,2,2972,"2972.08",,560,2022-10-13,9,2022,116,217,560,559,572,0,,
"abundance","nbsGARCH",0.95,"exclosures","PE",0.633155038278528,0,3,2972,"2972.08",,561,2022-10-13,10,2022,116,217,560,559,572,1,,
"abundance","nbsGARCH",0.95,"exclosures","PE",0.781748550522902,0,4,2972,"2972.08",,562,2022-10-13,11,2022,116,217,560,559,572,2,,
"abundance","nbsGARCH",0.95,"exclosures","PE",0.92400774151056,0,4,2972,"2972.08",,563,2022-10-13,12,2022,116,217,560,559,572,3,,
"abundance","nbsGARCH",0.95,"exclosures","PE",0.993600153493302,0,4,2972,"2972.08",,564,2022-10-13,1,2023,116,217,560,559,572,4,,
"abundance","nbsGARCH",0.95,"exclosures","PE",0.949186501672254,0,4,2972,"2972.08",,565,2022-10-13,2,2023,116,217,560,559,572,5,,
"abundance","nbsGARCH",0.95,"exclosures","PE",0.814216221049355,0,4,2972,"2972.08",,566,2022-10-13,3,2023,116,217,560,559,572,6,,
"abundance","nbsGARCH",0.95,"exclosures","PE",0.641769820100723,0,3,2972,"2972.08",,567,2022-10-13,4,2023,116,217,560,559,572,7,,
"abundance","nbsGARCH",0.95,"exclosures","PE",0.507830304978195,0,3,2972,"2972.08",,568,2022-10-13,5,2023,116,217,560,559,572,8,,
"abundance","nbsGARCH",0.95,"exclosures","PE",0.428697279148066,0,2,2972,"2972.08",,569,2022-10-13,6,2023,116,217,560,559,572,9,,
"abundance","nbsGARCH",0.95,"exclosures","PE",0.402302830479533,0,2,2972,"2972.08",,570,2022-10-13,7,2023,116,217,560,559,572,10,,
"abundance","nbsGARCH",0.95,"exclosures","PE",0.422734618952041,0,2,2972,"2972.08",,571,2022-10-13,8,2023,116,217,560,559,572,11,,
"abundance","nbsGARCH",0.95,"exclosures","PE",0.487112438679842,0,3,2972,"2972.08",,572,2022-10-13,9,2023,116,217,560,559,572,12,,
