"cast_date","cast_month","cast_year","moon","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_group","confidence_level","start_moon","end_moon","cast_id"
"2023-02-09",2,2023,565,"abundance","jags_RW","controls","DM",11.986,10.171,13.194,118,0.95,217,564,3010
"2023-02-09",3,2023,566,"abundance","jags_RW","controls","DM",11.986,10.171,13.204,118,0.95,217,564,3010
"2023-02-09",4,2023,567,"abundance","jags_RW","controls","DM",11.986,10.169,13.21,118,0.95,217,564,3010
"2023-02-09",5,2023,568,"abundance","jags_RW","controls","DM",11.986,10.169,13.215,118,0.95,217,564,3010
"2023-02-09",6,2023,569,"abundance","jags_RW","controls","DM",11.986,10.168,13.227,118,0.95,217,564,3010
"2023-02-09",7,2023,570,"abundance","jags_RW","controls","DM",11.986,10.165,13.237,118,0.95,217,564,3010
"2023-02-09",8,2023,571,"abundance","jags_RW","controls","DM",11.987,10.167,13.244,118,0.95,217,564,3010
"2023-02-09",9,2023,572,"abundance","jags_RW","controls","DM",11.987,10.166,13.255,118,0.95,217,564,3010
"2023-02-09",10,2023,573,"abundance","jags_RW","controls","DM",11.987,10.166,13.262,118,0.95,217,564,3010
"2023-02-09",11,2023,574,"abundance","jags_RW","controls","DM",11.987,10.16,13.264,118,0.95,217,564,3010
"2023-02-09",12,2023,575,"abundance","jags_RW","controls","DM",11.987,10.166,13.278,118,0.95,217,564,3010
"2023-02-09",1,2024,576,"abundance","jags_RW","controls","DM",11.987,10.164,13.287,118,0.95,217,564,3010
