"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","ESSS","controls","DS",5.443119361553548e-13,-0.5413746652410992,0.5413746652421879,217,567,568,580,0.95,126,,3300
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","ESSS","controls","DS",5.443119361553548e-13,-0.5806479973116995,0.5806479973127882,217,567,568,580,0.95,126,,3300
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","ESSS","controls","DS",5.443119361553548e-13,-0.6174282674119037,0.6174282674129924,217,567,568,580,0.95,126,,3300
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","ESSS","controls","DS",5.443119361553548e-13,-0.6521374349141792,0.6521374349152679,217,567,568,580,0.95,126,,3300
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","ESSS","controls","DS",5.443119361553548e-13,-0.6850903609259346,0.6850903609270232,217,567,568,580,0.95,126,,3300
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","ESSS","controls","DS",5.443119361553548e-13,-0.7165293931520262,0.7165293931531149,217,567,568,580,0.95,126,,3300
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","ESSS","controls","DS",5.443119361553548e-13,-0.74664579277459,0.7466457927756787,217,567,568,580,0.95,126,,3300
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","ESSS","controls","DS",5.443119361553548e-13,-0.7755936490748119,0.7755936490759006,217,567,568,580,0.95,126,,3300
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","ESSS","controls","DS",5.443119361553548e-13,-0.8034992701318215,0.8034992701329102,217,567,568,580,0.95,126,,3300
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","ESSS","controls","DS",5.443119361553548e-13,-0.8304677270788785,0.8304677270799672,217,567,568,580,0.95,126,,3300
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","ESSS","controls","DS",5.443119361553548e-13,-0.8565875403814532,0.8565875403825419,217,567,568,580,0.95,126,,3300
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","ESSS","controls","DS",5.443119361553548e-13,-0.8819341148600264,0.8819341148611151,217,567,568,580,0.95,126,,3300
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","ESSS","controls","DS",5.443119361553548e-13,-0.9065723090692376,0.9065723090703263,217,567,568,580,0.95,126,,3300
