"cast_date","cast_month","cast_year","moon","currency","model","dataset","species","cast_group","confidence_level","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id"
"2023-01-12",4,2023,567,"abundance","pevGARCH","controls","DS",118,0.95,0.0866769737174302,0,1,217,563,3018
"2023-01-12",5,2023,568,"abundance","pevGARCH","controls","DS",118,0.95,0.0947555987016354,0,1,217,563,3018
"2023-01-12",6,2023,569,"abundance","pevGARCH","controls","DS",118,0.95,0.110619687158929,0,1,217,563,3018
"2023-01-12",7,2023,570,"abundance","pevGARCH","controls","DS",118,0.95,0.112502194550662,0,1,217,563,3018
"2023-01-12",8,2023,571,"abundance","pevGARCH","controls","DS",118,0.95,0.111475203193927,0,1,217,563,3018
"2023-01-12",9,2023,572,"abundance","pevGARCH","controls","DS",118,0.95,0.10930803641623,0,1,217,563,3018
"2023-01-12",10,2023,573,"abundance","pevGARCH","controls","DS",118,0.95,0.106746114072995,0,1,217,563,3018
"2023-01-12",11,2023,574,"abundance","pevGARCH","controls","DS",118,0.95,0.104017020079742,0,1,217,563,3018
"2023-01-12",12,2023,575,"abundance","pevGARCH","controls","DS",118,0.95,0.104576578549888,0,1,217,563,3018
"2023-01-12",11,2022,562,"abundance","pevGARCH","controls","NA",118,0.95,0.0563495843520637,0,1,217,563,3018
"2023-01-12",12,2022,563,"abundance","pevGARCH","controls","NA",118,0.95,0.0551709131794141,0,1,217,563,3018
"2023-01-12",1,2023,564,"abundance","pevGARCH","controls","NA",118,0.95,0.0491933825909155,0,1,217,563,3018
"2023-01-12",2,2023,565,"abundance","pevGARCH","controls","NA",118,0.95,0.0638904599305775,0,1,217,563,3018
"2023-01-12",3,2023,566,"abundance","pevGARCH","controls","NA",118,0.95,0.0647841488280131,0,1,217,563,3018
"2023-01-12",4,2023,567,"abundance","pevGARCH","controls","NA",118,0.95,0.100185893629111,0,1,217,563,3018
"2023-01-12",5,2023,568,"abundance","pevGARCH","controls","NA",118,0.95,0.148014772100176,0,1,217,563,3018
"2023-01-12",6,2023,569,"abundance","pevGARCH","controls","NA",118,0.95,0.0790290631105476,0,1,217,563,3018
"2023-01-12",7,2023,570,"abundance","pevGARCH","controls","NA",118,0.95,0.0650594475590281,0,1,217,563,3018
"2023-01-12",8,2023,571,"abundance","pevGARCH","controls","NA",118,0.95,0.0523094602162801,0,1,217,563,3018
"2023-01-12",9,2023,572,"abundance","pevGARCH","controls","NA",118,0.95,0.0441004094864508,0,1,217,563,3018
"2023-01-12",10,2023,573,"abundance","pevGARCH","controls","NA",118,0.95,0.0387597353188548,0,1,217,563,3018
"2023-01-12",11,2023,574,"abundance","pevGARCH","controls","NA",118,0.95,0.036931252617843,0,1,217,563,3018
"2023-01-12",12,2023,575,"abundance","pevGARCH","controls","NA",118,0.95,0.0371750335221792,0,1,217,563,3018
"2023-01-12",11,2022,562,"abundance","pevGARCH","controls","OL",118,0.95,0.314014245167424,0,2,217,563,3018
"2023-01-12",12,2022,563,"abundance","pevGARCH","controls","OL",118,0.95,0.444404451669767,0,2,217,563,3018
"2023-01-12",1,2023,564,"abundance","pevGARCH","controls","OL",118,0.95,0.493494164090774,0,2,217,563,3018
"2023-01-12",2,2023,565,"abundance","pevGARCH","controls","OL",118,0.95,0.465028587987939,0,2,217,563,3018
"2023-01-12",3,2023,566,"abundance","pevGARCH","controls","OL",118,0.95,0.449461501089513,0,2,217,563,3018
"2023-01-12",4,2023,567,"abundance","pevGARCH","controls","OL",118,0.95,0.370069746839701,0,2,217,563,3018
"2023-01-12",5,2023,568,"abundance","pevGARCH","controls","OL",118,0.95,0.281549034606681,0,2,217,563,3018
"2023-01-12",6,2023,569,"abundance","pevGARCH","controls","OL",118,0.95,0.257567112637043,0,1,217,563,3018
"2023-01-12",7,2023,570,"abundance","pevGARCH","controls","OL",118,0.95,0.2739162426262,0,2,217,563,3018
"2023-01-12",8,2023,571,"abundance","pevGARCH","controls","OL",118,0.95,0.299862677730354,0,2,217,563,3018
"2023-01-12",9,2023,572,"abundance","pevGARCH","controls","OL",118,0.95,0.356795440968407,0,2,217,563,3018
"2023-01-12",10,2023,573,"abundance","pevGARCH","controls","OL",118,0.95,0.420555165497539,0,2,217,563,3018
"2023-01-12",11,2023,574,"abundance","pevGARCH","controls","OL",118,0.95,0.482288971131323,0,2,217,563,3018
"2023-01-12",12,2023,575,"abundance","pevGARCH","controls","OL",118,0.95,0.50323527873103,0,2,217,563,3018
"2023-01-12",11,2022,562,"abundance","pevGARCH","controls","OT",118,0.95,5.09535893714585,1,9,217,563,3018
"2023-01-12",12,2022,563,"abundance","pevGARCH","controls","OT",118,0.95,4.28444442613443,0,10,217,563,3018
"2023-01-12",1,2023,564,"abundance","pevGARCH","controls","OT",118,0.95,3.64663394938632,0,10,217,563,3018
"2023-01-12",2,2023,565,"abundance","pevGARCH","controls","OT",118,0.95,3.29310587985827,0,10,217,563,3018
"2023-01-12",3,2023,566,"abundance","pevGARCH","controls","OT",118,0.95,3.17596626717007,0,10,217,563,3018
"2023-01-12",4,2023,567,"abundance","pevGARCH","controls","OT",118,0.95,2.9710885446793,0,9,217,563,3018
"2023-01-12",5,2023,568,"abundance","pevGARCH","controls","OT",118,0.95,2.82364685933652,0,8,217,563,3018
"2023-01-12",6,2023,569,"abundance","pevGARCH","controls","OT",118,0.95,2.83382140306031,0,9,217,563,3018
"2023-01-12",7,2023,570,"abundance","pevGARCH","controls","OT",118,0.95,2.84107619857458,0,9,217,563,3018
"2023-01-12",8,2023,571,"abundance","pevGARCH","controls","OT",118,0.95,2.84628190983288,0,9,217,563,3018
