"cast_date","cast_month","cast_year","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_group","confidence_level","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2022-06-23",4,2022,"abundance","jags_RW","dm_controls","DM",21.187,12.731,30.329,100,0.95,"2613.1",2613,NA,555,217,556,555,568,-1,NA,NA
"2022-06-23",5,2022,"abundance","jags_RW","dm_controls","DM",34.997,0.368,123.42,100,0.95,"2613.1",2613,NA,556,217,556,555,568,0,NA,NA
"2022-06-23",6,2022,"abundance","jags_RW","dm_controls","DM",45.133,1.612,196.9,100,0.95,"2613.1",2613,NA,557,217,556,555,568,1,NA,NA
"2022-06-23",7,2022,"abundance","jags_RW","dm_controls","DM",49.736,0.864,196.9,100,0.95,"2613.1",2613,NA,558,217,556,555,568,2,NA,NA
"2022-06-23",8,2022,"abundance","jags_RW","dm_controls","DM",52.281,0.483,196.9,100,0.95,"2613.1",2613,NA,559,217,556,555,568,3,NA,NA
"2022-06-23",9,2022,"abundance","jags_RW","dm_controls","DM",53.646,0.318,196.9,100,0.95,"2613.1",2613,NA,560,217,556,555,568,4,NA,NA
"2022-06-23",10,2022,"abundance","jags_RW","dm_controls","DM",53.836,0.18,196.9,100,0.95,"2613.1",2613,NA,561,217,556,555,568,5,NA,NA
"2022-06-23",11,2022,"abundance","jags_RW","dm_controls","DM",54.441,0.095,196.9,100,0.95,"2613.1",2613,NA,562,217,556,555,568,6,NA,NA
"2022-06-23",12,2022,"abundance","jags_RW","dm_controls","DM",53.341,0.037,196.9,100,0.95,"2613.1",2613,NA,563,217,556,555,568,7,NA,NA
"2022-06-23",1,2023,"abundance","jags_RW","dm_controls","DM",52.232,0.004,196.9,100,0.95,"2613.1",2613,NA,564,217,556,555,568,8,NA,NA
"2022-06-23",2,2023,"abundance","jags_RW","dm_controls","DM",51.618,0,196.9,100,0.95,"2613.1",2613,NA,565,217,556,555,568,9,NA,NA
"2022-06-23",3,2023,"abundance","jags_RW","dm_controls","DM",50.812,0,196.9,100,0.95,"2613.1",2613,NA,566,217,556,555,568,10,NA,NA
"2022-06-23",4,2023,"abundance","jags_RW","dm_controls","DM",50.053,0,196.9,100,0.95,"2613.1",2613,NA,567,217,556,555,568,11,NA,NA
"2022-06-23",5,2023,"abundance","jags_RW","dm_controls","DM",48.708,0,196.9,100,0.95,"2613.1",2613,NA,568,217,556,555,568,12,NA,NA
