"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","pevGARCH","exclosures","PP",1.07964131175601,0,3,0.95,1287,"1287.14",,528,2020-10-01,2,2020,51,217,535,528,547,-7,,
"abundance","pevGARCH","exclosures","PP",2.38597037050342,0,7,0.95,1287,"1287.14",,529,2020-10-01,3,2020,51,217,535,528,547,-6,,
"abundance","pevGARCH","exclosures","PP",3.69618009842689,0,10,0.95,1287,"1287.14",,530,2020-10-01,4,2020,51,217,535,528,547,-5,,
"abundance","pevGARCH","exclosures","PP",5.70718819706531,0,13,0.95,1287,"1287.14",,531,2020-10-01,5,2020,51,217,535,528,547,-4,,
"abundance","pevGARCH","exclosures","PP",11.231442343594,2,24,0.95,1287,"1287.14",,532,2020-10-01,6,2020,51,217,535,528,547,-3,,
"abundance","pevGARCH","exclosures","PP",13.6680451761304,3,28,0.95,1287,"1287.14",,533,2020-10-01,7,2020,51,217,535,528,547,-2,,
"abundance","pevGARCH","exclosures","PP",15.6015734512427,4,29,0.95,1287,"1287.14",,534,2020-10-01,8,2020,51,217,535,528,547,-1,,
"abundance","pevGARCH","exclosures","PP",18.4223889575243,5,34,0.95,1287,"1287.14",,535,2020-10-01,9,2020,51,217,535,528,547,0,,
"abundance","pevGARCH","exclosures","PP",15.5154826928323,4,27,0.95,1287,"1287.14",,536,2020-10-01,10,2020,51,217,535,528,547,1,,
"abundance","pevGARCH","exclosures","PP",10.2997369555631,2,19,0.95,1287,"1287.14",,537,2020-10-01,11,2020,51,217,535,528,547,2,,
"abundance","pevGARCH","exclosures","PP",6.34465122109864,1,13,0.95,1287,"1287.14",,538,2020-10-01,12,2020,51,217,535,528,547,3,,
"abundance","pevGARCH","exclosures","PP",4.35175886394051,0,10,0.95,1287,"1287.14",,539,2020-10-01,1,2021,51,217,535,528,547,4,,
"abundance","pevGARCH","exclosures","PP",3.89574308989857,0,9,0.95,1287,"1287.14",,540,2020-10-01,2,2021,51,217,535,528,547,5,,
"abundance","pevGARCH","exclosures","PP",3.79355440189931,0,9,0.95,1287,"1287.14",,541,2020-10-01,3,2021,51,217,535,528,547,6,,
"abundance","pevGARCH","exclosures","PP",4.53208544082184,0,11,0.95,1287,"1287.14",,542,2020-10-01,4,2021,51,217,535,528,547,7,,
"abundance","pevGARCH","exclosures","PP",5.75789303099793,0,13,0.95,1287,"1287.14",,543,2020-10-01,5,2021,51,217,535,528,547,8,,
"abundance","pevGARCH","exclosures","PP",7.19000851780719,1,16,0.95,1287,"1287.14",,544,2020-10-01,6,2021,51,217,535,528,547,9,,
"abundance","pevGARCH","exclosures","PP",8.53085808122256,1,18,0.95,1287,"1287.14",,545,2020-10-01,7,2021,51,217,535,528,547,10,,
"abundance","pevGARCH","exclosures","PP",9.74229350527027,2,19,0.95,1287,"1287.14",,546,2020-10-01,8,2021,51,217,535,528,547,11,,
"abundance","pevGARCH","exclosures","PP",10.881105102294,2,21,0.95,1287,"1287.14",,547,2020-10-01,9,2021,51,217,535,528,547,12,,
