"","currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","nbGARCH",0.95,"controls","DM",24.7015367342142,15,35,2477,2477.01,NA,554,2022-05-12,4,2022,94,217,555,554,567,-1,NA,NA
"2","abundance","nbGARCH",0.95,"controls","DM",22.9008838164421,12,35,2477,2477.01,NA,555,2022-05-12,4,2022,94,217,555,554,567,0,NA,NA
"3","abundance","nbGARCH",0.95,"controls","DM",21.472623253421,10,36,2477,2477.01,NA,556,2022-05-12,5,2022,94,217,555,554,567,1,NA,NA
"4","abundance","nbGARCH",0.95,"controls","DM",20.3261236613711,9,35,2477,2477.01,NA,557,2022-05-12,6,2022,94,217,555,554,567,2,NA,NA
"5","abundance","nbGARCH",0.95,"controls","DM",19.4361425881814,7,35,2477,2477.01,NA,558,2022-05-12,7,2022,94,217,555,554,567,3,NA,NA
"6","abundance","nbGARCH",0.95,"controls","DM",18.7251630162222,6,33,2477,2477.01,NA,559,2022-05-12,8,2022,94,217,555,554,567,4,NA,NA
"7","abundance","nbGARCH",0.95,"controls","DM",18.1543670575193,6,33,2477,2477.01,NA,560,2022-05-12,9,2022,94,217,555,554,567,5,NA,NA
"8","abundance","nbGARCH",0.95,"controls","DM",17.7101547185667,6,33,2477,2477.01,NA,561,2022-05-12,10,2022,94,217,555,554,567,6,NA,NA
"9","abundance","nbGARCH",0.95,"controls","DM",17.4293454052901,6,34,2477,2477.01,NA,562,2022-05-12,11,2022,94,217,555,554,567,7,NA,NA
"10","abundance","nbGARCH",0.95,"controls","DM",17.2242708509805,4,31,2477,2477.01,NA,563,2022-05-12,12,2022,94,217,555,554,567,8,NA,NA
"11","abundance","nbGARCH",0.95,"controls","DM",17.0636272271104,4,31,2477,2477.01,NA,564,2022-05-12,1,2023,94,217,555,554,567,9,NA,NA
"12","abundance","nbGARCH",0.95,"controls","DM",16.9512871259377,5,32,2477,2477.01,NA,565,2022-05-12,2,2023,94,217,555,554,567,10,NA,NA
"13","abundance","nbGARCH",0.95,"controls","DM",16.8811920655963,5,31,2477,2477.01,NA,566,2022-05-12,3,2023,94,217,555,554,567,11,NA,NA
"14","abundance","nbGARCH",0.95,"controls","DM",16.811118024877,4,31,2477,2477.01,NA,567,2022-05-12,4,2023,94,217,555,554,567,12,NA,NA
