"","currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","jags_logistic","controls","DM",19.932,11.847,28.753,0.95,2251,2251.01,NA,552,2022-03-17,1,2022,86,217,553,552,565,-1,NA,NA
"2","abundance","jags_logistic","controls","DM",32.588,0.382,115.363,0.95,2251,2251.01,NA,553,2022-03-17,3,2022,86,217,553,552,565,0,NA,NA
"3","abundance","jags_logistic","controls","DM",41.778,1.4,196.9,0.95,2251,2251.01,NA,554,2022-03-17,4,2022,86,217,553,552,565,1,NA,NA
"4","abundance","jags_logistic","controls","DM",46.277,0.746,196.9,0.95,2251,2251.01,NA,555,2022-03-17,4,2022,86,217,553,552,565,2,NA,NA
"5","abundance","jags_logistic","controls","DM",48.194,0.448,196.9,0.95,2251,2251.01,NA,556,2022-03-17,5,2022,86,217,553,552,565,3,NA,NA
"6","abundance","jags_logistic","controls","DM",48.955,0.241,196.9,0.95,2251,2251.01,NA,557,2022-03-17,6,2022,86,217,553,552,565,4,NA,NA
"7","abundance","jags_logistic","controls","DM",48.721,0.139,196.9,0.95,2251,2251.01,NA,558,2022-03-17,7,2022,86,217,553,552,565,5,NA,NA
"8","abundance","jags_logistic","controls","DM",48.473,0.075,196.9,0.95,2251,2251.01,NA,559,2022-03-17,8,2022,86,217,553,552,565,6,NA,NA
"9","abundance","jags_logistic","controls","DM",47.9,0.027,196.9,0.95,2251,2251.01,NA,560,2022-03-17,9,2022,86,217,553,552,565,7,NA,NA
"10","abundance","jags_logistic","controls","DM",47.225,0,196.9,0.95,2251,2251.01,NA,561,2022-03-17,10,2022,86,217,553,552,565,8,NA,NA
"11","abundance","jags_logistic","controls","DM",45.997,0,196.9,0.95,2251,2251.01,NA,562,2022-03-17,11,2022,86,217,553,552,565,9,NA,NA
"12","abundance","jags_logistic","controls","DM",45.563,0,196.9,0.95,2251,2251.01,NA,563,2022-03-17,12,2022,86,217,553,552,565,10,NA,NA
"13","abundance","jags_logistic","controls","DM",44.761,0,196.9,0.95,2251,2251.01,NA,564,2022-03-17,1,2023,86,217,553,552,565,11,NA,NA
"14","abundance","jags_logistic","controls","DM",43.897,0,196.9,0.95,2251,2251.01,NA,565,2022-03-17,2,2023,86,217,553,552,565,12,NA,NA
