"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","AutoArima","controls","BA",-4.769240695369947e-7,-1.4066259417417646,1.4066249878936254,217,567,568,580,0.95,126,,3203
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","AutoArima","controls","BA",-6.298068026616227e-7,-1.529642985659862,1.5296417260462565,217,567,568,580,0.95,126,,3203
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","AutoArima","controls","BA",-7.826895357862439e-7,-1.6434776688567243,1.6434761034776526,217,567,568,580,0.95,126,,3203
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","AutoArima","controls","BA",-9.355722689108651e-7,-1.7499228806635059,1.749921009518968,217,567,568,580,0.95,126,,3203
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","AutoArima","controls","BA",-0.0000010884550020354863,-1.8502544096134856,1.8502522327034814,217,567,568,580,0.95,126,,3203
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","AutoArima","controls","BA",-0.0000012413377351601075,-1.945418392234709,1.9454159095592385,217,567,568,580,0.95,126,,3203
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","AutoArima","controls","BA",-0.0000013942204682847355,-2.0361395107415943,2.0361367223006575,217,567,568,580,0.95,126,,3203
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","AutoArima","controls","BA",-0.0000015471032014093567,-2.122987408595524,2.1229843143891207,217,567,568,580,0.95,126,,3203
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","AutoArima","controls","BA",-0.0000016999859345339779,-2.206419499642745,2.2064160996708755,217,567,568,580,0.95,126,,3203
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","AutoArima","controls","BA",-0.000001852868667658599,-2.2868096815216354,2.2868059757843,217,567,568,580,0.95,126,,3203
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","AutoArima","controls","BA",-0.000002005751400783227,-2.3644682422907604,2.3644642307879584,217,567,568,580,0.95,126,,3203
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","AutoArima","controls","BA",-0.0000021586341339078482,-2.4396560525872704,2.439651735319002,217,567,568,580,0.95,126,,3203
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","AutoArima","controls","BA",-0.0000023115168670324694,-2.5125949288798175,2.512590305846083,217,567,568,580,0.95,126,,3203
