"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","AutoArima","controls","PF",0,-2.6850553005242443,2.6850553005242443,217,567,568,580,0.95,126,,3212
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","AutoArima","controls","PF",0,-3.239658269823562,3.239658269823562,217,567,568,580,0.95,126,,3212
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","AutoArima","controls","PF",0,-3.5625946327735196,3.5625946327735196,217,567,568,580,0.95,126,,3212
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","AutoArima","controls","PF",0,-3.927175955106089,3.927175955106089,217,567,568,580,0.95,126,,3212
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","AutoArima","controls","PF",0,-4.22740665997795,4.22740665997795,217,567,568,580,0.95,126,,3212
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","AutoArima","controls","PF",0,-4.523582812594364,4.523582812594364,217,567,568,580,0.95,126,,3212
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","AutoArima","controls","PF",0,-4.7937606976832825,4.7937606976832825,217,567,568,580,0.95,126,,3212
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","AutoArima","controls","PF",0,-5.053289194641656,5.053289194641656,217,567,568,580,0.95,126,,3212
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","AutoArima","controls","PF",0,-5.298261624251441,5.298261624251441,217,567,568,580,0.95,126,,3212
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","AutoArima","controls","PF",0,-5.533315980058569,5.533315980058569,217,567,568,580,0.95,126,,3212
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","AutoArima","controls","PF",0,-5.758329174282071,5.758329174282071,217,567,568,580,0.95,126,,3212
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","AutoArima","controls","PF",0,-5.975100301172276,5.975100301172276,217,567,568,580,0.95,126,,3212
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","AutoArima","controls","PF",0,-6.184165352868728,6.184165352868728,217,567,568,580,0.95,126,,3212
