"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","nbGARCH","exclosures","OT",0.5428526520380372,0,3,217,567,568,580,0.95,126,,3450
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","nbGARCH","exclosures","OT",0.8359806956931021,0,4,217,567,568,580,0.95,126,,3450
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","nbGARCH","exclosures","OT",0.9940653168793787,0,5,217,567,568,580,0.95,126,,3450
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","nbGARCH","exclosures","OT",1.079274394261995,0,6,217,567,568,580,0.95,126,,3450
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","nbGARCH","exclosures","OT",1.1251906687599496,0,7,217,567,568,580,0.95,126,,3450
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","nbGARCH","exclosures","OT",1.1499300098807717,0,6,217,567,568,580,0.95,126,,3450
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","nbGARCH","exclosures","OT",1.1658351845401405,0,6,217,567,568,580,0.95,126,,3450
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","nbGARCH","exclosures","OT",1.1744227889756287,0,6,217,567,568,580,0.95,126,,3450
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","nbGARCH","exclosures","OT",1.179059340018905,0,6,217,567,568,580,0.95,126,,3450
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","nbGARCH","exclosures","OT",1.1815626370049976,0,6,217,567,568,580,0.95,126,,3450
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","nbGARCH","exclosures","OT",1.182914169958047,0,6,217,567,568,580,0.95,126,,3450
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","nbGARCH","exclosures","OT",1.182677654374058,0,6,217,567,568,580,0.95,126,,3450
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","nbGARCH","exclosures","OT",1.1809003266503013,0,7,217,567,568,580,0.95,126,,3450
