"","currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","jags_logistic","controls","DM",19.929,11.813,28.584,0.95,2222,2222.01,NA,552,2022-03-10,1,2022,85,217,553,552,565,-1,NA,NA
"2","abundance","jags_logistic","controls","DM",32.444,0.245,115.947,0.95,2222,2222.01,NA,553,2022-03-10,3,2022,85,217,553,552,565,0,NA,NA
"3","abundance","jags_logistic","controls","DM",41.574,1.449,196.9,0.95,2222,2222.01,NA,554,2022-03-10,4,2022,85,217,553,552,565,1,NA,NA
"4","abundance","jags_logistic","controls","DM",46.511,0.747,196.9,0.95,2222,2222.01,NA,555,2022-03-10,4,2022,85,217,553,552,565,2,NA,NA
"5","abundance","jags_logistic","controls","DM",48.779,0.414,196.9,0.95,2222,2222.01,NA,556,2022-03-10,5,2022,85,217,553,552,565,3,NA,NA
"6","abundance","jags_logistic","controls","DM",49.517,0.255,196.9,0.95,2222,2222.01,NA,557,2022-03-10,6,2022,85,217,553,552,565,4,NA,NA
"7","abundance","jags_logistic","controls","DM",49.004,0.146,196.9,0.95,2222,2222.01,NA,558,2022-03-10,7,2022,85,217,553,552,565,5,NA,NA
"8","abundance","jags_logistic","controls","DM",48.393,0.073,196.9,0.95,2222,2222.01,NA,559,2022-03-10,8,2022,85,217,553,552,565,6,NA,NA
"9","abundance","jags_logistic","controls","DM",48.49,0.028,196.9,0.95,2222,2222.01,NA,560,2022-03-10,9,2022,85,217,553,552,565,7,NA,NA
"10","abundance","jags_logistic","controls","DM",47.477,0.001,196.9,0.95,2222,2222.01,NA,561,2022-03-10,10,2022,85,217,553,552,565,8,NA,NA
"11","abundance","jags_logistic","controls","DM",46.739,0,196.9,0.95,2222,2222.01,NA,562,2022-03-10,11,2022,85,217,553,552,565,9,NA,NA
"12","abundance","jags_logistic","controls","DM",45.509,0,196.9,0.95,2222,2222.01,NA,563,2022-03-10,12,2022,85,217,553,552,565,10,NA,NA
"13","abundance","jags_logistic","controls","DM",45.078,0,196.9,0.95,2222,2222.01,NA,564,2022-03-10,1,2023,85,217,553,552,565,11,NA,NA
"14","abundance","jags_logistic","controls","DM",43.851,0,196.9,0.95,2222,2222.01,NA,565,2022-03-10,2,2023,85,217,553,552,565,12,NA,NA
