"currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","ESSS",0.95,"exclosures","PP",2.0006006320484,-10.9946544119039,14.9958556760007,3074,"3074.13",,565,2023-03-02,2,2023,121,217,565,565,577,0,,
"abundance","ESSS",0.95,"exclosures","PP",2.0006006320484,-16.3765456947836,20.3777469588804,3074,"3074.13",,566,2023-03-02,3,2023,121,217,565,565,577,1,,
"abundance","ESSS",0.95,"exclosures","PP",2.0006006320484,-20.506339643747,24.5075409078438,3074,"3074.13",,567,2023-03-02,4,2023,121,217,565,565,577,2,,
"abundance","ESSS",0.95,"exclosures","PP",2.0006006320484,-23.9879586592753,27.9891599233721,3074,"3074.13",,568,2023-03-02,5,2023,121,217,565,565,577,3,,
"abundance","ESSS",0.95,"exclosures","PP",2.0006006320484,-27.05534656468,31.0565478287768,3074,"3074.13",,569,2023-03-02,6,2023,121,217,565,565,577,4,,
"abundance","ESSS",0.95,"exclosures","PP",2.0006006320484,-29.828488593996,33.8296898580928,3074,"3074.13",,570,2023-03-02,7,2023,121,217,565,565,577,5,,
"abundance","ESSS",0.95,"exclosures","PP",2.0006006320484,-32.3786630950869,36.3798643591837,3074,"3074.13",,571,2023-03-02,8,2023,121,217,565,565,577,6,,
"abundance","ESSS",0.95,"exclosures","PP",2.0006006320484,-34.7523125569812,38.753513821078,3074,"3074.13",,572,2023-03-02,9,2023,121,217,565,565,577,7,,
"abundance","ESSS",0.95,"exclosures","PP",2.0006006320484,-36.9816963928932,40.98289765699,3074,"3074.13",,573,2023-03-02,10,2023,121,217,565,565,577,8,,
"abundance","ESSS",0.95,"exclosures","PP",2.0006006320484,-39.0903026775796,43.0915039416764,3074,"3074.13",,574,2023-03-02,11,2023,121,217,565,565,577,9,,
"abundance","ESSS",0.95,"exclosures","PP",2.0006006320484,-41.0958631238287,45.0970643879254,3074,"3074.13",,575,2023-03-02,12,2023,121,217,565,565,577,10,,
"abundance","ESSS",0.95,"exclosures","PP",2.0006006320484,-43.012153579642,47.0133548437388,3074,"3074.13",,576,2023-03-02,1,2024,121,217,565,565,577,11,,
"abundance","ESSS",0.95,"exclosures","PP",2.0006006320484,-44.8501293001787,48.8513305642754,3074,"3074.13",,577,2023-03-02,2,2024,121,217,565,565,577,12,,
