"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","nbsGARCH","exclosures","SF",0.24932510084562104,0,2,217,567,568,580,0.95,126,,3492
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","nbsGARCH","exclosures","SF",0.23480204745111397,0,2,217,567,568,580,0.95,126,,3492
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","nbsGARCH","exclosures","SF",0.17300582856145905,0,2,217,567,568,580,0.95,126,,3492
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","nbsGARCH","exclosures","SF",0.1271862919214225,0,1,217,567,568,580,0.95,126,,3492
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","nbsGARCH","exclosures","SF",0.10688563479725809,0,1,217,567,568,580,0.95,126,,3492
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","nbsGARCH","exclosures","SF",0.10604034267018571,0,1,217,567,568,580,0.95,126,,3492
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","nbsGARCH","exclosures","SF",0.12361298331311257,0,1,217,567,568,580,0.95,126,,3492
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","nbsGARCH","exclosures","SF",0.16368597447527006,0,2,217,567,568,580,0.95,126,,3492
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","nbsGARCH","exclosures","SF",0.2275453409986223,0,2,217,567,568,580,0.95,126,,3492
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","nbsGARCH","exclosures","SF",0.3140912366005566,0,2,217,567,568,580,0.95,126,,3492
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","nbsGARCH","exclosures","SF",0.39440596294021424,0,3,217,567,568,580,0.95,126,,3492
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","nbsGARCH","exclosures","SF",0.42638671550613905,0,3,217,567,568,580,0.95,126,,3492
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","nbsGARCH","exclosures","SF",0.3838278458157665,0,3,217,567,568,580,0.95,126,,3492
