"date","currency","model","level","species","aic","fit_start_newmoon","fit_end_newmoon","initial_newmoon"
"2019-10-18","abundance","nbGARCH","All","DM",2027.496084577,217,523,523
"2019-10-18","abundance","nbGARCH","All","DO",1703.17070529298,217,523,523
"2019-10-18","abundance","nbGARCH","All","DS",349.371071139165,217,523,523
"2019-10-18","abundance","nbGARCH","All","NA",1004.31591253138,217,523,523
"2019-10-18","abundance","nbGARCH","All","OL",923.76106981973,217,523,523
"2019-10-18","abundance","nbGARCH","All","OT",1674.31267340394,217,523,523
"2019-10-18","abundance","nbGARCH","All","PB",1969.27816737349,217,523,523
"2019-10-18","abundance","nbGARCH","All","PE",1367.90732010634,217,523,523
"2019-10-18","abundance","nbGARCH","All","PF",1226.48028622384,217,523,523
"2019-10-18","abundance","nbGARCH","All","PH",118.346096381696,217,523,523
"2019-10-18","abundance","nbGARCH","All","PL",456.251988246099,217,523,523
"2019-10-18","abundance","nbGARCH","All","PM",852.364369275035,217,523,523
"2019-10-18","abundance","nbGARCH","All","PP",2712.955439992,217,523,523
"2019-10-18","abundance","nbGARCH","All","RF",64.4870847222803,217,523,523
"2019-10-18","abundance","nbGARCH","All","RM",1710.54993658082,217,523,523
"2019-10-18","abundance","nbGARCH","All","RO",337.820282765998,217,523,523
"2019-10-18","abundance","nbGARCH","All","SF",685.543860468713,217,523,523
"2019-10-18","abundance","nbGARCH","All","SH",654.54133621213,217,523,523
"2019-10-18","abundance","nbGARCH","All","SO",32.9845024998416,217,523,523
"2019-10-18","abundance","nbGARCH","All","total",3036.48221236622,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","BA",273.519898685318,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","DM",1648.22068054032,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","DO",1054.58280749893,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","DS",221.588759141652,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","NA",216.629661924838,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","OL",450.26579482717,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","OT",1050.01012387192,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","PB",857.833623819682,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","PE",390.1760824797,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","PF",603.437051269067,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","PH",1e+06,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","PL",48.5782283001402,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","PM",277.1168124122,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","PP",1775.27869034818,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","RF",1e+06,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","RM",409.832913789847,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","RO",75.3054988492865,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","SF",267.461163319226,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","SH",184.251122373769,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","SO",1e+06,217,523,523
"2019-10-18","abundance","nbGARCH","Controls","total",2235.3371871177,217,523,523
"2019-10-18","abundance","nbsGARCH","All","BA",462.551881598346,217,523,523
"2019-10-18","abundance","nbsGARCH","All","DM",1995.83953346275,217,523,523
"2019-10-18","abundance","nbsGARCH","All","DO",1677.46367337303,217,523,523
