"","currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","nbGARCH",0.95,"controls","DM",19.15541010262,11,28,2373,2373.01,NA,552,2022-04-14,1,2022,90,217,554,552,566,-2,NA,NA
"2","abundance","nbGARCH",0.95,"controls","DM",18.4662243741486,8,30,2373,2373.01,NA,553,2022-04-14,3,2022,90,217,554,552,566,-1,NA,NA
"3","abundance","nbGARCH",0.95,"controls","DM",17.8973017509391,8,31,2373,2373.01,NA,554,2022-04-14,4,2022,90,217,554,552,566,0,NA,NA
"4","abundance","nbGARCH",0.95,"controls","DM",17.4216082642049,7,31,2373,2373.01,NA,555,2022-04-14,4,2022,90,217,554,552,566,1,NA,NA
"5","abundance","nbGARCH",0.95,"controls","DM",17.0179184493163,6,31,2373,2373.01,NA,556,2022-04-14,5,2022,90,217,554,552,566,2,NA,NA
"6","abundance","nbGARCH",0.95,"controls","DM",16.6693041218116,5,30,2373,2373.01,NA,557,2022-04-14,6,2022,90,217,554,552,566,3,NA,NA
"7","abundance","nbGARCH",0.95,"controls","DM",16.4123291061325,5,31,2373,2373.01,NA,558,2022-04-14,7,2022,90,217,554,552,566,4,NA,NA
"8","abundance","nbGARCH",0.95,"controls","DM",16.2046841248834,4,32,2373,2373.01,NA,559,2022-04-14,8,2022,90,217,554,552,566,5,NA,NA
"9","abundance","nbGARCH",0.95,"controls","DM",16.0365727251544,5,30,2373,2373.01,NA,560,2022-04-14,9,2022,90,217,554,552,566,6,NA,NA
"10","abundance","nbGARCH",0.95,"controls","DM",15.9207918471776,5,29,2373,2373.01,NA,561,2022-04-14,10,2022,90,217,554,552,566,7,NA,NA
"11","abundance","nbGARCH",0.95,"controls","DM",15.9299512330508,4,30,2373,2373.01,NA,562,2022-04-14,11,2022,90,217,554,552,566,8,NA,NA
"12","abundance","nbGARCH",0.95,"controls","DM",15.9690619700603,4,30,2373,2373.01,NA,563,2022-04-14,12,2022,90,217,554,552,566,9,NA,NA
"13","abundance","nbGARCH",0.95,"controls","DM",16.0104944780146,4,29,2373,2373.01,NA,564,2022-04-14,1,2023,90,217,554,552,566,10,NA,NA
"14","abundance","nbGARCH",0.95,"controls","DM",16.0361411502722,4,30,2373,2373.01,NA,565,2022-04-14,2,2023,90,217,554,552,566,11,NA,NA
"15","abundance","nbGARCH",0.95,"controls","DM",16.0500432577571,4,32,2373,2373.01,NA,566,2022-04-14,3,2023,90,217,554,552,566,12,NA,NA
