"","currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","jags_RW","controls","DM",21.281,12.776,30.198,0.95,2701,2701.01,NA,555,2022-07-21,4,2022,104,217,557,555,569,-2,NA,NA
"2","abundance","jags_RW","controls","DM",35.611,0.134,125.04,0.95,2701,2701.01,NA,556,2022-07-21,5,2022,104,217,557,555,569,-1,NA,NA
"3","abundance","jags_RW","controls","DM",45.612,1.647,196.9,0.95,2701,2701.01,NA,557,2022-07-21,6,2022,104,217,557,555,569,0,NA,NA
"4","abundance","jags_RW","controls","DM",51.406,0.927,196.9,0.95,2701,2701.01,NA,558,2022-07-21,7,2022,104,217,557,555,569,1,NA,NA
"5","abundance","jags_RW","controls","DM",53.49,0.541,196.9,0.95,2701,2701.01,NA,559,2022-07-21,8,2022,104,217,557,555,569,2,NA,NA
"6","abundance","jags_RW","controls","DM",54.311,0.335,196.9,0.95,2701,2701.01,NA,560,2022-07-21,9,2022,104,217,557,555,569,3,NA,NA
"7","abundance","jags_RW","controls","DM",54.767,0.191,196.9,0.95,2701,2701.01,NA,561,2022-07-21,10,2022,104,217,557,555,569,4,NA,NA
"8","abundance","jags_RW","controls","DM",53.991,0.115,196.9,0.95,2701,2701.01,NA,562,2022-07-21,11,2022,104,217,557,555,569,5,NA,NA
"9","abundance","jags_RW","controls","DM",53.482,0.051,196.9,0.95,2701,2701.01,NA,563,2022-07-21,12,2022,104,217,557,555,569,6,NA,NA
"10","abundance","jags_RW","controls","DM",52.455,0.013,196.9,0.95,2701,2701.01,NA,564,2022-07-21,1,2023,104,217,557,555,569,7,NA,NA
"11","abundance","jags_RW","controls","DM",51.545,0,196.9,0.95,2701,2701.01,NA,565,2022-07-21,2,2023,104,217,557,555,569,8,NA,NA
"12","abundance","jags_RW","controls","DM",50.523,0,196.9,0.95,2701,2701.01,NA,566,2022-07-21,3,2023,104,217,557,555,569,9,NA,NA
"13","abundance","jags_RW","controls","DM",50.19,0,196.9,0.95,2701,2701.01,NA,567,2022-07-21,4,2023,104,217,557,555,569,10,NA,NA
"14","abundance","jags_RW","controls","DM",49.39,0,196.9,0.95,2701,2701.01,NA,568,2022-07-21,5,2023,104,217,557,555,569,11,NA,NA
"15","abundance","jags_RW","controls","DM",48.204,0,196.9,0.95,2701,2701.01,NA,569,2022-07-21,6,2023,104,217,557,555,569,12,NA,NA
