"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","pevGARCH","exclosures","SF",0.27003936368318615,0,1,217,567,568,580,0.95,126,,3632
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","pevGARCH","exclosures","SF",0.28312876054314495,0,1,217,567,568,580,0.95,126,,3632
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","pevGARCH","exclosures","SF",0.18143954333283432,0,1,217,567,568,580,0.95,126,,3632
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","pevGARCH","exclosures","SF",0.16152163420564003,0,1,217,567,568,580,0.95,126,,3632
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","pevGARCH","exclosures","SF",0.1743846987940969,0,1,217,567,568,580,0.95,126,,3632
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","pevGARCH","exclosures","SF",0.16104519981576002,0,1,217,567,568,580,0.95,126,,3632
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","pevGARCH","exclosures","SF",0.14177215449926076,0,1,217,567,568,580,0.95,126,,3632
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","pevGARCH","exclosures","SF",0.14381663666875352,0,1,217,567,568,580,0.95,126,,3632
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","pevGARCH","exclosures","SF",0.17468881863269323,0,1,217,567,568,580,0.95,126,,3632
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","pevGARCH","exclosures","SF",0.18589709761746717,0,1,217,567,568,580,0.95,126,,3632
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","pevGARCH","exclosures","SF",0.2777431734378588,0,2,217,567,568,580,0.95,126,,3632
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","pevGARCH","exclosures","SF",0.20884112684915448,0,1,217,567,568,580,0.95,126,,3632
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","pevGARCH","exclosures","SF",0.1618143660522606,0,1,217,567,568,580,0.95,126,,3632
