"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","pGARCH","controls","DM",20.912793704948054,13,30,217,567,568,580,0.95,126,,3513
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","pGARCH","controls","DM",20.025076095275768,11,32,217,567,568,580,0.95,126,,3513
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","pGARCH","controls","DM",19.28995714290428,9,33,217,567,568,580,0.95,126,,3513
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","pGARCH","controls","DM",18.671423621668076,7,32,217,567,568,580,0.95,126,,3513
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","pGARCH","controls","DM",18.142256707645437,7,32,217,567,568,580,0.95,126,,3513
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","pGARCH","controls","DM",17.736529108383984,6,33,217,567,568,580,0.95,126,,3513
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","pGARCH","controls","DM",17.33146783649436,5,31,217,567,568,580,0.95,126,,3513
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","pGARCH","controls","DM",17.066925526208852,4,31,217,567,568,580,0.95,126,,3513
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","pGARCH","controls","DM",16.93103626191124,4,31,217,567,568,580,0.95,126,,3513
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","pGARCH","controls","DM",16.889020555789568,5,31,217,567,568,580,0.95,126,,3513
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","pGARCH","controls","DM",16.79996202046805,4,31,217,567,568,580,0.95,126,,3513
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","pGARCH","controls","DM",16.801661297085055,5,30,217,567,568,580,0.95,126,,3513
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","pGARCH","controls","DM",16.76429460226738,4,30,217,567,568,580,0.95,126,,3513
