"date","forecastmonth","forecastyear","newmoonnumber","currency","model","level","species","estimate","LowerPI","UpperPI","fit_start_newmoon","fit_end_newmoon","initial_newmoon"
2018-12-07,3,2019,516,"abundance","ESSS","Controls","total",25.0153062570053,3.02446410557786,47.0061484084327,217,510,510
2018-12-07,4,2019,517,"abundance","ESSS","Controls","total",25.7796626113922,1.48212755950775,50.0771976632766,217,510,510
2018-12-07,5,2019,518,"abundance","ESSS","Controls","total",26.5440189657791,-0.0582163964679516,53.1462543280261,217,510,510
2018-12-07,6,2019,519,"abundance","ESSS","Controls","total",27.308375320166,-1.60920017525352,56.2259508155856,217,510,510
2018-12-07,7,2019,520,"abundance","ESSS","Controls","total",28.0727316745529,-3.18030680160253,59.3257701507084,217,510,510
2018-12-07,8,2019,521,"abundance","ESSS","Controls","total",28.8370880289399,-4.77894533935866,62.4531213972384,217,510,510
2018-12-07,8,2019,522,"abundance","ESSS","Controls","total",29.6014443833268,-6.41110577537828,65.6139945420318,217,510,510
2018-12-07,9,2019,523,"abundance","ESSS","Controls","total",30.3658007377137,-8.08177752750825,68.8133790029356,217,510,510
2018-12-07,10,2019,524,"abundance","ESSS","Controls","total",31.1301570921006,-9.79522767641094,72.0555418606122,217,510,510
2018-12-07,10,2018,511,"abundance","nbGARCH","All","BA",0.673671793205718,0,4,217,510,510
2018-12-07,11,2018,512,"abundance","nbGARCH","All","BA",0.85573681617985,0,4,217,510,510
2018-12-07,12,2018,513,"abundance","nbGARCH","All","BA",0.904513946189646,0,5,217,510,510
2018-12-07,1,2019,514,"abundance","nbGARCH","All","BA",0.917084961895293,0,4,217,510,510
2018-12-07,2,2019,515,"abundance","nbGARCH","All","BA",0.941875928199317,0,5,217,510,510
2018-12-07,3,2019,516,"abundance","nbGARCH","All","BA",1.03518492107293,0,4,217,510,510
2018-12-07,4,2019,517,"abundance","nbGARCH","All","BA",1.03163564070675,0,4,217,510,510
2018-12-07,5,2019,518,"abundance","nbGARCH","All","BA",1.01258153657987,0,5,217,510,510
2018-12-07,6,2019,519,"abundance","nbGARCH","All","BA",0.961879231592765,0,4,217,510,510
2018-12-07,7,2019,520,"abundance","nbGARCH","All","BA",0.895819369461199,0,4,217,510,510
2018-12-07,8,2019,521,"abundance","nbGARCH","All","BA",0.881826831432026,0,4,217,510,510
2018-12-07,8,2019,522,"abundance","nbGARCH","All","BA",0.873730895374601,0,3,217,510,510
2018-12-07,9,2019,523,"abundance","nbGARCH","All","BA",0.869140595072713,0,4,217,510,510
2018-12-07,10,2019,524,"abundance","nbGARCH","All","BA",0.970437141890802,0,5,217,510,510
2018-12-07,10,2018,511,"abundance","nbGARCH","All","DM",23.7120938273172,15,33,217,510,510
2018-12-07,11,2018,512,"abundance","nbGARCH","All","DM",25.268085026169,13,39,217,510,510
2018-12-07,12,2018,513,"abundance","nbGARCH","All","DM",26.6871278562406,12,42,217,510,510
2018-12-07,1,2019,514,"abundance","nbGARCH","All","DM",27.9952057483678,12,45,217,510,510
2018-12-07,2,2019,515,"abundance","nbGARCH","All","DM",29.2182279869378,12,48,217,510,510
2018-12-07,3,2019,516,"abundance","nbGARCH","All","DM",30.3580293270271,13,51,217,510,510
2018-12-07,4,2019,517,"abundance","nbGARCH","All","DM",31.3947459417397,12,52,217,510,510
2018-12-07,5,2019,518,"abundance","nbGARCH","All","DM",32.3456378604627,13,54,217,510,510
2018-12-07,6,2019,519,"abundance","nbGARCH","All","DM",32.3418785099663,12,57,217,510,510
2018-12-07,7,2019,520,"abundance","nbGARCH","All","DM",32.7796443750489,12,58,217,510,510
2018-12-07,8,2019,521,"abundance","nbGARCH","All","DM",32.8809115586242,12,55,217,510,510
2018-12-07,8,2019,522,"abundance","nbGARCH","All","DM",32.8850355122516,12,56,217,510,510
2018-12-07,9,2019,523,"abundance","nbGARCH","All","DM",32.8528154037475,12,57,217,510,510
2018-12-07,10,2019,524,"abundance","nbGARCH","All","DM",32.8995291490774,12,56,217,510,510
2018-12-07,10,2018,511,"abundance","nbGARCH","All","DO",3.06571905449264,0,7,217,510,510
2018-12-07,11,2018,512,"abundance","nbGARCH","All","DO",4.07814249518745,0,10,217,510,510
2018-12-07,12,2018,513,"abundance","nbGARCH","All","DO",5.01963816520965,0,13,217,510,510
2018-12-07,1,2019,514,"abundance","nbGARCH","All","DO",5.88473828964308,0,16,217,510,510
2018-12-07,2,2019,515,"abundance","nbGARCH","All","DO",6.67981352428716,1,18,217,510,510
2018-12-07,3,2019,516,"abundance","nbGARCH","All","DO",7.38978871092249,1,19,217,510,510
2018-12-07,4,2019,517,"abundance","nbGARCH","All","DO",8.0035871271745,1,21,217,510,510
2018-12-07,5,2019,518,"abundance","nbGARCH","All","DO",8.60470152517929,1,23,217,510,510
2018-12-07,6,2019,519,"abundance","nbGARCH","All","DO",9.15977286724414,1,23,217,510,510
2018-12-07,7,2019,520,"abundance","nbGARCH","All","DO",9.62304597781609,1,25,217,510,510
2018-12-07,8,2019,521,"abundance","nbGARCH","All","DO",10.0001103278445,1,26,217,510,510
2018-12-07,8,2019,522,"abundance","nbGARCH","All","DO",10.3725581951799,1,27,217,510,510
2018-12-07,9,2019,523,"abundance","nbGARCH","All","DO",10.7264741932965,1,27,217,510,510
2018-12-07,10,2019,524,"abundance","nbGARCH","All","DO",11.0588085826274,1,28,217,510,510
2018-12-07,10,2018,511,"abundance","nbGARCH","All","DS",0.495629339493052,0,2,217,510,510
2018-12-07,11,2018,512,"abundance","nbGARCH","All","DS",0.392189542366757,0,2,217,510,510
2018-12-07,12,2018,513,"abundance","nbGARCH","All","DS",0.366670526428404,0,2,217,510,510
2018-12-07,1,2019,514,"abundance","nbGARCH","All","DS",0.360357331004292,0,2,217,510,510
2018-12-07,2,2019,515,"abundance","nbGARCH","All","DS",0.358794389459442,0,1,217,510,510
2018-12-07,3,2019,516,"abundance","nbGARCH","All","DS",0.35840738754065,0,1,217,510,510
2018-12-07,4,2019,517,"abundance","nbGARCH","All","DS",0.357486718792518,0,2,217,510,510
2018-12-07,5,2019,518,"abundance","nbGARCH","All","DS",0.357308262995829,0,2,217,510,510
2018-12-07,6,2019,519,"abundance","nbGARCH","All","DS",0.35726416667675,0,2,217,510,510
2018-12-07,7,2019,520,"abundance","nbGARCH","All","DS",0.358077570315625,0,2,217,510,510
2018-12-07,8,2019,521,"abundance","nbGARCH","All","DS",0.357454259516207,0,2,217,510,510
2018-12-07,8,2019,522,"abundance","nbGARCH","All","DS",0.343680924726196,0,2,217,510,510
2018-12-07,9,2019,523,"abundance","nbGARCH","All","DS",0.353895807504904,0,2,217,510,510
2018-12-07,10,2019,524,"abundance","nbGARCH","All","DS",0.351490031193459,0,2,217,510,510
2018-12-07,10,2018,511,"abundance","nbGARCH","All","NA",1.49197044011384,0,4,217,510,510
2018-12-07,11,2018,512,"abundance","nbGARCH","All","NA",1.83782057125873,0,5,217,510,510
2018-12-07,12,2018,513,"abundance","nbGARCH","All","NA",2.06771286548042,0,6,217,510,510
2018-12-07,1,2019,514,"abundance","nbGARCH","All","NA",2.21288750338741,0,7,217,510,510
2018-12-07,2,2019,515,"abundance","nbGARCH","All","NA",2.2726826650944,0,7,217,510,510
2018-12-07,3,2019,516,"abundance","nbGARCH","All","NA",2.28230779295483,0,7,217,510,510
2018-12-07,4,2019,517,"abundance","nbGARCH","All","NA",2.2307088750763,0,7,217,510,510
2018-12-07,5,2019,518,"abundance","nbGARCH","All","NA",2.25427739496574,0,6,217,510,510
2018-12-07,6,2019,519,"abundance","nbGARCH","All","NA",2.30041707281215,0,6,217,510,510
2018-12-07,7,2019,520,"abundance","nbGARCH","All","NA",2.30057465235716,0,7,217,510,510
2018-12-07,8,2019,521,"abundance","nbGARCH","All","NA",2.24667202579231,0,6,217,510,510
2018-12-07,8,2019,522,"abundance","nbGARCH","All","NA",2.29234677886242,0,6,217,510,510
2018-12-07,9,2019,523,"abundance","nbGARCH","All","NA",2.29495416512461,0,6,217,510,510
2018-12-07,10,2019,524,"abundance","nbGARCH","All","NA",2.31366583548019,0,6,217,510,510
2018-12-07,10,2018,511,"abundance","nbGARCH","All","OL",0.770654481357674,0,3,217,510,510
2018-12-07,11,2018,512,"abundance","nbGARCH","All","OL",1.30361097714938,0,5,217,510,510
2018-12-07,12,2018,513,"abundance","nbGARCH","All","OL",1.66067072375852,0,6,217,510,510
2018-12-07,1,2019,514,"abundance","nbGARCH","All","OL",1.89609389457788,0,7,217,510,510
2018-12-07,2,2019,515,"abundance","nbGARCH","All","OL",2.0499173215356,0,7,217,510,510
2018-12-07,3,2019,516,"abundance","nbGARCH","All","OL",2.14987689504187,0,8,217,510,510
2018-12-07,4,2019,517,"abundance","nbGARCH","All","OL",2.21462455905191,0,7,217,510,510
2018-12-07,5,2019,518,"abundance","nbGARCH","All","OL",2.25437810997965,0,7,217,510,510
2018-12-07,6,2019,519,"abundance","nbGARCH","All","OL",2.28212945895003,0,8,217,510,510
2018-12-07,7,2019,520,"abundance","nbGARCH","All","OL",2.30002440079314,0,8,217,510,510
2018-12-07,8,2019,521,"abundance","nbGARCH","All","OL",2.31155918958612,0,8,217,510,510
2018-12-07,8,2019,522,"abundance","nbGARCH","All","OL",2.31899166977844,0,7,217,510,510
2018-12-07,9,2019,523,"abundance","nbGARCH","All","OL",2.32377972064672,0,7,217,510,510
2018-12-07,10,2019,524,"abundance","nbGARCH","All","OL",2.32508453927638,0,8,217,510,510
2018-12-07,10,2018,511,"abundance","nbGARCH","All","OT",9.25008983634633,3,16,217,510,510
2018-12-07,11,2018,512,"abundance","nbGARCH","All","OT",9.32733671147292,2,20,217,510,510
2018-12-07,12,2018,513,"abundance","nbGARCH","All","OT",9.30762361255362,1,22,217,510,510
2018-12-07,1,2019,514,"abundance","nbGARCH","All","OT",9.33843131864779,1,23,217,510,510
2018-12-07,2,2019,515,"abundance","nbGARCH","All","OT",9.41362135523499,1,26,217,510,510
2018-12-07,3,2019,516,"abundance","nbGARCH","All","OT",9.53448520465993,1,27,217,510,510
2018-12-07,4,2019,517,"abundance","nbGARCH","All","OT",9.73913638196695,1,28,217,510,510
2018-12-07,5,2019,518,"abundance","nbGARCH","All","OT",9.98020796107624,1,27,217,510,510
2018-12-07,6,2019,519,"abundance","nbGARCH","All","OT",10.1946835829813,1,27,217,510,510
2018-12-07,7,2019,520,"abundance","nbGARCH","All","OT",10.4678622207411,1,28,217,510,510
2018-12-07,8,2019,521,"abundance","nbGARCH","All","OT",10.7495566576695,1,27,217,510,510
2018-12-07,8,2019,522,"abundance","nbGARCH","All","OT",11.0010344279435,1,28,217,510,510
2018-12-07,9,2019,523,"abundance","nbGARCH","All","OT",11.1502457805727,1,29,217,510,510
2018-12-07,10,2019,524,"abundance","nbGARCH","All","OT",11.2783296158014,1,30,217,510,510
2018-12-07,10,2018,511,"abundance","nbGARCH","All","PB",5.87456602635905,2,11,217,510,510
2018-12-07,11,2018,512,"abundance","nbGARCH","All","PB",6.69964509660893,1,15,217,510,510
2018-12-07,12,2018,513,"abundance","nbGARCH","All","PB",7.50767546851511,1,18,217,510,510
2018-12-07,1,2019,514,"abundance","nbGARCH","All","PB",8.28097202262756,1,20,217,510,510
2018-12-07,2,2019,515,"abundance","nbGARCH","All","PB",9.01989078723517,1,22,217,510,510
2018-12-07,3,2019,516,"abundance","nbGARCH","All","PB",9.72682611668536,1,27,217,510,510
2018-12-07,4,2019,517,"abundance","nbGARCH","All","PB",10.400447559579,1,27,217,510,510
