"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","simplexEDM","all","DM",27.8185666151289,15.1997897615427,40.4373434687151,0.95,616,"616.02",,528,2020-02-27,2,2020,26,217,528,528,540,0,,
"abundance","simplexEDM","all","DM",29.4562462448989,19.3948525961071,39.5176398936907,0.95,616,"616.02",,529,2020-02-27,3,2020,26,217,528,528,540,1,,
"abundance","simplexEDM","all","DM",27.5028770737215,16.7832609064953,38.2224932409476,0.95,616,"616.02",,530,2020-02-27,4,2020,26,217,528,528,540,2,,
"abundance","simplexEDM","all","DM",27.9564623811958,18.3605513957301,37.5523733666614,0.95,616,"616.02",,531,2020-02-27,5,2020,26,217,528,528,540,3,,
"abundance","simplexEDM","all","DM",26.3767098532314,10.3336575018583,42.4197622046044,0.95,616,"616.02",,532,2020-02-27,6,2020,26,217,528,528,540,4,,
"abundance","simplexEDM","all","DM",27.5739257479253,14.6848019569008,40.4630495389498,0.95,616,"616.02",,533,2020-02-27,7,2020,26,217,528,528,540,5,,
"abundance","simplexEDM","all","DM",28.0600245378001,12.2229910550644,43.8970580205357,0.95,616,"616.02",,534,2020-02-27,8,2020,26,217,528,528,540,6,,
"abundance","simplexEDM","all","DM",32.3000765062643,22.1310059440506,42.4691470684779,0.95,616,"616.02",,535,2020-02-27,9,2020,26,217,528,528,540,7,,
"abundance","simplexEDM","all","DM",32.8316833186196,22.7696118482664,42.8937547889728,0.95,616,"616.02",,536,2020-02-27,10,2020,26,217,528,528,540,8,,
"abundance","simplexEDM","all","DM",34.2922559252886,30.3297492226182,38.2547626279589,0.95,616,"616.02",,537,2020-02-27,11,2020,26,217,528,528,540,9,,
"abundance","simplexEDM","all","DM",35.0773779801486,29.0410887529573,41.11366720734,0.95,616,"616.02",,538,2020-02-27,12,2020,26,217,528,528,540,10,,
"abundance","simplexEDM","all","DM",35.3330007496603,29.0313742925279,41.6346272067927,0.95,616,"616.02",,539,2020-02-27,1,2021,26,217,528,528,540,11,,
"abundance","simplexEDM","all","DM",36.3890046625952,30.3215097625316,42.4564995626588,0.95,616,"616.02",,540,2020-02-27,2,2021,26,217,528,528,540,12,,
