"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","sAutoArima","exclosures","SF",0.3379464481326021,-2.0406872557447153,2.7165801520099198,217,567,568,580,0.95,126,,3276
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","sAutoArima","exclosures","SF",0.35743280134509775,-2.1630376170076375,2.8779032196978327,217,567,568,580,0.95,126,,3276
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","sAutoArima","exclosures","SF",0.2658719873544721,-2.254598430998263,2.7863424057072073,217,567,568,580,0.95,126,,3276
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","sAutoArima","exclosures","SF",0.1833000214538022,-2.337170396898933,2.7037704398065374,217,567,568,580,0.95,126,,3276
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","sAutoArima","exclosures","SF",0.1373030646273402,-2.383167353725395,2.657773482980075,217,567,568,580,0.95,126,,3276
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","sAutoArima","exclosures","SF",0.13553139419293495,-2.3849390241598,2.65600181254567,217,567,568,580,0.95,126,,3276
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","sAutoArima","exclosures","SF",0.17929678587979186,-2.3411736324729433,2.699767204232527,217,567,568,580,0.95,126,,3276
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","sAutoArima","exclosures","SF",0.25923596577515096,-2.2612344525775843,2.779706384127886,217,567,568,580,0.95,126,,3276
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","sAutoArima","exclosures","SF",0.3507222318939495,-2.1697481864587855,2.8711926502466847,217,567,568,580,0.95,126,,3276
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","sAutoArima","exclosures","SF",0.4367634739124368,-2.0837069444402982,2.957233892265172,217,567,568,580,0.95,126,,3276
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","sAutoArima","exclosures","SF",0.49064417570920327,-2.029826242643532,3.0111145940619384,217,567,568,580,0.95,126,,3276
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","sAutoArima","exclosures","SF",0.5015790049256923,-2.018891413427043,3.0220494232784274,217,567,568,580,0.95,126,,3276
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","sAutoArima","exclosures","SF",0.4663433688521479,-2.054127049500587,2.986813787204883,217,567,568,580,0.95,126,,3276
