"cast_date","cast_month","cast_year","currency","model","dataset","species","cast_group","confidence_level","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2023-03-16",3,2023,"abundance","NaiveArima","controls","OL",123,0.95,0,-1.48830562594869,1.48830562594869,"3127.5",3127,NA,566,217,565,566,577,1,NA,NA
"2023-03-16",4,2023,"abundance","NaiveArima","controls","OL",123,0.95,0,-2.10478200117282,2.10478200117282,"3127.5",3127,NA,567,217,565,566,577,2,NA,NA
"2023-03-16",5,2023,"abundance","NaiveArima","controls","OL",123,0.95,0,-2.57782096133373,2.57782096133373,"3127.5",3127,NA,568,217,565,566,577,3,NA,NA
"2023-03-16",6,2023,"abundance","NaiveArima","controls","OL",123,0.95,0,-2.97661125189738,2.97661125189738,"3127.5",3127,NA,569,217,565,566,577,4,NA,NA
"2023-03-16",7,2023,"abundance","NaiveArima","controls","OL",123,0.95,0,-3.32795255091665,3.32795255091665,"3127.5",3127,NA,570,217,565,566,577,5,NA,NA
"2023-03-16",8,2023,"abundance","NaiveArima","controls","OL",123,0.95,0,-3.64558936488782,3.64558936488782,"3127.5",3127,NA,571,217,565,566,577,6,NA,NA
"2023-03-16",9,2023,"abundance","NaiveArima","controls","OL",123,0.95,0,-3.93768656111855,3.93768656111855,"3127.5",3127,NA,572,217,565,566,577,7,NA,NA
"2023-03-16",10,2023,"abundance","NaiveArima","controls","OL",123,0.95,0,-4.20956400234564,4.20956400234564,"3127.5",3127,NA,573,217,565,566,577,8,NA,NA
"2023-03-16",11,2023,"abundance","NaiveArima","controls","OL",123,0.95,0,-4.46491687784607,4.46491687784607,"3127.5",3127,NA,574,217,565,566,577,9,NA,NA
"2023-03-16",12,2023,"abundance","NaiveArima","controls","OL",123,0.95,0,-4.70643563244046,4.70643563244046,"3127.5",3127,NA,575,217,565,566,577,10,NA,NA
"2023-03-16",1,2024,"abundance","NaiveArima","controls","OL",123,0.95,0,-4.93615133464684,4.93615133464684,"3127.5",3127,NA,576,217,565,566,577,11,NA,NA
"2023-03-16",2,2024,"abundance","NaiveArima","controls","OL",123,0.95,0,-5.15564192266747,5.15564192266747,"3127.5",3127,NA,577,217,565,566,577,12,NA,NA
