"currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","pevGARCH","all","RF",0.95,0.00880436204261763,0,0,2754,"2754.16",,558,2022-08-04,7,2022,106,217,558,558,570,0,,
"abundance","pevGARCH","all","RF",0.95,0.00948161275099046,0,0,2754,"2754.16",,559,2022-08-04,8,2022,106,217,558,558,570,1,,
"abundance","pevGARCH","all","RF",0.95,0.00987635734913041,0,0,2754,"2754.16",,560,2022-08-04,9,2022,106,217,558,558,570,2,,
"abundance","pevGARCH","all","RF",0.95,0.0121372413101786,0,0,2754,"2754.16",,561,2022-08-04,10,2022,106,217,558,558,570,3,,
"abundance","pevGARCH","all","RF",0.95,0.0173576084948607,0,0,2754,"2754.16",,562,2022-08-04,11,2022,106,217,558,558,570,4,,
"abundance","pevGARCH","all","RF",0.95,0.0256727256637408,0,1,2754,"2754.16",,563,2022-08-04,12,2022,106,217,558,558,570,5,,
"abundance","pevGARCH","all","RF",0.95,0.031762646055875,0,0,2754,"2754.16",,564,2022-08-04,1,2023,106,217,558,558,570,6,,
"abundance","pevGARCH","all","RF",0.95,0.0264729243487078,0,1,2754,"2754.16",,565,2022-08-04,2,2023,106,217,558,558,570,7,,
"abundance","pevGARCH","all","RF",0.95,0.0216927385371938,0,1,2754,"2754.16",,566,2022-08-04,3,2023,106,217,558,558,570,8,,
"abundance","pevGARCH","all","RF",0.95,0.0115663238222963,0,0,2754,"2754.16",,567,2022-08-04,4,2023,106,217,558,558,570,9,,
"abundance","pevGARCH","all","RF",0.95,0.00766128173298947,0,0,2754,"2754.16",,568,2022-08-04,5,2023,106,217,558,558,570,10,,
"abundance","pevGARCH","all","RF",0.95,0.00639986100663675,0,0,2754,"2754.16",,569,2022-08-04,6,2023,106,217,558,558,570,11,,
"abundance","pevGARCH","all","RF",0.95,0.00546970763278783,0,0,2754,"2754.16",,570,2022-08-04,7,2023,106,217,558,558,570,12,,
