"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","sNaiveArima","all","DM",46.380228335004034,26.083058951327295,66.67739771868077,217,567,568,580,0.95,126,,3374
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","sNaiveArima","all","DM",42.72516945581579,17.866315349391318,67.58402356224026,217,567,568,580,0.95,126,,3374
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","sNaiveArima","all","DM",39.85496579382089,11.150433573641287,68.5594980140005,217,567,568,580,0.95,126,,3374
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","sNaiveArima","all","DM",38.286430331694106,6.1937876783668315,70.37907298502138,217,567,568,580,0.95,126,,3374
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","sNaiveArima","all","DM",38.54437926363447,3.3886506412748787,73.70010788599406,217,567,568,580,0.95,126,,3374
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","sNaiveArima","all","DM",40.55820569355311,2.5856788160351343,78.5307325710711,217,567,568,580,0.95,126,,3374
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","sNaiveArima","all","DM",43.74321179400041,3.148873026646932,84.33755056135388,217,567,568,580,0.95,126,,3374
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","sNaiveArima","all","DM",47.42027741713897,4.363479086869567,90.47707574740838,217,567,568,580,0.95,126,,3374
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","sNaiveArima","all","DM",50.479256581060106,5.093406088331399,95.8651070737888,217,567,568,580,0.95,126,,3374
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","sNaiveArima","all","DM",52.34891683404868,4.747835255547187,99.94999841255017,217,567,568,580,0.95,126,,3374
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","sNaiveArima","all","DM",52.42630749527181,2.708599282422867,102.14401570812075,217,567,568,580,0.95,126,,3374
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","sNaiveArima","all","DM",50.743647079545674,-1.0041842994871928,102.49147845857854,217,567,568,580,0.95,126,,3374
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","sNaiveArima","all","DM",47.74365598732061,-5.957606520442198,101.44491849508341,217,567,568,580,0.95,126,,3374
