"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","psGARCH","all","OT",12.711011722142265,6,20,217,567,568,580,0.95,126,,3547
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","psGARCH","all","OT",13.390027847603529,5,24,217,567,568,580,0.95,126,,3547
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","psGARCH","all","OT",14.54452707096449,4,28,217,567,568,580,0.95,126,,3547
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","psGARCH","all","OT",15.68379167148355,4,32,217,567,568,580,0.95,126,,3547
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","psGARCH","all","OT",16.186178994603107,3,35,217,567,568,580,0.95,126,,3547
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","psGARCH","all","OT",16.300629590943664,3,35,217,567,568,580,0.95,126,,3547
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","psGARCH","all","OT",15.323037131255141,2,34,217,567,568,580,0.95,126,,3547
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","psGARCH","all","OT",13.81764567669438,2,32,217,567,568,580,0.95,126,,3547
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","psGARCH","all","OT",12.76032775534658,2,31,217,567,568,580,0.95,126,,3547
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","psGARCH","all","OT",12.210041689614984,2,29,217,567,568,580,0.95,126,,3547
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","psGARCH","all","OT",11.591809696529857,1,29,217,567,568,580,0.95,126,,3547
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","psGARCH","all","OT",10.89088578372503,1,27,217,567,568,580,0.95,126,,3547
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","psGARCH","all","OT",10.506764775196135,1,27,217,567,568,580,0.95,126,,3547
