"cast_date","cast_month","cast_year","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_group","confidence_level","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2022-09-15",8,2022,"abundance","jags_RW","dm_controls","DM",12.963,6.475,19.855,112,0.95,"2877.1",2877,NA,559,217,559,559,571,0,NA,NA
"2022-09-15",9,2022,"abundance","jags_RW","dm_controls","DM",22.391,0.16,77.474,112,0.95,"2877.1",2877,NA,560,217,559,559,571,1,NA,NA
"2022-09-15",10,2022,"abundance","jags_RW","dm_controls","DM",32.066,0,163.431,112,0.95,"2877.1",2877,NA,561,217,559,559,571,2,NA,NA
"2022-09-15",11,2022,"abundance","jags_RW","dm_controls","DM",37.546,0.441,196.9,112,0.95,"2877.1",2877,NA,562,217,559,559,571,3,NA,NA
"2022-09-15",12,2022,"abundance","jags_RW","dm_controls","DM",41.837,0.254,196.9,112,0.95,"2877.1",2877,NA,563,217,559,559,571,4,NA,NA
"2022-09-15",1,2023,"abundance","jags_RW","dm_controls","DM",44.187,0.14,196.9,112,0.95,"2877.1",2877,NA,564,217,559,559,571,5,NA,NA
"2022-09-15",2,2023,"abundance","jags_RW","dm_controls","DM",45.347,0.059,196.9,112,0.95,"2877.1",2877,NA,565,217,559,559,571,6,NA,NA
"2022-09-15",3,2023,"abundance","jags_RW","dm_controls","DM",45.673,0.011,196.9,112,0.95,"2877.1",2877,NA,566,217,559,559,571,7,NA,NA
"2022-09-15",4,2023,"abundance","jags_RW","dm_controls","DM",46.438,0,196.9,112,0.95,"2877.1",2877,NA,567,217,559,559,571,8,NA,NA
"2022-09-15",5,2023,"abundance","jags_RW","dm_controls","DM",47.079,0,196.9,112,0.95,"2877.1",2877,NA,568,217,559,559,571,9,NA,NA
"2022-09-15",6,2023,"abundance","jags_RW","dm_controls","DM",46.285,0,196.9,112,0.95,"2877.1",2877,NA,569,217,559,559,571,10,NA,NA
"2022-09-15",7,2023,"abundance","jags_RW","dm_controls","DM",46.134,0,196.9,112,0.95,"2877.1",2877,NA,570,217,559,559,571,11,NA,NA
"2022-09-15",8,2023,"abundance","jags_RW","dm_controls","DM",45.311,0,196.9,112,0.95,"2877.1",2877,NA,571,217,559,559,571,12,NA,NA
