"model","dataset","species","fit_successful"
"NaiveArima","exclosures","PM",true
"NaiveArima","exclosures","PP",true
"NaiveArima","exclosures","RM",true
"NaiveArima","exclosures","SF",true
"NaiveArima","exclosures","SH",true
"NaiveArima","exclosures","total",true
"sNaiveArima","all","BA",true
"sNaiveArima","all","DM",true
"sNaiveArima","all","DO",true
"sNaiveArima","all","DS",true
"sNaiveArima","all","NA",true
"sNaiveArima","all","OL",true
"sNaiveArima","all","OT",true
"sNaiveArima","all","PB",true
"sNaiveArima","all","PE",true
"sNaiveArima","all","PF",true
"sNaiveArima","all","PL",true
"sNaiveArima","all","PM",true
"sNaiveArima","all","PP",true
"sNaiveArima","all","RM",true
"sNaiveArima","all","RO",true
"sNaiveArima","all","SF",true
"sNaiveArima","all","SH",true
"sNaiveArima","all","total",true
"sNaiveArima","controls","BA",true
"sNaiveArima","controls","DM",true
"sNaiveArima","controls","DO",true
"sNaiveArima","controls","DS",true
"sNaiveArima","controls","NA",true
"sNaiveArima","controls","OL",true
"sNaiveArima","controls","OT",true
"sNaiveArima","controls","PB",true
"sNaiveArima","controls","PE",true
"sNaiveArima","controls","PF",true
"sNaiveArima","controls","PM",true
"sNaiveArima","controls","PP",true
"sNaiveArima","controls","RM",true
"sNaiveArima","controls","SF",true
"sNaiveArima","controls","SH",true
"sNaiveArima","controls","total",true
"sNaiveArima","exclosures","BA",true
"sNaiveArima","exclosures","NA",true
"sNaiveArima","exclosures","OL",true
"sNaiveArima","exclosures","OT",true
"sNaiveArima","exclosures","PB",true
"sNaiveArima","exclosures","PE",true
"sNaiveArima","exclosures","PF",true
"sNaiveArima","exclosures","PM",true
"sNaiveArima","exclosures","PP",true
"sNaiveArima","exclosures","RM",true
"sNaiveArima","exclosures","SF",true
"sNaiveArima","exclosures","SH",true
"sNaiveArima","exclosures","total",true
"nbGARCH","all","BA",true
"nbGARCH","all","DM",true
"nbGARCH","all","DO",true
"nbGARCH","all","NA",true
"nbGARCH","all","OL",false
"nbGARCH","all","OT",true
"nbGARCH","all","PB",true
"nbGARCH","all","PE",true
"nbGARCH","all","PF",true
"nbGARCH","all","PL",true
"nbGARCH","all","PM",true
"nbGARCH","all","PP",true
"nbGARCH","all","RM",true
"nbGARCH","all","RO",true
"nbGARCH","all","SF",true
"nbGARCH","all","SH",true
"nbGARCH","all","total",true
"nbGARCH","controls","BA",true
"nbGARCH","controls","OL",true
"nbGARCH","controls","OT",true
"nbGARCH","controls","PB",true
"nbGARCH","controls","PE",true
"nbGARCH","controls","PF",true
"nbGARCH","controls","PM",true
"nbGARCH","controls","PP",true
"nbGARCH","controls","RM",true
"nbGARCH","controls","SF",true
"nbGARCH","controls","SH",true
"nbGARCH","controls","total",true
"nbGARCH","exclosures","BA",true
"nbGARCH","exclosures","OL",true
"nbGARCH","exclosures","OT",true
"nbGARCH","exclosures","PB",true
"nbGARCH","exclosures","PE",true
"nbGARCH","exclosures","PF",true
"nbGARCH","exclosures","PM",true
"nbGARCH","exclosures","PP",true
"nbGARCH","exclosures","SF",true
"nbGARCH","exclosures","SH",true
"nbGARCH","exclosures","total",true
"nbsGARCH","all","BA",true
"nbsGARCH","all","DM",true
"nbsGARCH","all","DO",true
"nbsGARCH","all","NA",true
"nbsGARCH","all","OL",true
"nbsGARCH","all","OT",true
"nbsGARCH","all","PB",true
"nbsGARCH","all","PE",true
"nbsGARCH","all","PF",false
"nbsGARCH","all","PL",true
"nbsGARCH","all","PM",true
"nbsGARCH","all","PP",true
"nbsGARCH","all","RM",true
"nbsGARCH","all","RO",true
"nbsGARCH","all","SF",true
"nbsGARCH","all","SH",true
"nbsGARCH","all","total",true
"nbsGARCH","controls","BA",true
"nbsGARCH","controls","OL",true
"nbsGARCH","controls","OT",true
"nbsGARCH","controls","PB",true
"nbsGARCH","controls","PF",true
"nbsGARCH","controls","PM",true
"nbsGARCH","controls","PP",true
"nbsGARCH","controls","RM",true
"nbsGARCH","controls","SF",true
"nbsGARCH","controls","total",true
"nbsGARCH","exclosures","BA",true
"nbsGARCH","exclosures","OL",true
"nbsGARCH","exclosures","OT",true
"nbsGARCH","exclosures","PB",true
"nbsGARCH","exclosures","PE",true
"nbsGARCH","exclosures","PM",true
"nbsGARCH","exclosures","PP",true
"nbsGARCH","exclosures","SF",true
"nbsGARCH","exclosures","total",true
"pGARCH","all","BA",true
"pGARCH","all","DM",true
"pGARCH","all","DO",true
"pGARCH","all","DS",true
"pGARCH","all","NA",true
"pGARCH","all","OL",true
"pGARCH","all","OT",true
"pGARCH","all","PB",true
"pGARCH","all","PE",true
"pGARCH","all","PF",true
"pGARCH","all","PL",true
"pGARCH","all","PM",true
"pGARCH","all","PP",true
"pGARCH","all","RM",true
"pGARCH","all","RO",true
"pGARCH","all","SF",true
"pGARCH","all","SH",true
"pGARCH","all","total",true
"pGARCH","controls","BA",true
"pGARCH","controls","DM",true
"pGARCH","controls","DO",true
"pGARCH","controls","DS",true
"pGARCH","controls","NA",true
"pGARCH","controls","OL",true
"pGARCH","controls","OT",true
"pGARCH","controls","PB",true
"pGARCH","controls","PE",true
"pGARCH","controls","PF",true
"pGARCH","controls","PM",true
"pGARCH","controls","PP",true
"pGARCH","controls","RM",true
"pGARCH","controls","SF",true
"pGARCH","controls","SH",true
"pGARCH","controls","total",true
"pGARCH","exclosures","BA",true
"pGARCH","exclosures","NA",true
"pGARCH","exclosures","OL",true
"pGARCH","exclosures","OT",true
"pGARCH","exclosures","PB",true
"pGARCH","exclosures","PE",true
"pGARCH","exclosures","PF",true
"pGARCH","exclosures","PM",true
"pGARCH","exclosures","PP",true
"pGARCH","exclosures","RM",true
"pGARCH","exclosures","SF",true
"pGARCH","exclosures","SH",true
"pGARCH","exclosures","total",true
"psGARCH","all","BA",true
"psGARCH","all","DM",true
"psGARCH","all","DO",true
"psGARCH","all","DS",true
"psGARCH","all","NA",true
"psGARCH","all","OL",true
"psGARCH","all","OT",true
"psGARCH","all","PB",true
"psGARCH","all","PE",true
"psGARCH","all","PF",true
"psGARCH","all","PL",true
"psGARCH","all","PM",true
"psGARCH","all","PP",true
"psGARCH","all","RM",true
"psGARCH","all","RO",true
"psGARCH","all","SF",true
"psGARCH","all","SH",true
"psGARCH","all","total",true
"psGARCH","controls","BA",true
"psGARCH","controls","DM",true
"psGARCH","controls","DO",true
"psGARCH","controls","DS",true
"psGARCH","controls","NA",true
"psGARCH","controls","OL",true
"psGARCH","controls","OT",true
"psGARCH","controls","PB",true
"psGARCH","controls","PE",true
"psGARCH","controls","PF",true
"psGARCH","controls","PM",true
"psGARCH","controls","PP",true
"psGARCH","controls","RM",true
"psGARCH","controls","SF",true
"psGARCH","controls","SH",true
"psGARCH","controls","total",true
"psGARCH","exclosures","BA",true
"psGARCH","exclosures","NA",true
"psGARCH","exclosures","OL",true
"psGARCH","exclosures","OT",true
"psGARCH","exclosures","PB",true
"psGARCH","exclosures","PE",true
"psGARCH","exclosures","PF",true
"psGARCH","exclosures","PM",true
"psGARCH","exclosures","PP",true
"psGARCH","exclosures","RM",true
"psGARCH","exclosures","SF",true
"psGARCH","exclosures","SH",true
"psGARCH","exclosures","total",true
"pevGARCH","all","BA",true
"pevGARCH","all","DM",true
"pevGARCH","all","DO",true
"pevGARCH","all","DS",true
"pevGARCH","all","NA",true
"pevGARCH","all","OL",true
"pevGARCH","all","OT",true
"pevGARCH","all","PB",true
"pevGARCH","all","PE",true
"pevGARCH","all","PF",true
"pevGARCH","all","PL",true
"pevGARCH","all","PM",true
"pevGARCH","all","PP",true
"pevGARCH","all","RM",true
"pevGARCH","all","RO",true
"pevGARCH","all","SF",true
"pevGARCH","all","SH",true
"pevGARCH","all","total",true
"pevGARCH","controls","BA",true
"pevGARCH","controls","DM",true
"pevGARCH","controls","DO",true
"pevGARCH","controls","DS",true
"pevGARCH","controls","NA",true
"pevGARCH","controls","OL",true
"pevGARCH","controls","OT",true
"pevGARCH","controls","PB",true
"pevGARCH","controls","PE",true
"pevGARCH","controls","PF",true
"pevGARCH","controls","PM",true
"pevGARCH","controls","PP",true
"pevGARCH","controls","RM",true
"pevGARCH","controls","SF",true
"pevGARCH","controls","SH",true
"pevGARCH","controls","total",true
"pevGARCH","exclosures","BA",true
"pevGARCH","exclosures","NA",true
"pevGARCH","exclosures","OL",true
"pevGARCH","exclosures","OT",true
"pevGARCH","exclosures","PB",true
"pevGARCH","exclosures","PE",true
"pevGARCH","exclosures","PF",true
"pevGARCH","exclosures","PM",true
"pevGARCH","exclosures","PP",true
"pevGARCH","exclosures","RM",true
"pevGARCH","exclosures","SF",true
"pevGARCH","exclosures","SH",true
"pevGARCH","exclosures","total",true
"jags_RW","controls","DM",true
"jags_logistic","controls","DM",true
"jags_logistic_covariates","controls","DM",true
"jags_logistic_competition","controls","DM",true
"jags_logistic_competition_covariates","controls","DM",true
