"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","ESSS","all","PF",13.74820899039402,6.103416453463038,21.393001527325,217,567,568,580,0.95,126,,3288
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","ESSS","all","PF",13.74820899039402,3.967562710154496,23.528855270633542,217,567,568,580,0.95,126,,3288
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","ESSS","all","PF",13.74820899039402,2.220883611729164,25.275534369058875,217,567,568,580,0.95,126,,3288
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","ESSS","all","PF",13.74820899039402,0.7060688626366733,26.790349118151365,217,567,568,580,0.95,126,,3288
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","ESSS","all","PF",13.74820899039402,-0.6502495326044073,28.146667513392444,217,567,568,580,0.95,126,,3288
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","ESSS","all","PF",13.74820899039402,-1.8893674383545758,29.385785419142614,217,567,568,580,0.95,126,,3288
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","ESSS","all","PF",13.74820899039402,-3.0372604785067914,30.53367845929483,217,567,568,580,0.95,126,,3288
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","ESSS","all","PF",13.74820899039402,-4.111527122377883,31.60794510316592,217,567,568,580,0.95,126,,3288
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","ESSS","all","PF",13.74820899039402,-5.124744216359197,32.621162197147235,217,567,568,580,0.95,126,,3288
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","ESSS","all","PF",13.74820899039402,-6.086269865142974,33.58268784593101,217,567,568,580,0.95,126,,3288
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","ESSS","all","PF",13.74820899039402,-7.003290719197857,34.499708699985895,217,567,568,580,0.95,126,,3288
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","ESSS","all","PF",13.74820899039402,-7.881468051199533,35.37788603198757,217,567,568,580,0.95,126,,3288
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","ESSS","all","PF",13.74820899039402,-8.725355872575246,36.22177385336329,217,567,568,580,0.95,126,,3288
