"cast_date","cast_month","cast_year","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_group","confidence_level","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2022-08-11",7,2022,"abundance","jags_logistic","dm_controls","DM",12.776,6.456,19.84,107,0.95,"2766.1",2766,NA,558,217,558,558,570,0,NA,NA
"2022-08-11",8,2022,"abundance","jags_logistic","dm_controls","DM",21.352,0.095,74.023,107,0.95,"2766.1",2766,NA,559,217,558,558,570,1,NA,NA
"2022-08-11",9,2022,"abundance","jags_logistic","dm_controls","DM",29.587,0,143.382,107,0.95,"2766.1",2766,NA,560,217,558,558,570,2,NA,NA
"2022-08-11",10,2022,"abundance","jags_logistic","dm_controls","DM",35.068,0.441,196.9,107,0.95,"2766.1",2766,NA,561,217,558,558,570,3,NA,NA
"2022-08-11",11,2022,"abundance","jags_logistic","dm_controls","DM",38.343,0.236,196.9,107,0.95,"2766.1",2766,NA,562,217,558,558,570,4,NA,NA
"2022-08-11",12,2022,"abundance","jags_logistic","dm_controls","DM",39.856,0.131,196.9,107,0.95,"2766.1",2766,NA,563,217,558,558,570,5,NA,NA
"2022-08-11",1,2023,"abundance","jags_logistic","dm_controls","DM",40.94,0.066,196.9,107,0.95,"2766.1",2766,NA,564,217,558,558,570,6,NA,NA
"2022-08-11",2,2023,"abundance","jags_logistic","dm_controls","DM",41.805,0.014,196.9,107,0.95,"2766.1",2766,NA,565,217,558,558,570,7,NA,NA
"2022-08-11",3,2023,"abundance","jags_logistic","dm_controls","DM",41.54,0,196.9,107,0.95,"2766.1",2766,NA,566,217,558,558,570,8,NA,NA
"2022-08-11",4,2023,"abundance","jags_logistic","dm_controls","DM",41.348,0,196.9,107,0.95,"2766.1",2766,NA,567,217,558,558,570,9,NA,NA
"2022-08-11",5,2023,"abundance","jags_logistic","dm_controls","DM",41.432,0,196.9,107,0.95,"2766.1",2766,NA,568,217,558,558,570,10,NA,NA
"2022-08-11",6,2023,"abundance","jags_logistic","dm_controls","DM",40.844,0,196.9,107,0.95,"2766.1",2766,NA,569,217,558,558,570,11,NA,NA
"2022-08-11",7,2023,"abundance","jags_logistic","dm_controls","DM",40.1,0,196.9,107,0.95,"2766.1",2766,NA,570,217,558,558,570,12,NA,NA
