"currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","pevGARCH","exclosures","PH",0.95,0.00382440791091554,0,0,3068,"3068.09",,565,2023-02-23,2,2023,120,217,565,565,577,0,,
"abundance","pevGARCH","exclosures","PH",0.95,0.00372365002510698,0,0,3068,"3068.09",,566,2023-02-23,3,2023,120,217,565,565,577,1,,
"abundance","pevGARCH","exclosures","PH",0.95,0.00372342574986417,0,0,3068,"3068.09",,567,2023-02-23,4,2023,120,217,565,565,577,2,,
"abundance","pevGARCH","exclosures","PH",0.95,0.00372342525064373,0,0,3068,"3068.09",,568,2023-02-23,5,2023,120,217,565,565,577,3,,
"abundance","pevGARCH","exclosures","PH",0.95,0.0037234252495325,0,0,3068,"3068.09",,569,2023-02-23,6,2023,120,217,565,565,577,4,,
"abundance","pevGARCH","exclosures","PH",0.95,0.00428294212721852,0,0,3068,"3068.09",,570,2023-02-23,7,2023,120,217,565,565,577,5,,
"abundance","pevGARCH","exclosures","PH",0.95,0.0037246705548232,0,0,3068,"3068.09",,571,2023-02-23,8,2023,120,217,565,565,577,6,,
"abundance","pevGARCH","exclosures","PH",0.95,0.00372342802148883,0,0,3068,"3068.09",,572,2023-02-23,9,2023,120,217,565,565,577,7,,
"abundance","pevGARCH","exclosures","PH",0.95,0.0037234252557002,0,0,3068,"3068.09",,573,2023-02-23,10,2023,120,217,565,565,577,8,,
"abundance","pevGARCH","exclosures","PH",0.95,0.00372342524954376,0,0,3068,"3068.09",,574,2023-02-23,11,2023,120,217,565,565,577,9,,
"abundance","pevGARCH","exclosures","PH",0.95,0.00372342524953005,0,0,3068,"3068.09",,575,2023-02-23,12,2023,120,217,565,565,577,10,,
"abundance","pevGARCH","exclosures","PH",0.95,0.00372342524953002,0,0,3068,"3068.09",,576,2023-02-23,1,2024,120,217,565,565,577,11,,
"abundance","pevGARCH","exclosures","PH",0.95,0.00372342524953002,0,0,3068,"3068.09",,577,2023-02-23,2,2024,120,217,565,565,577,12,,
