"cast_date","cast_month","cast_year","currency","model","dataset","species","cast_group","confidence_level","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2022-05-19",4,2022,"abundance","pevGARCH","controls","DO",95,0.95,1.58487260331793,0,5,"2509.3",2509,NA,555,217,555,555,567,0,NA,NA
"2022-05-19",5,2022,"abundance","pevGARCH","controls","DO",95,0.95,2.01530814845513,0,7,"2509.3",2509,NA,556,217,555,555,567,1,NA,NA
"2022-05-19",6,2022,"abundance","pevGARCH","controls","DO",95,0.95,2.30822634088764,0,7,"2509.3",2509,NA,557,217,555,555,567,2,NA,NA
"2022-05-19",7,2022,"abundance","pevGARCH","controls","DO",95,0.95,2.48812343235798,0,9,"2509.3",2509,NA,558,217,555,555,567,3,NA,NA
"2022-05-19",8,2022,"abundance","pevGARCH","controls","DO",95,0.95,2.59363614444458,0,9,"2509.3",2509,NA,559,217,555,555,567,4,NA,NA
"2022-05-19",9,2022,"abundance","pevGARCH","controls","DO",95,0.95,2.66484832971647,0,8,"2509.3",2509,NA,560,217,555,555,567,5,NA,NA
"2022-05-19",10,2022,"abundance","pevGARCH","controls","DO",95,0.95,2.73145848740472,0,9,"2509.3",2509,NA,561,217,555,555,567,6,NA,NA
"2022-05-19",11,2022,"abundance","pevGARCH","controls","DO",95,0.95,2.91778028880787,0,9,"2509.3",2509,NA,562,217,555,555,567,7,NA,NA
"2022-05-19",12,2022,"abundance","pevGARCH","controls","DO",95,0.95,3.10003478709633,0,9,"2509.3",2509,NA,563,217,555,555,567,8,NA,NA
"2022-05-19",1,2023,"abundance","pevGARCH","controls","DO",95,0.95,3.256339611164,0,10,"2509.3",2509,NA,564,217,555,555,567,9,NA,NA
"2022-05-19",2,2023,"abundance","pevGARCH","controls","DO",95,0.95,3.36130360995297,0,11,"2509.3",2509,NA,565,217,555,555,567,10,NA,NA
"2022-05-19",3,2023,"abundance","pevGARCH","controls","DO",95,0.95,3.41802442001311,0,11,"2509.3",2509,NA,566,217,555,555,567,11,NA,NA
"2022-05-19",4,2023,"abundance","pevGARCH","controls","DO",95,0.95,3.45783469275551,0,11,"2509.3",2509,NA,567,217,555,555,567,12,NA,NA
