"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","nbGARCH","all","total",282.5881418856657,170,418,217,567,568,580,0.95,126,,3435
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","nbGARCH","all","total",275.9457692261289,136,476,217,567,568,580,0.95,126,,3435
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","nbGARCH","all","total",271.42331891839416,120,494,217,567,568,580,0.95,126,,3435
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","nbGARCH","all","total",268.56177929548187,115,505,217,567,568,580,0.95,126,,3435
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","nbGARCH","all","total",265.2965639476871,99,545,217,567,568,580,0.95,126,,3435
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","nbGARCH","all","total",261.2634634238815,93,562,217,567,568,580,0.95,126,,3435
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","nbGARCH","all","total",257.01183352575197,89,566,217,567,568,580,0.95,126,,3435
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","nbGARCH","all","total",251.13426184889175,86,570,217,567,568,580,0.95,126,,3435
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","nbGARCH","all","total",244.29689575359637,81,559,217,567,568,580,0.95,126,,3435
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","nbGARCH","all","total",236.2171011884465,74,533,217,567,568,580,0.95,126,,3435
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","nbGARCH","all","total",227.8653783544543,69,509,217,567,568,580,0.95,126,,3435
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","nbGARCH","all","total",224.44489183684414,63,519,217,567,568,580,0.95,126,,3435
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","nbGARCH","all","total",223.24821313898934,62,508,217,567,568,580,0.95,126,,3435
