"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","AutoArima","controls","PE",0.9376073611363908,-0.5884548235808101,2.4636695458535915,217,567,568,580,0.95,126,,3211
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","AutoArima","controls","PE",0.9403120341179342,-0.6090010599619636,2.489625128197832,217,567,568,580,0.95,126,,3211
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","AutoArima","controls","PE",0.9430167070994775,-0.6292034859240747,2.5152369001230297,217,567,568,580,0.95,126,,3211
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","AutoArima","controls","PE",0.9457213800810209,-0.6490769166369701,2.540519676799012,217,567,568,580,0.95,126,,3211
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","AutoArima","controls","PE",0.9484260530625642,-0.6686351328788321,2.5654872390039607,217,567,568,580,0.95,126,,3211
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","AutoArima","controls","PE",0.9511307260441075,-0.687890979407588,2.5901524314958033,217,567,568,580,0.95,126,,3211
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","AutoArima","controls","PE",0.953835399025651,-0.7068564516213542,2.614527249672656,217,567,568,580,0.95,126,,3211
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","AutoArima","controls","PE",0.9565400720071943,-0.7255427721681348,2.6386229161825234,217,567,568,580,0.95,126,,3211
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","AutoArima","controls","PE",0.9592447449887376,-0.7439604588937994,2.6624499488712745,217,567,568,580,0.95,126,,3211
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","AutoArima","controls","PE",0.961949417970281,-0.7621193852960342,2.686018221236596,217,567,568,580,0.95,126,,3211
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","AutoArima","controls","PE",0.9646540909518243,-0.7800288344703664,2.709337016374015,217,567,568,580,0.95,126,,3211
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","AutoArima","controls","PE",0.9673587639333677,-0.797697547384581,2.7324150752513163,217,567,568,580,0.95,126,,3211
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","AutoArima","controls","PE",0.970063436914911,-0.8151337661937295,2.7552606400235513,217,567,568,580,0.95,126,,3211
