"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","nbsGARCH","exclosures","SF",0.203055072404557,0,1,0.95,1835,"1835.18",,545,2021-10-14,7,2021,71,217,548,545,560,-3,,
"abundance","nbsGARCH","exclosures","SF",0.211531758259541,0,2,0.95,1835,"1835.18",,546,2021-10-14,8,2021,71,217,548,545,560,-2,,
"abundance","nbsGARCH","exclosures","SF",0.197376912795723,0,2,0.95,1835,"1835.18",,547,2021-10-14,9,2021,71,217,548,545,560,-1,,
"abundance","nbsGARCH","exclosures","SF",0.195904996821469,0,1,0.95,1835,"1835.18",,548,2021-10-14,10,2021,71,217,548,545,560,0,,
"abundance","nbsGARCH","exclosures","SF",0.213564610975514,0,2,0.95,1835,"1835.18",,549,2021-10-14,11,2021,71,217,548,545,560,1,,
"abundance","nbsGARCH","exclosures","SF",0.251162767997281,0,2,0.95,1835,"1835.18",,550,2021-10-14,12,2021,71,217,548,545,560,2,,
"abundance","nbsGARCH","exclosures","SF",0.304841332835878,0,2,0.95,1835,"1835.18",,551,2021-10-14,1,2022,71,217,548,545,560,3,,
"abundance","nbsGARCH","exclosures","SF",0.369330426075272,0,2,0.95,1835,"1835.18",,552,2021-10-14,2,2022,71,217,548,545,560,4,,
"abundance","nbsGARCH","exclosures","SF",0.422537107729895,0,3,0.95,1835,"1835.18",,553,2021-10-14,3,2022,71,217,548,545,560,5,,
"abundance","nbsGARCH","exclosures","SF",0.442834256153983,0,3,0.95,1835,"1835.18",,554,2021-10-14,4,2022,71,217,548,545,560,6,,
"abundance","nbsGARCH","exclosures","SF",0.417600986508243,0,2,0.95,1835,"1835.18",,555,2021-10-14,4,2022,71,217,548,545,560,7,,
"abundance","nbsGARCH","exclosures","SF",0.357067579830427,0,2,0.95,1835,"1835.18",,556,2021-10-14,5,2022,71,217,548,545,560,8,,
"abundance","nbsGARCH","exclosures","SF",0.290655779030517,0,2,0.95,1835,"1835.18",,557,2021-10-14,6,2022,71,217,548,545,560,9,,
"abundance","nbsGARCH","exclosures","SF",0.236710624310533,0,2,0.95,1835,"1835.18",,558,2021-10-14,7,2022,71,217,548,545,560,10,,
"abundance","nbsGARCH","exclosures","SF",0.205441793111082,0,2,0.95,1835,"1835.18",,559,2021-10-14,8,2022,71,217,548,545,560,11,,
"abundance","nbsGARCH","exclosures","SF",0.195309961049285,0,2,0.95,1835,"1835.18",,560,2021-10-14,9,2022,71,217,548,545,560,12,,
