"currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","nbGARCH",0.95,"exclosures","PB",5.43729808297256,1,11,2748,"2748.07",,558,2022-08-04,7,2022,106,217,558,558,570,0,,
"abundance","nbGARCH",0.95,"exclosures","PB",5.81948855872446,0,13,2748,"2748.07",,559,2022-08-04,8,2022,106,217,558,558,570,1,,
"abundance","nbGARCH",0.95,"exclosures","PB",6.21163518603099,0,16,2748,"2748.07",,560,2022-08-04,9,2022,106,217,558,558,570,2,,
"abundance","nbGARCH",0.95,"exclosures","PB",6.55598507673149,0,17,2748,"2748.07",,561,2022-08-04,10,2022,106,217,558,558,570,3,,
"abundance","nbGARCH",0.95,"exclosures","PB",6.79350855613642,0,19,2748,"2748.07",,562,2022-08-04,11,2022,106,217,558,558,570,4,,
"abundance","nbGARCH",0.95,"exclosures","PB",7.19773666810561,0,20,2748,"2748.07",,563,2022-08-04,12,2022,106,217,558,558,570,5,,
"abundance","nbGARCH",0.95,"exclosures","PB",7.41991620700477,0,20,2748,"2748.07",,564,2022-08-04,1,2023,106,217,558,558,570,6,,
"abundance","nbGARCH",0.95,"exclosures","PB",7.44201476124833,0,21,2748,"2748.07",,565,2022-08-04,2,2023,106,217,558,558,570,7,,
"abundance","nbGARCH",0.95,"exclosures","PB",7.63333763391899,0,21,2748,"2748.07",,566,2022-08-04,3,2023,106,217,558,558,570,8,,
"abundance","nbGARCH",0.95,"exclosures","PB",7.72670942419855,0,22,2748,"2748.07",,567,2022-08-04,4,2023,106,217,558,558,570,9,,
"abundance","nbGARCH",0.95,"exclosures","PB",7.88180677383773,0,21,2748,"2748.07",,568,2022-08-04,5,2023,106,217,558,558,570,10,,
"abundance","nbGARCH",0.95,"exclosures","PB",8.0762419337744,0,21,2748,"2748.07",,569,2022-08-04,6,2023,106,217,558,558,570,11,,
"abundance","nbGARCH",0.95,"exclosures","PB",8.29664836556343,0,22,2748,"2748.07",,570,2022-08-04,7,2023,106,217,558,558,570,12,,
