"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","AutoArima","controls","NA",0.0000324870747983629,-0.715532440570516,0.715597414720113,0.95,2018,"2018.05",,551,2022-01-06,1,2022,78,217,551,551,563,0,,
"abundance","AutoArima","controls","NA",0.0000294679941451911,-0.729234538998794,0.729293474987084,0.95,2018,"2018.05",,552,2022-01-06,2,2022,78,217,551,551,563,1,,
"abundance","AutoArima","controls","NA",0.0000264489134920191,-0.742684004840023,0.742736902667007,0.95,2018,"2018.05",,553,2022-01-06,3,2022,78,217,551,551,563,2,,
"abundance","AutoArima","controls","NA",0.0000234298328388471,-0.755894319882105,0.755941179547783,0.95,2018,"2018.05",,554,2022-01-06,4,2022,78,217,551,551,563,3,,
"abundance","AutoArima","controls","NA",0.0000204107521856753,-0.768877807839494,0.768918629343866,0.95,2018,"2018.05",,555,2022-01-06,4,2022,78,217,551,551,563,4,,
"abundance","AutoArima","controls","NA",0.0000173916715325033,-0.781645769013946,0.781680552357011,0.95,2018,"2018.05",,556,2022-01-06,5,2022,78,217,551,551,563,5,,
"abundance","AutoArima","controls","NA",0.0000143725908793315,-0.794208595467944,0.794237340649703,0.95,2018,"2018.05",,557,2022-01-06,6,2022,78,217,551,551,563,6,,
"abundance","AutoArima","controls","NA",0.0000113535102261595,-0.806575870050574,0.806598577071026,0.95,2018,"2018.05",,558,2022-01-06,7,2022,78,217,551,551,563,7,,
"abundance","AutoArima","controls","NA",0.00000833442957298746,-0.818756451959579,0.818773120818725,0.95,2018,"2018.05",,559,2022-01-06,8,2022,78,217,551,551,563,8,,
"abundance","AutoArima","controls","NA",0.00000531534891981566,-0.830758551011569,0.830769181709408,0.95,2018,"2018.05",,560,2022-01-06,9,2022,78,217,551,551,563,9,,
"abundance","AutoArima","controls","NA",0.00000229626826664365,-0.842589792390048,0.842594384926581,0.95,2018,"2018.05",,561,2022-01-06,10,2022,78,217,551,551,563,10,,
"abundance","AutoArima","controls","NA",-7.22812386528366e-7,-0.854257273322206,0.854255827697433,0.95,2018,"2018.05",,562,2022-01-06,11,2022,78,217,551,551,563,11,,
"abundance","AutoArima","controls","NA",-0.00000374189303970016,-0.865767612881134,0.865760129095054,0.95,2018,"2018.05",,563,2022-01-06,12,2022,78,217,551,551,563,12,,
