"","currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","nbGARCH","controls","DM",8.34784401473921,3,14,0.95,1672,1672.01,NA,545,2021-09-19,7,2021,66,217,547,545,559,-2,NA,NA
"2","abundance","nbGARCH","controls","DM",9.54440803248967,3,18,0.95,1672,1672.01,NA,546,2021-09-19,8,2021,66,217,547,545,559,-1,NA,NA
"3","abundance","nbGARCH","controls","DM",10.5867597872598,3,20,0.95,1672,1672.01,NA,547,2021-09-19,9,2021,66,217,547,545,559,0,NA,NA
"4","abundance","nbGARCH","controls","DM",11.4796225832254,3,22,0.95,1672,1672.01,NA,548,2021-09-19,10,2021,66,217,547,545,559,1,NA,NA
"5","abundance","nbGARCH","controls","DM",12.2331614705042,3,24,0.95,1672,1672.01,NA,549,2021-09-19,11,2021,66,217,547,545,559,2,NA,NA
"6","abundance","nbGARCH","controls","DM",12.8606792034456,3,26,0.95,1672,1672.01,NA,550,2021-09-19,12,2021,66,217,547,545,559,3,NA,NA
"7","abundance","nbGARCH","controls","DM",13.3769808085296,3,27,0.95,1672,1672.01,NA,551,2021-09-19,1,2022,66,217,547,545,559,4,NA,NA
"8","abundance","nbGARCH","controls","DM",13.7969587017869,3,28,0.95,1672,1672.01,NA,552,2021-09-19,2,2022,66,217,547,545,559,5,NA,NA
"9","abundance","nbGARCH","controls","DM",14.1326786755192,3,29,0.95,1672,1672.01,NA,553,2021-09-19,3,2022,66,217,547,545,559,6,NA,NA
"10","abundance","nbGARCH","controls","DM",14.3961098218174,3,29,0.95,1672,1672.01,NA,554,2021-09-19,4,2022,66,217,547,545,559,7,NA,NA
"11","abundance","nbGARCH","controls","DM",14.5976730984389,3,29,0.95,1672,1672.01,NA,555,2021-09-19,4,2022,66,217,547,545,559,8,NA,NA
"12","abundance","nbGARCH","controls","DM",14.7461472709965,3,29,0.95,1672,1672.01,NA,556,2021-09-19,5,2022,66,217,547,545,559,9,NA,NA
"13","abundance","nbGARCH","controls","DM",14.8487347520902,3,28,0.95,1672,1672.01,NA,557,2021-09-19,6,2022,66,217,547,545,559,10,NA,NA
"14","abundance","nbGARCH","controls","DM",14.9569854086405,3,28,0.95,1672,1672.01,NA,558,2021-09-19,7,2022,66,217,547,545,559,11,NA,NA
"15","abundance","nbGARCH","controls","DM",15.0644861854565,4,28,0.95,1672,1672.01,NA,559,2021-09-19,8,2022,66,217,547,545,559,12,NA,NA
