"","currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"1","abundance","nbsGARCH","controls","DM",20.5661189831682,13,30,0.95,2238,2238.01,NA,552,2022-03-10,1,2022,85,217,553,552,565,-1,NA,NA
"2","abundance","nbsGARCH","controls","DM",20.6059871111705,10,34,0.95,2238,2238.01,NA,553,2022-03-10,3,2022,85,217,553,552,565,0,NA,NA
"3","abundance","nbsGARCH","controls","DM",19.9472041808002,9,33,0.95,2238,2238.01,NA,554,2022-03-10,4,2022,85,217,553,552,565,1,NA,NA
"4","abundance","nbsGARCH","controls","DM",18.7084930645869,7,32,0.95,2238,2238.01,NA,555,2022-03-10,4,2022,85,217,553,552,565,2,NA,NA
"5","abundance","nbsGARCH","controls","DM",17.1771920855565,6,30,0.95,2238,2238.01,NA,556,2022-03-10,5,2022,85,217,553,552,565,3,NA,NA
"6","abundance","nbsGARCH","controls","DM",15.7277208873453,5,28,0.95,2238,2238.01,NA,557,2022-03-10,6,2022,85,217,553,552,565,4,NA,NA
"7","abundance","nbsGARCH","controls","DM",14.6245111406186,4,26,0.95,2238,2238.01,NA,558,2022-03-10,7,2022,85,217,553,552,565,5,NA,NA
"8","abundance","nbsGARCH","controls","DM",14.0311543822277,4,26,0.95,2238,2238.01,NA,559,2022-03-10,8,2022,85,217,553,552,565,6,NA,NA
"9","abundance","nbsGARCH","controls","DM",14.0149970168668,3,26,0.95,2238,2238.01,NA,560,2022-03-10,9,2022,85,217,553,552,565,7,NA,NA
"10","abundance","nbsGARCH","controls","DM",14.5311572946297,4,29,0.95,2238,2238.01,NA,561,2022-03-10,10,2022,85,217,553,552,565,8,NA,NA
"11","abundance","nbsGARCH","controls","DM",15.4653550137448,4,30,0.95,2238,2238.01,NA,562,2022-03-10,11,2022,85,217,553,552,565,9,NA,NA
"12","abundance","nbsGARCH","controls","DM",16.6102111040593,5,31,0.95,2238,2238.01,NA,563,2022-03-10,12,2022,85,217,553,552,565,10,NA,NA
"13","abundance","nbsGARCH","controls","DM",17.6740307333309,5,34,0.95,2238,2238.01,NA,564,2022-03-10,1,2023,85,217,553,552,565,11,NA,NA
"14","abundance","nbsGARCH","controls","DM",18.3079634920939,5,34,0.95,2238,2238.01,NA,565,2022-03-10,2,2023,85,217,553,552,565,12,NA,NA
