"cast_date","cast_month","cast_year","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_id","cast_group","confidence_level","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2019-11-22",10,2019,"abundance","ESSS","controls","OT",3.47069574256509,0.161600981618694,6.77979050351149,"50.7",3,0.95,50,NA,524,217,524,524,536,0,NA,NA
"2019-11-22",11,2019,"abundance","ESSS","controls","OT",3.47069574256509,-0.510771754207358,7.45216323933754,"50.7",3,0.95,50,NA,525,217,524,524,536,1,NA,NA
"2019-11-22",12,2019,"abundance","ESSS","controls","OT",3.47069574256509,-1.0849665274883,8.02635801261849,"50.7",3,0.95,50,NA,526,217,524,524,536,2,NA,NA
"2019-11-22",1,2020,"abundance","ESSS","controls","OT",3.47069574256509,-1.59448283372623,8.53587431885642,"50.7",3,0.95,50,NA,527,217,524,524,536,3,NA,NA
"2019-11-22",2,2020,"abundance","ESSS","controls","OT",3.47069574256509,-2.05723418649997,8.99862567163015,"50.7",3,0.95,50,NA,528,217,524,524,536,4,NA,NA
"2019-11-22",3,2020,"abundance","ESSS","controls","OT",3.47069574256509,-2.48413293604404,9.42552442117422,"50.7",3,0.95,50,NA,529,217,524,524,536,5,NA,NA
"2019-11-22",4,2020,"abundance","ESSS","controls","OT",3.47069574256509,-2.88241057501833,9.82380206014851,"50.7",3,0.95,50,NA,530,217,524,524,536,6,NA,NA
"2019-11-22",5,2020,"abundance","ESSS","controls","OT",3.47069574256509,-3.25715199452371,10.1985434796539,"50.7",3,0.95,50,NA,531,217,524,524,536,7,NA,NA
"2019-11-22",6,2020,"abundance","ESSS","controls","OT",3.47069574256509,-3.61209399484654,10.5534854799767,"50.7",3,0.95,50,NA,532,217,524,524,536,8,NA,NA
"2019-11-22",7,2020,"abundance","ESSS","controls","OT",3.47069574256509,-3.95007818980316,10.8914696749333,"50.7",3,0.95,50,NA,533,217,524,524,536,9,NA,NA
"2019-11-22",8,2020,"abundance","ESSS","controls","OT",3.47069574256509,-4.27332524438017,11.2147167295104,"50.7",3,0.95,50,NA,534,217,524,524,536,10,NA,NA
"2019-11-22",9,2020,"abundance","ESSS","controls","OT",3.47069574256509,-4.58360971086671,11.5250011959969,"50.7",3,0.95,50,NA,535,217,524,524,536,11,NA,NA
"2019-11-22",10,2020,"abundance","ESSS","controls","OT",3.47069574256509,-4.88237624492034,11.8237677300505,"50.7",3,0.95,50,NA,536,217,524,524,536,12,NA,NA
