"cast_id","cast_id.1","species","model","RMSE","coverage"
"1",1,"BA","AutoArima",1.15512280865789e-05,1
"1",1,"DM","AutoArima",11.4933101437904,1
"1",1,"DO","AutoArima",2.03161722653969,1
"1",1,"DS","AutoArima",0.256286279291312,1
"1",1,"NA","AutoArima",0.341839674174498,1
"1",1,"OL","AutoArima",1.87882540222727,1
"1",1,"OT","AutoArima",1.59622213217908,1
"1",1,"PB","AutoArima",2.07187027522679,1
"1",1,"PE","AutoArima",2.61802978983039,1
"1",1,"PF","AutoArima",0.5,1
"1",1,"PH","AutoArima",0.0440606322608266,1
"1",1,"PL","AutoArima",0.388832247776448,1
"1",1,"PM","AutoArima",0,1
"1",1,"PP","AutoArima",59.3794415693785,1
"1",1,"RF","AutoArima",0.0236475449420157,1
"1",1,"RM","AutoArima",1.69469706678206,1
"1",1,"RO","AutoArima",0.288721502446165,1
"1",1,"SF","AutoArima",1.05135799276592,1
"1",1,"SH","AutoArima",1.25343410874409,1
"1",1,"SO","AutoArima",0.0118360020730206,1
"1",1,"total","AutoArima",75.1812250736875,1
"2",2,"BA","AutoArima",5.92406585293582e-07,1
"2",2,"DM","AutoArima",10.023205414147,0.75
"2",2,"DO","AutoArima",2.88311852282838,1
"2",2,"DS","AutoArima",9.86887599588843e-130,1
"2",2,"NA","AutoArima",0.00185377440935754,1
"2",2,"OL","AutoArima",1,1
"2",2,"OT","AutoArima",1.81499819762175,1
"2",2,"PB","AutoArima",0.499999900855779,1
"2",2,"PE","AutoArima",0.910451636816158,0.75
"2",2,"PF","AutoArima",0,1
"2",2,"PL","AutoArima",0.0161675556169787,1
"2",2,"PM","AutoArima",0.000577408996088071,1
"2",2,"PP","AutoArima",12.3452366740065,1
"2",2,"RM","AutoArima",0.334660287112103,1
"2",2,"RO","AutoArima",5.51339509453289e-06,1
"2",2,"SF","AutoArima",0.167663889083004,1
"2",2,"SH","AutoArima",0.107429511788669,1
"2",2,"total","AutoArima",18.4275496196411,1
"3",3,"BA","AutoArima",1.18248467676804e-05,1
"3",3,"DM","AutoArima",0.602553428509536,1
"3",3,"DO","AutoArima",0,1
"3",3,"NA","AutoArima",0.074424219146556,1
"3",3,"OL","AutoArima",0.146903235380991,1
"3",3,"OT","AutoArima",0.436128783278542,1
"3",3,"PB","AutoArima",2.30466482836017,1
"3",3,"PE","AutoArima",1.17841134702953,1
