"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","AutoArima","controls","OL",0,-2.100937647276577,2.100937647276577,217,567,568,580,0.95,126,,3208
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","AutoArima","controls","OL",0,-2.573112608615499,2.573112608615499,217,567,568,580,0.95,126,,3208
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","AutoArima","controls","OL",0,-2.971174514478757,2.971174514478757,217,567,568,580,0.95,126,,3208
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","AutoArima","controls","OL",0,-3.3218740936947166,3.3218740936947166,217,567,568,580,0.95,126,,3208
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","AutoArima","controls","OL",0,-3.6389307486172524,3.6389307486172524,217,567,568,580,0.95,126,,3208
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","AutoArima","controls","OL",0,-3.9304944335419347,3.9304944335419347,217,567,568,580,0.95,126,,3208
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","AutoArima","controls","OL",0,-4.201875294553154,4.201875294553154,217,567,568,580,0.95,126,,3208
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","AutoArima","controls","OL",0,-4.456761771718136,4.456761771718136,217,567,568,580,0.95,126,,3208
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","AutoArima","controls","OL",0,-4.697839395798902,4.697839395798902,217,567,568,580,0.95,126,,3208
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","AutoArima","controls","OL",0,-4.927135525596207,4.927135525596207,217,567,568,580,0.95,126,,3208
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","AutoArima","controls","OL",0,-5.146225217230998,5.146225217230998,217,567,568,580,0.95,126,,3208
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","AutoArima","controls","OL",0,-5.35636103015249,5.35636103015249,217,567,568,580,0.95,126,,3208
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","AutoArima","controls","OL",0,-5.558558534746959,5.558558534746959,217,567,568,580,0.95,126,,3208
