"lead_time_newmoons","max_lag","lag_buffer","origin","forecast_date","forecast_month","forecast_year","newmoonnumber","currency","model","dataset","species","estimate","lower_pi","upper_pi","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","confidence_level","forecast_group","old_cast_id","forecast_id"
1,365,60,"2023-04-25","2023-04-25","05","2023",568,"abundance","sAutoArima","all","RO",0.2458596904166739,-2.1162160144555675,2.6079353952889153,217,567,568,580,0.95,126,,3246
2,365,60,"2023-04-25","2023-04-25","06","2023",569,"abundance","sAutoArima","all","RO",0.032094483143801325,-2.32998122172844,2.3941701880160426,217,567,568,580,0.95,126,,3246
3,365,60,"2023-04-25","2023-04-25","07","2023",570,"abundance","sAutoArima","all","RO",-0.10600664666507711,-2.4680823515373187,2.256069058207164,217,567,568,580,0.95,126,,3246
4,365,60,"2023-04-25","2023-04-25","08","2023",571,"abundance","sAutoArima","all","RO",-0.14305581858692976,-2.505131523459171,2.2190198862853117,217,567,568,580,0.95,126,,3246
5,365,60,"2023-04-25","2023-04-25","09","2023",572,"abundance","sAutoArima","all","RO",-0.06660763892664767,-2.4286833437988893,2.2954680659455935,217,567,568,580,0.95,126,,3246
6,365,60,"2023-04-25","2023-04-25","10","2023",573,"abundance","sAutoArima","all","RO",0.10824622115823718,-2.253829483714004,2.4703219260304787,217,567,568,580,0.95,126,,3246
7,365,60,"2023-04-25","2023-04-25","11","2023",574,"abundance","sAutoArima","all","RO",0.32979673209209176,-2.0322789727801496,2.691872436964333,217,567,568,580,0.95,126,,3246
8,365,60,"2023-04-25","2023-04-25","12","2023",575,"abundance","sAutoArima","all","RO",0.5508411037451402,-1.8112346011271012,2.9129168086173816,217,567,568,580,0.95,126,,3246
9,365,60,"2023-04-25","2023-04-25","01","2024",576,"abundance","sAutoArima","all","RO",0.7052248949503129,-1.6568508099219286,3.067300599822554,217,567,568,580,0.95,126,,3246
10,365,60,"2023-04-25","2023-04-25","02","2024",577,"abundance","sAutoArima","all","RO",0.7640099023744709,-1.5980658024977705,3.1260856072467123,217,567,568,580,0.95,126,,3246
11,365,60,"2023-04-25","2023-04-25","03","2024",578,"abundance","sAutoArima","all","RO",0.707019577404685,-1.6550561274675564,3.069095282276926,217,567,568,580,0.95,126,,3246
12,365,60,"2023-04-25","2023-04-25","04","2024",579,"abundance","sAutoArima","all","RO",0.5497546281512661,-1.8123210767209752,2.9118303330235076,217,567,568,580,0.95,126,,3246
13,365,60,"2023-04-25","2023-04-25","05","2024",580,"abundance","sAutoArima","all","RO",0.3340030689126499,-2.0280726359595915,2.6960787737848912,217,567,568,580,0.95,126,,3246
