"currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","pevGARCH","controls","NA",0.95,0.136198125337386,0,1,2975,"2975.05",,559,2022-10-13,8,2022,116,217,560,559,572,-1,,
"abundance","pevGARCH","controls","NA",0.95,0.128345570391576,0,1,2975,"2975.05",,560,2022-10-13,9,2022,116,217,560,559,572,0,,
"abundance","pevGARCH","controls","NA",0.95,0.103819730640904,0,1,2975,"2975.05",,561,2022-10-13,10,2022,116,217,560,559,572,1,,
"abundance","pevGARCH","controls","NA",0.95,0.0838379100801377,0,1,2975,"2975.05",,562,2022-10-13,11,2022,116,217,560,559,572,2,,
"abundance","pevGARCH","controls","NA",0.95,0.0695493021948325,0,1,2975,"2975.05",,563,2022-10-13,12,2022,116,217,560,559,572,3,,
"abundance","pevGARCH","controls","NA",0.95,0.0643124438033666,0,1,2975,"2975.05",,564,2022-10-13,1,2023,116,217,560,559,572,4,,
"abundance","pevGARCH","controls","NA",0.95,0.0686582362638754,0,1,2975,"2975.05",,565,2022-10-13,2,2023,116,217,560,559,572,5,,
"abundance","pevGARCH","controls","NA",0.95,0.0750597453004065,0,1,2975,"2975.05",,566,2022-10-13,3,2023,116,217,560,559,572,6,,
"abundance","pevGARCH","controls","NA",0.95,0.152569934249605,0,1,2975,"2975.05",,567,2022-10-13,4,2023,116,217,560,559,572,7,,
"abundance","pevGARCH","controls","NA",0.95,0.203252122955898,0,1,2975,"2975.05",,568,2022-10-13,5,2023,116,217,560,559,572,8,,
"abundance","pevGARCH","controls","NA",0.95,0.221691439294538,0,1,2975,"2975.05",,569,2022-10-13,6,2023,116,217,560,559,572,9,,
"abundance","pevGARCH","controls","NA",0.95,0.216726171000709,0,1,2975,"2975.05",,570,2022-10-13,7,2023,116,217,560,559,572,10,,
"abundance","pevGARCH","controls","NA",0.95,0.193902979946696,0,1,2975,"2975.05",,571,2022-10-13,8,2023,116,217,560,559,572,11,,
"abundance","pevGARCH","controls","NA",0.95,0.189975780842648,0,1,2975,"2975.05",,572,2022-10-13,9,2023,116,217,560,559,572,12,,
