"cast_date","cast_month","cast_year","moon","currency","model","cast_group","confidence_level","dataset","species","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id"
"2022-04-07",1,2022,552,"abundance","nbsGARCH",89,0.95,"exclosures_interp","BA",0.168148202860309,0,2,217,554,2350
"2022-04-07",3,2022,553,"abundance","nbsGARCH",89,0.95,"exclosures_interp","BA",0.197875991143403,0,2,217,554,2350
"2022-04-07",4,2022,554,"abundance","nbsGARCH",89,0.95,"exclosures_interp","BA",0.200658138450514,0,2,217,554,2350
"2022-04-07",4,2022,555,"abundance","nbsGARCH",89,0.95,"exclosures_interp","BA",0.195614655308358,0,2,217,554,2350
"2022-04-07",5,2022,556,"abundance","nbsGARCH",89,0.95,"exclosures_interp","BA",0.187388936323833,0,2,217,554,2350
"2022-04-07",6,2022,557,"abundance","nbsGARCH",89,0.95,"exclosures_interp","BA",0.179172042046485,0,2,217,554,2350
"2022-04-07",7,2022,558,"abundance","nbsGARCH",89,0.95,"exclosures_interp","BA",0.172613207200036,0,2,217,554,2350
"2022-04-07",8,2022,559,"abundance","nbsGARCH",89,0.95,"exclosures_interp","BA",0.169509167058343,0,2,217,554,2350
"2022-04-07",9,2022,560,"abundance","nbsGARCH",89,0.95,"exclosures_interp","BA",0.170264952531684,0,2,217,554,2350
"2022-04-07",10,2022,561,"abundance","nbsGARCH",89,0.95,"exclosures_interp","BA",0.174681131031818,0,1,217,554,2350
"2022-04-07",11,2022,562,"abundance","nbsGARCH",89,0.95,"exclosures_interp","BA",0.182047959900475,0,2,217,554,2350
"2022-04-07",12,2022,563,"abundance","nbsGARCH",89,0.95,"exclosures_interp","BA",0.190395033596894,0,3,217,554,2350
"2022-04-07",1,2023,564,"abundance","nbsGARCH",89,0.95,"exclosures_interp","BA",0.198127592686355,0,2,217,554,2350
"2022-04-07",2,2023,565,"abundance","nbsGARCH",89,0.95,"exclosures_interp","BA",0.203088937102249,0,2,217,554,2350
"2022-04-07",3,2023,566,"abundance","nbsGARCH",89,0.95,"exclosures_interp","BA",0.203264453451618,0,2,217,554,2350
"2022-04-07",1,2022,552,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DM",0.592826918599934,0,2,217,554,2350
"2022-04-07",3,2022,553,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DM",0.94771057076678,0,4,217,554,2350
"2022-04-07",4,2022,554,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DM",1.03449186263467,0,4,217,554,2350
"2022-04-07",4,2022,555,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DM",0.888013951603269,0,4,217,554,2350
"2022-04-07",5,2022,556,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DM",0.649655556156774,0,3,217,554,2350
"2022-04-07",6,2022,557,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DM",0.461459991878643,0,2,217,554,2350
"2022-04-07",7,2022,558,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DM",0.35570118944961,0,2,217,554,2350
"2022-04-07",8,2022,559,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DM",0.321979752690277,0,2,217,554,2350
"2022-04-07",9,2022,560,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DM",0.344409099391747,0,2,217,554,2350
"2022-04-07",10,2022,561,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DM",0.420727903911029,0,2,217,554,2350
"2022-04-07",11,2022,562,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DM",0.562944050731825,0,3,217,554,2350
"2022-04-07",12,2022,563,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DM",0.768332954307338,0,3,217,554,2350
"2022-04-07",1,2023,564,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DM",1.01665212765652,0,4,217,554,2350
"2022-04-07",2,2023,565,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DM",1.21340123597517,0,5,217,554,2350
"2022-04-07",3,2023,566,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DM",1.24042194972201,0,4,217,554,2350
"2022-04-07",1,2022,552,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DO",1.32370475818902,0,4,217,554,2350
"2022-04-07",3,2022,553,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DO",1.0161913442682,0,4,217,554,2350
"2022-04-07",4,2022,554,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DO",0.750524588614606,0,3,217,554,2350
"2022-04-07",4,2022,555,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DO",0.50088327155986,0,2,217,554,2350
"2022-04-07",5,2022,556,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DO",0.31516300541719,0,2,217,554,2350
"2022-04-07",6,2022,557,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DO",0.212612080582023,0,2,217,554,2350
"2022-04-07",7,2022,558,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DO",0.165996369231616,0,1,217,554,2350
"2022-04-07",8,2022,559,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DO",0.157234693869705,0,1,217,554,2350
"2022-04-07",9,2022,560,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DO",0.178852789336937,0,1,217,554,2350
"2022-04-07",10,2022,561,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DO",0.233636021524493,0,2,217,554,2350
"2022-04-07",11,2022,562,"abundance","nbsGARCH",89,0.95,"exclosures_interp","DO",0.332876431888437,0,2,217,554,2350
